service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
1,1,1,1,1,1,0,0,20260419,20260421
2,1,1,1,1,1,0,0,20260423,20260519
3,1,1,1,1,1,0,0,20260419,20260420
4,1,1,1,1,1,0,0,20260423,20260519
5,0,0,0,0,0,1,0,20260423,20260519
6,0,0,0,0,0,1,0,20260419,20260420
7,1,1,1,1,1,0,0,20260419,20260420
8,1,1,1,1,1,0,0,20260423,20260519
9,0,0,0,0,0,1,0,20260423,20260519
10,0,0,0,0,0,1,0,20260419,20260421
11,0,0,0,0,0,1,0,20260423,20260519
12,0,0,0,0,0,1,0,20260419,20260420
13,1,1,1,1,1,0,0,20260419,20260420
14,1,1,1,1,1,0,0,20260423,20260519
15,1,1,1,1,1,0,0,20260423,20260519
16,1,1,1,1,1,0,0,20260419,20260420
17,1,1,1,1,1,0,0,20260423,20260519
18,1,0,0,0,0,0,0,20260419,20260420
19,1,1,1,1,1,0,0,20260419,20260420
20,1,0,0,0,0,0,0,20260423,20260519
21,1,1,1,1,1,1,0,20260423,20260519
22,1,1,1,1,1,1,0,20260419,20260421
23,1,1,1,1,1,0,0,20260423,20260519
24,1,1,1,1,1,0,0,20260419,20260420
25,1,1,1,1,1,0,0,20260423,20260519
26,1,1,1,1,1,0,0,20260419,20260420
27,1,1,1,1,1,0,0,20260419,20260420
28,1,1,1,1,1,0,0,20260423,20260519
29,1,1,1,1,1,0,0,20260423,20260519
30,1,1,1,1,1,0,0,20260419,20260420
31,1,1,1,1,1,1,0,20260423,20260519
32,1,1,1,1,1,1,0,20260419,20260421
33,1,1,1,1,1,0,0,20260419,20260421
34,1,1,1,1,1,0,0,20260423,20260519
35,0,0,0,0,0,1,0,20260423,20260519
36,0,0,0,0,0,1,0,20260419,20260421
37,1,1,1,1,1,0,0,20260419,20260519
38,0,0,0,0,0,1,0,20260419,20260519
39,1,1,1,1,1,0,0,20260423,20260519
40,1,1,1,1,1,0,0,20260419,20260421
41,1,1,1,1,1,0,0,20260419,20260421
42,1,1,1,1,1,0,0,20260423,20260519
43,1,1,1,1,1,0,0,20260419,20260421
44,1,1,1,1,1,0,0,20260423,20260519
45,0,0,0,0,0,1,0,20260423,20260519
46,1,1,1,1,1,0,0,20260423,20260519
47,0,0,0,0,0,1,0,20260419,20260421
48,1,1,1,1,1,0,0,20260419,20260421
49,1,1,1,1,1,1,0,20260423,20260519
50,1,1,1,1,1,1,0,20260419,20260421
51,1,1,1,1,1,0,0,20260419,20260420
52,1,1,1,1,1,0,0,20260423,20260519
53,1,1,1,1,1,0,0,20260423,20260519
54,1,1,1,1,1,0,0,20260419,20260420
55,1,1,1,1,1,1,0,20260423,20260519
56,1,1,1,1,1,1,0,20260419,20260421
57,1,1,1,1,1,1,0,20260423,20260519
58,1,1,1,1,1,1,0,20260419,20260421
59,1,1,1,1,1,0,0,20260423,20260519
60,1,1,1,1,1,0,0,20260419,20260421
61,1,1,1,1,1,0,0,20260419,20260421
62,1,1,1,1,1,0,0,20260423,20260519
63,1,1,1,1,1,0,0,20260423,20260519
64,1,1,1,1,1,0,0,20260419,20260421
65,1,1,1,1,1,1,0,20260423,20260519
66,1,1,1,1,1,1,0,20260419,20260421
67,1,1,1,1,1,1,0,20260423,20260519
68,1,1,1,1,1,1,0,20260419,20260421
69,1,1,1,1,1,1,0,20260419,20260421
70,1,1,1,1,1,1,0,20260423,20260519
71,0,0,0,0,0,1,0,20260419,20260421
72,0,0,0,0,0,1,0,20260423,20260519
73,1,1,1,1,1,0,0,20260419,20260421
74,1,1,1,1,1,0,0,20260423,20260519
75,1,1,1,1,1,1,0,20260423,20260519
76,1,1,1,1,1,1,0,20260419,20260421
77,1,0,0,0,0,0,0,20260419,20260421
78,1,0,0,0,0,0,0,20260423,20260519
79,1,1,1,1,1,0,0,20260419,20260420
80,1,1,1,1,1,0,0,20260423,20260519
81,0,0,0,0,0,1,0,20260423,20260519
82,1,1,1,1,1,0,0,20260423,20260519
83,0,0,0,0,0,1,0,20260419,20260420
84,1,1,1,1,1,0,0,20260419,20260420
85,1,1,1,1,1,1,0,20260419,20260421
86,1,1,1,1,1,1,0,20260423,20260519
87,1,0,0,0,0,0,0,20260419,20260421
88,1,0,0,0,0,0,0,20260423,20260519
89,1,1,1,1,1,1,0,20260423,20260519
90,1,1,1,1,1,1,0,20260419,20260421
91,1,1,1,1,1,0,0,20260423,20260519
92,1,1,1,1,1,1,0,20260423,20260519
93,0,0,0,0,0,1,0,20260419,20260420
94,1,1,1,1,1,1,0,20260419,20260420
95,0,0,0,0,0,1,0,20260423,20260519
96,1,1,1,1,1,0,0,20260419,20260420
97,0,0,0,0,0,1,0,20260419,20260519
98,1,1,1,1,1,0,0,20260419,20260519
99,1,1,1,1,1,1,0,20260423,20260519
100,1,1,1,1,1,1,0,20260419,20260420
101,1,1,1,1,1,0,0,20260423,20260519
102,1,1,1,1,1,0,0,20260419,20260420
103,0,0,0,0,0,0,1,20260423,20260519
104,0,0,0,0,0,0,1,20260419,20260420
105,1,1,1,1,1,0,0,20260419,20260420
106,1,1,1,1,1,0,0,20260423,20260519
107,0,0,0,0,0,1,0,20260423,20260519
108,0,0,0,0,0,1,0,20260419,20260420
109,0,0,0,0,0,1,0,20260419,20260420
110,0,0,0,0,0,1,0,20260423,20260519
111,1,1,1,1,1,0,0,20260419,20260420
112,1,1,1,1,1,0,0,20260423,20260519
113,1,1,1,1,1,0,0,20260423,20260519
114,1,1,1,1,1,0,0,20260419,20260420
115,1,1,1,1,1,0,0,20260419,20260420
116,1,1,1,1,1,0,0,20260423,20260519
117,1,1,1,1,1,1,1,20260419,20260519
118,1,1,1,1,1,1,0,20260419,20260421
119,1,1,1,1,1,1,0,20260423,20260519
120,1,1,1,1,1,0,0,20260423,20260519
121,1,1,1,1,1,0,0,20260419,20260420
122,1,1,1,1,1,0,0,20260419,20260420
123,1,1,1,1,1,0,0,20260423,20260519
124,1,1,1,1,1,1,0,20260419,20260420
125,1,1,1,1,1,1,0,20260423,20260519
