fare_id,route_id,origin_id,destination_id,contains_id
201,,56073,56680,
202,,10225,62,
202,,52804,58066,
201,,20758,20099,
201,,41102,41146,
202,,39154,20728,
202,,52735,58109,
202,,65300,554,
201,,13850,16131,
201,,50507,59409,
201,,60307,35626,
202,,11347,19292,
202,,13204,31328,
205,,54318,20269,
201,,11117,14070,
201,,15583,15333,
201,,26402,27063,
201,,35534,33447,
201,,54125,59685,
201,,60587,5820,
204,,14425,14794,
201,,34236,37042,
201,,41786,42393,
201,,57053,57143,
202,,16145,16168,
202,,15625,13713,
202,,39118,20349,
202,,55158,59928,
214,,17048,17084,
201,,20099,25349,
201,,19380,14125,
201,,58567,51590,
202,,40565,25071,
202,,57307,57001,
204,,14450,15562,
204,,15565,38150,
204,,20312,58118,
201,,37171,37179,
201,,52269,56773,
201,,51577,55993,
201,,63411,63416,
202,,13943,65352,
202,,26834,35740,
202,,40683,42063,
201,,39606,20112,
201,,50564,59169,
201,,50151,50119,
204,,59653,30856,
201,,21221,32267,
201,,54158,54103,
201,23376,,,
202,,12284,65231,
202,,30009,25937,
202,,38772,13009,
204,,53639,55065,
201,,11357,31074,
201,,34075,60319,
201,,56391,56385,
201,,53672,51026,
204,,56022,35537,
201,,12545,15595,
201,,21669,21665,
201,,32625,32645,
201,,39831,33073,
201,,53845,51164,
201,29625,,,
204,,12093,12515,
221,,10730,10289,
201,,60306,60403,
201,,61044,63643,
202,,33734,31098,
202,,36219,20745,
202,,50285,59171,
202,,57132,53947,
201,,2246,61058,
201,,3315,63519,
201,,51661,55543,
201,,60037,60042,
202,,30783,27997,
202,,52666,56546,
201,,31100,32153,
201,,52261,52263,
201,,52794,57119,
201,,53821,54016,
202,,32571,37563,
204,,39274,51045,
201,,1078,60028,
201,,46133,43354,
201,,55401,53818,
201,,63205,63201,
201,,60822,63479,
202,,21258,60270,
202,,47103,50590,
201,,13709,13627,
201,,42667,58416,
201,,51499,56123,
201,,60062,3158,
204,,15693,12083,
201,,14984,15752,
201,,31457,36242,
201,,31499,34696,
201,,31928,30300,
201,,39822,21525,
201,,50835,52272,
201,,65162,60309,
202,,43078,50371,
202,,57060,52152,
205,,10638,13986,
201,,2281,2682,
201,,12291,12292,
201,,53662,53269,
