trans_id,lang,translation
1 טובא זנגריה,HE,1 טובא זנגריה
100/105,HE,100/105
1003/1037,HE,1003/1037
1003/1045,HE,1003/1045
1003/1055,HE,1003/1055
1003/1060,HE,1003/1060
1003/1062,HE,1003/1062
1003/1072,HE,1003/1072
1003/1094,HE,1003/1094
1003/1171,HE,1003/1171
1003/1178,HE,1003/1178
1003/ג'דידה מכר,HE,1003/ג'דידה מכר
1006/1041,AR,1006/1041
1006/1041,EN,1006/1041
1006/1041,HE,1006/1041
1007/1068,HE,1007/1068
1007/1072,HE,1007/1072
101/102,AR,102/101
101/102,EN,101/102
101/102,HE,101/102
101/104,AR,104/101
101/104,EN,101/104
101/104,HE,101/104
101/124,AR,124/101
101/124,EN,101/124
101/124,HE,101/124
101/128,AR,128/101
101/128,EN,101/128
101/128,HE,101/128
103 צהל,HE,103 צהל
105/100,AR,105/100
105/100,EN,105/100
105/100,HE,105/100
1054/1066,AR,1054/1066
1054/1066,EN,1054/1066
1054/1066,HE,1054/1066
1068/1004,HE,1068/1004
1068/1007,HE,1068/1007
1072,HE,1072
1185/דרך מנחם בגין,AR,ديرخ مناحم بيچن/1185
1185/דרך מנחם בגין,EN,1185/Menachem Begin Road
1185/דרך מנחם בגין,HE,1185/דרך מנחם בגין
1185/המסגר,AR,هماسغير/1185
1185/המסגר,EN,HaMasger/1185
1185/המסגר,HE,1185/המסגר
130/121,AR,130/121
130/121,EN,130/121
130/121,HE,130/121
15/1506,AR,15/1506
15/1506,EN,15/1506
15/1506,HE,15/1506
152/155,AR,152/155
152/155,EN,152/155
152/155,HE,152/155
186,AR,186
186,EN,186
186,HE,186
2 אום טובא,AR,ام طوبا 2
2 אום טובא,EN,Umm Tuba 2
2 אום טובא,HE,2 אום טובא
2 אעבלין,HE,2 אעבלין
200/201,AR,200/201
200/201,EN,200/201
200/201,HE,200/201
200/240,AR,200/240
200/240,EN,200/240
200/240,HE,200/240
200/ארכבישוף אל חגאר,AR,200/أرخبيشوف الحجار
200/ארכבישוף אל חגאר,EN,Al Khajar Archbishop/200
200/ארכבישוף אל חגאר,HE,200/ארכבישוף אל חגאר
200/ארכ'בישוף אל חג'אר,AR,200/أرخبيشوف الحجار
200/ארכ'בישוף אל חג'אר,EN,Al Khajar Archbishop/200
200/ארכ'בישוף אל חג'אר,HE,200/ארכ'בישוף אל חג'אר
200/כמאל גונבלאט,AR,200/كمال جنبلاط
200/כמאל גונבלאט,EN,Kamal Jumblatt/200
200/כמאל גונבלאט,HE,200/כמאל גונבלאט
200/כמאל ג'ונבלאט,AR,200/كمال جنبلاط
200/כמאל ג'ונבלאט,EN,Kamal Jumblatt/200
200/כמאל ג'ונבלאט,HE,200/כמאל ג'ונבלאט
200/עומר א סעסעני,AR,200/عمر السعسعاني
200/עומר א סעסעני,EN,Omar a Sasa'ani/200
200/עומר א סעסעני,HE,200/עומר א סעסעני
201/203,AR,201/203
201/203,EN,201/203
201/203,HE,201/203
201/221,AR,201/221
201/221,EN,201/221
201/221,HE,201/221
201/418,AR,201/418
201/418,EN,201/418
201/418,HE,201/418
201/609,AR,201/609
201/609,EN,201/609
201/609,HE,201/609
202,AR,202
202,EN,202
202,HE,202
202/203,AR,202/203
202/203,EN,202/203
202/203,HE,202/203
2040/יוניצמן,AR,يونيتسمن/ 2040
2040/יוניצמן,EN,Yunitsman/2040
2040/יוניצמן,HE,2040/יוניצמן
2040/שושנה פרסיץ,AR,شوشنا برسيتش/2040
2040/שושנה פרסיץ,EN,2040/Shoshana Persitz
2040/שושנה פרסיץ,HE,2040/שושנה פרסיץ
2211/צומת פתחת שלום,AR,مفرق فتحات شالوم 2211
2211/צומת פתחת שלום,EN,Pit'hat Shalom Junction/2211
2211/צומת פתחת שלום,HE,2211/צומת פתחת שלום
225 בית עלמין,AR,مقبرة 225
225 בית עלמין,EN,Cemetery 225
225 בית עלמין,HE,225 בית עלמין
225/200,AR,225/200
225/200,EN,225/200
225/200,HE,225/200
230,AR,230
230,EN,230
230,HE,230
230/225,AR,230/225
230/225,EN,230/225
230/225,HE,230/225
250/251,AR,250/251
250/251,EN,250/251
250/251,HE,250/251
256/250,AR,256/250
256/250,EN,256/250
256/250,HE,256/250
28,AR,28
28,EN,28
28,HE,28
293/2932,AR,293/2932
293/2932,EN,293/2932
293/2932,HE,293/2932
2932/נרקיס,HE,2932/נרקיס
3 גוליס,AR,جولس 3
3 גוליס,EN,Julis 3
