strategy,removed_stations,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_share_loss,reachable_share_loss
weighted_degree,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,32.0,0.0,6645.625,0.3073547775413931,2412.4491743301255,0.0,0.0
weighted_degree,20,21603.0,21623.0,3.0,21599.0,0.9988900707579892,32.0,0.0,6612.15625,0.30580687494218856,2412.0040639962226,0.0009711880867594447,0.0015479025992045647
weighted_degree,40,21583.0,21623.0,3.0,21579.0,0.9979651297229801,32.0,0.0,6594.8125,0.3050047405420405,2413.3770259043763,0.0018961291217685083,0.0023500369993526005
weighted_degree,60,21563.0,21623.0,5.0,21557.0,0.9969476945844702,32.0,0.0,6581.15625,0.3043731500323745,2414.5024634776414,0.002913564260278445,0.0029816275090186473
weighted_degree,80,21543.0,21623.0,9.0,21510.0,0.9947740831521991,32.0,0.0,6554.125,0.3031229765979096,2417.939767214665,0.005087175692549573,0.004231800943483521
weighted_degree,100,21523.0,21623.0,11.0,21488.0,0.9937566480136891,32.0,0.0,6479.28125,0.29966151373600963,2427.2127023460725,0.006104610831059509,0.007693263805383488
pagerank,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,32.0,0.0,6645.625,0.3073547775413931,2412.4491743301255,0.0,0.0
pagerank,20,21603.0,21623.0,4.0,21594.0,0.998658835499237,32.0,0.0,6538.25,0.3023887706965129,2405.769515750838,0.0012024233455116828,0.004966006844880244
pagerank,40,21583.0,21623.0,4.0,21574.0,0.9977338944642279,32.0,0.0,6470.5,0.2992553880307095,2417.4304954440668,0.0021273643805207465,0.008099389510683619
pagerank,60,21563.0,21623.0,6.0,21530.0,0.995699024187208,32.0,0.0,6446.84375,0.2981613056146518,2418.962791937057,0.00416223465754062,0.009193471926741303
pagerank,80,21543.0,21623.0,8.0,21507.0,0.9946353419969477,32.0,2.0,5753.65625,0.2661019447784664,2431.6958109668662,0.005225916847800938,0.04125283276292674
pagerank,100,21523.0,21623.0,9.0,21485.0,0.9936179068584378,32.0,2.0,5693.71875,0.26332988391453144,2426.7815194438085,0.006243351986310874,0.04402489362686168
approx_betweenness,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,32.0,0.0,6645.625,0.3073547775413931,2412.4491743301255,0.0,0.0
approx_betweenness,20,21603.0,21623.0,5.0,21523.0,0.9953752948249549,32.0,0.0,6360.09375,0.2941491883267042,2404.8375038662184,0.004485964019793731,0.013205589214688895
approx_betweenness,40,21583.0,21623.0,9.0,21488.0,0.9937566480136891,32.0,0.0,6333.71875,0.2929293659235963,2405.032869086317,0.006104610831059509,0.014425411617796813
approx_betweenness,60,21563.0,21623.0,12.0,21459.0,0.9924154835129261,32.0,0.0,6299.96875,0.29136845573952463,2404.012758469404,0.007445775331822557,0.015986321801868486
approx_betweenness,80,21543.0,21623.0,13.0,21438.0,0.9914442954261666,32.0,0.0,6272.4375,0.29009515770974004,2406.266148919217,0.008416963418582002,0.017259619831653084
approx_betweenness,100,21523.0,21623.0,14.0,21417.0,0.9904731073394071,32.0,0.0,6245.96875,0.28887099944500977,2404.697583254214,0.009388151505341558,0.018483778096383352
articulation_degree,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,32.0,0.0,6645.625,0.3073547775413931,2412.4491743301255,0.0,0.0
articulation_degree,20,21603.0,21623.0,24.0,21493.0,0.9939878832724414,32.0,0.0,6564.96875,0.303624491258903,2409.7755228894875,0.005873375572307271,0.003730286282490114
articulation_degree,40,21583.0,21623.0,47.0,21364.0,0.9880220135966332,32.0,0.0,6508.84375,0.3010287554342799,2405.9862592324366,0.011839245248115415,0.006326022107113194
articulation_degree,60,21563.0,21623.0,69.0,21176.0,0.9793275678675485,32.0,0.0,6459.75,0.29875820923133856,2405.8738653770606,0.020533690977200147,0.008596568310054564
articulation_degree,80,21543.0,21623.0,91.0,21072.0,0.9745178744855015,32.0,0.0,6413.46875,0.29661773887706966,2414.7030902930574,0.0253433843592471,0.010737038664323462
articulation_degree,100,21523.0,21623.0,113.0,20847.0,0.96411228784165,32.0,0.0,6336.8125,0.2930724493571362,2413.3511898524052,0.035748971003098595,0.014282328184256898
random_mean,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,32.0,0.0,6645.625,0.3073547775413931,2412.4491743301255,0.0,0.0
random_mean,20,21603.0,21623.0,2.5,21598.0,0.9988438237062387,32.0,0.0,6635.265625,0.3068756648321155,2412.5553643981757,0.0010174351385099367,0.0004791127092776404
random_mean,40,21583.0,21623.0,3.5,21565.0,0.9973176709984739,32.0,0.0,6589.734375,0.30476988137082606,2416.28838008579,0.0025435878462747308,0.0025848961705670637
random_mean,60,21563.0,21623.0,3.5,21556.0,0.9969014475327198,32.0,0.0,6618.234375,0.3060879833040422,2412.8188708649873,0.002959811312028826,0.0012667942373509322
random_mean,80,21543.0,21623.0,7.5,21519.5,0.9952134301438283,32.0,0.0,6608.34375,0.30563054990287675,2410.1551265223297,0.004647828700920287,0.0017242276385163735
random_mean,100,21523.0,21623.0,4.0,21516.5,0.995074688988577,32.0,0.0,6600.09375,0.30524899408010364,2413.3505846448443,0.004786569856171652,0.002105783461289479
