station_id,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase,station_name,main_stop_code,degree,weighted_degree,pagerank,approx_betweenness,is_articulation_point
10226,21622,21623,2,21619,0.9998150117929981,32,0,6563.5,0.30355656276015175,2406.397070131503,1,4.624705175049204e-05,0.0037982147812413714,-6.052104198622601,יגאל ידין/דרוק,2987,27,13508,0.00015368048830554704,0.08552585891142456,False
21588,21622,21623,2,21619,0.9998150117929981,32,0,6594.5,0.3049902876699658,2410.4436298762284,1,4.624705175049204e-05,0.0023644898714273443,-2.0055444538970733,מחלף גנות/כביש 4,33431,22,5568,0.00010109115693716216,0.13034879899809557,False
13279,21622,21623,2,21619,0.9998150117929981,32,0,6599.375,0.30521575247433186,2419.531851108801,1,4.624705175049204e-05,0.002139025067061262,7.0826767786757046,מכללת לוינסקי/דרך נמיר,20105,19,13983,0.00022196596152916339,0.018495281412270814,False
41132,21622,21623,2,21619,0.9998150117929981,32,0,6616.1875,0.3059933169919527,2410.6281679180106,1,4.624705175049204e-05,0.0013614605494404186,-1.8210064121149117,מחלף חמד,640,42,10540,0.0003746371061781642,0.033746588188842415,False
12962,21622,21623,2,21619,0.9998150117929981,32,0,6616.625,0.3060135510128573,2411.5990612750334,1,4.624705175049204e-05,0.0013412265285357994,-0.8501130550921516,מחלף גבעת שמואל/כביש 4,21257,9,3442,6.12476629798218e-05,0.09951080125801733,False
12979,21622,21623,2,21619,0.9998150117929981,32,0,6616.90625,0.30602655859772454,2412.322037344024,1,4.624705175049204e-05,0.0013282189436685798,-0.1271369861015046,ג. שמואל/ גשר הולכי רגל,21711,12,7048,8.579763440748358e-05,0.20024748954414204,False
1704,21622,21623,2,21619,0.9998150117929981,32,0,6621.59375,0.3062433516788457,2414.294612754747,1,4.624705175049204e-05,0.0011114258625474216,1.845438424621534,ת. רכבת בנימינה,45643,12,4269,0.0001591673215310273,0.07207579651813335,False
11208,21622,21623,3,21596,0.9987513296027378,32,0,6622.40625,0.30628092914624,2411.0234426162856,24,0.0011099292420108098,0.0010738483951531208,-1.425731713839923,מחלף חמד,638,52,11044,0.00013579306731142251,0.07590669348096889,True
27865,21622,21623,2,21619,0.9998150117929981,32,0,6628.96875,0.3065844394598095,2410.2261106000033,1,4.624705175049204e-05,0.0007703380815836103,-2.2230637301222487,ת. רכבת שדרות,19946,23,4649,0.0002617739864522166,0.013739186692373128,False
35852,21622,21623,2,21619,0.9998150117929981,32,0,6631.59375,0.30670584358523734,2413.7692300146377,1,4.624705175049204e-05,0.0006489339561557839,1.3200556845122264,כפר סמיר,47500,6,6126,7.93149018946778e-05,0.06091848981656183,False
1851,21622,21623,2,21619,0.9998150117929981,32,0,6631.6875,0.3067101794468598,2413.770136682105,1,4.624705175049204e-05,0.0006445980945333218,1.3209623519796878,נווה דוד,40967,3,6126,7.448804901865739e-05,0.06087801241469036,False
13601,21622,21623,2,21619,0.9998150117929981,32,0,6632.25,0.3067361946165943,2411.9158191836063,1,4.624705175049204e-05,0.0006185829247988273,-0.5333551465191704,ת. רכבת ההגנה/החרש,25636,25,18912,0.00019330915864169994,0.02603275188933663,False
2239,21622,21623,3,21562,0.9971789298432225,32,0,6632.53125,0.30674920220146157,2412.195595626305,58,0.002682329001526096,0.0006055753399315522,-0.2535787038204944,איינשטיין/הצנחנים,41356,7,8460,0.00014501016348180884,0.06490262265791077,True
1275,21622,21623,2,21619,0.9998150117929981,32,0,6632.65625,0.30675498335029144,2412.595069814887,1,4.624705175049204e-05,0.0005997941911016769,0.14589548476169512,דרך המסילה/דקל,40301,5,2108,8.050265436872748e-05,0.06436196021862757,False
1274,21622,21623,2,21619,0.9998150117929981,32,0,6632.96875,0.3067694362223662,2412.511223938918,1,4.624705175049204e-05,0.000585341319026933,0.062049608792676736,הגיבורים/נחלת ז'בוטינסקי,40300,7,1988,8.923446185924545e-05,0.0642463104989948,False
27689,21622,21623,2,21619,0.9998150117929981,32,0,6633.03125,0.306772326796781,2410.100975742331,1,4.624705175049204e-05,0.0005824507446121063,-2.348198587794741,מחלף קמה לצפון,15400,41,2186,0.0001843343915288674,0.09752162608033367,False
14227,21622,21623,2,21619,0.9998150117929981,32,0,6633.5,0.3067940061048932,2412.250684547279,1,4.624705175049204e-05,0.0005607714364999072,-0.1984897828465364,כביש 4/מחלף מורשה,26834,11,976,2.1406611262117913e-05,0.08634408067782641,False
21786,21622,21623,2,21619,0.9998150117929981,32,0,6634.09375,0.3068214665618352,2412.176758269956,1,4.624705175049204e-05,0.0005333109795579438,-0.27241606016968944,צומת כפר סבא רעננה צפון,33711,9,1446,3.9940996395860175e-05,0.08112249583640682,False
10754,21622,21623,3,21618,0.9997687647412478,32,0,6634.28125,0.30683013828508005,2411.76619289585,2,9.249410350087306e-05,0.0005246392563130753,-0.6829814342754617,שדרות שז''ר/בנייני האומה,4218,44,43946,0.0006436708343419761,0.01873236333751799,True
1358,21622,21623,3,21618,0.9997687647412478,32,0,6635.09375,0.30686771575247446,2411.7649676589754,2,9.249410350087306e-05,0.0004870617889186635,-0.6842066711501502,דרך אהרון/דרך שרה,40402,17,3150,0.00018675408082936612,0.015835337860717093,True
