community_id,stations,internal_edges,total_internal_frequency,top_station_id,top_station_name,top_station_weighted_degree
1,976,1641,445152,25709,שוק עירוני/בית אשל,12292
2,703,1159,122346,5575,ת. מרכזית נהריה/הורדה,5256
3,695,1243,195651,26627,ת. מרכזית קרית גת/רציפים,6673
4,644,1167,172351,5615,ת. מרכזית צפת/הורדה,6124
5,499,817,217725,4565,היכל התרבות/חטיבה תש''ע,10298
6,494,908,325997,4161,כיכר א-נמסאוי,7982
7,478,954,374025,332,הרצל/עולי הגרדום,14436
8,464,807,251101,1169,הנשיא וייצמן/הבנים,13692
9,462,783,523612,8690,חזון אי''ש/הרב בצלאל זולטי,20388
10,443,917,356754,23756,הרצל/עין הקורא,8985
11,437,853,430002,9006,שדרות נהר הירקון/נחל לוז,12790
12,436,761,147090,11978,מנחם בגין/ספריה ציבורית,4624
13,424,685,420729,2090,טרומפלדור/מרכז זיו,15354
14,422,814,198839,42514,תחנת רכבת רעננה מערב/דרך ירושלים,6438
15,417,770,449501,1461,קריון/ד. עכו חיפה,17330
16,416,678,87108,15034,שד. בגין/עולי הגרדום,3042
17,414,718,161228,7062,החרושת/בית עלמין,9326
18,413,794,430267,10457,האומן/הסדנא,10848
19,412,778,148834,15621,מרכז מסחרי/העצמאות,5075
20,402,660,153924,1797,צומת קרית טבעון,6675
21,391,779,458961,13953,הרצל/קריניצי,9494
22,381,677,112194,19546,תאופיק זיאד/הזית,2740
23,379,725,230174,21368,שדרות הרצל/דני מס,7409
24,374,625,478810,2567,שוק תלפיות,20226
25,374,654,141439,1447,יד לבנים/דרך הבנים,6074
26,373,781,455968,15639,ת.רק''ל שחם/דרך ז'בוטינסקי,21628
27,372,758,325052,25589,הרותם/החרצית,11882
28,371,701,198673,5313,אלחדיף/קונטיננטל,9156
29,354,636,185365,27971,ת.מרכזית אשקלון/הורדה,9723
30,353,687,156373,745,קניון ערים/וייצמן,8196
31,346,574,83952,6279,מגאר ג'/מרכז,2670
32,346,582,57767,12156,ת. מרכזית אילת,1621
33,343,675,171874,15558,משטרה/הרצל,9473
34,332,659,378412,13419,תל גיבורים/מאיר גרוסמן,13562
35,330,845,874990,12889,ת. רכבת תל אביב - סבידור/דרך נמיר,32075
36,330,543,99618,6718,ת. רכבת עכו,6090
37,311,471,280171,10588,עליאש,13168
38,306,589,100327,34452,דרך תא''ל אורי בראון/מעלה הגבעה,4890
39,305,513,112163,12081,שדרות אריאל שרון/המלאכה,3657
40,293,706,701527,10754,שדרות שז''ר/בנייני האומה,40299
41,280,582,156829,16536,הרב שלום שבזי / שלמה המלך,5514
42,278,570,117187,117,עירייה,7076
43,262,428,23269,20532,קניון לב קצרין,898
44,243,417,95704,26968,חפץ חיים/רפאל אלנקווה,4514
45,234,640,474171,13040,רבי עקיבא/אליהו הנביא,23607
46,224,336,68197,4109,אל מדינה/א שאפעי,3406
47,204,355,59667,15746,שד. ירושלים/שד. הסנהדרין,2913
48,202,384,343833,13372,שד' ירושלים/מחרוזת,16972
49,197,296,90908,8114,קניון אדומים,7160
50,197,364,314639,7378,רבי עקיבא/אור החיים,14236
51,195,314,235794,8728,תחנת רכבת קלה הר הרצל,16177
52,191,376,271420,7543,מסילת ישרים/שדרות בית הלל,15753
53,188,293,42067,4626,שדרות בגין/ירושלים הבירה,3446
54,188,319,72203,19454,התמר / הפעמונית,5648
55,188,307,29638,12781,שכונה 18,1656
56,171,347,170368,12920,קניון רמת אביב/אינשטיין,15077
57,153,287,69465,12386,מואב/נוף,3780
58,146,212,132376,3920,קרית אתא מרכז,8709
59,132,268,220491,8676,מינץ/מירסקי,15554
60,118,168,54221,9922,תחנת משטרה/הראל,3988
61,108,163,62992,2753,מרכז העיר 1,3898
62,99,148,36835,1159,וייצמן/שידלובסקי,3268
63,95,148,35958,6004,אלקודס/מועאד' בן ג'בל,2722
64,91,131,18884,467,גורדון/יאנוש קורצ'אק,1072
65,67,93,50978,2698,צה''ל/חבצלת,4112
66,49,70,15674,8441,בסיס צבאי/כביש 3507,1524
67,46,83,36512,2390,הרב עובדיה יוסף/הרימונים,4929
68,36,45,10578,11173,התמר/הרימון,1951
69,23,26,3960,8481,הגיא/מבוא החלילים,396
70,3,3,12,14794,בית ספר ישורון/קלאוזנר,9
