step,source_station_id,target_station_id,source_station_name,target_station_name,distance_meters,walking_seconds,source_component_size,target_component_size,connectivity_benefit_score
1,11217,11206,מסעף בית נקופה,מסעף אבו-גוש,203.38323601000013,169.48603000833344,23,21493,23
2,46507,46217,ג'לבון/סער,ג'לבון/סער,95.55004731345909,79.62503942788258,6,6,6
3,47152,20248,אל על/נקרות,מנחת קריית שמונה/למערב,322.1916914936959,268.4930762447466,12,21516,12
4,3660,50647,זלמן שניאור/ברנר,עופרה חזה/נעמי שמר,154.36057421411545,128.6338118450962,21528,6,6
5,51823,42479,תחנת רקל''ה דב יוסף-מרכז/דב יוסף,אל טואל/כביש 2,106.45902179094568,88.71585149245475,21534,5,5
6,51118,27264,צומת אזור תעשייה שדרות,פריז/ניס,274.2561823881251,228.54681865677094,21539,5,5
7,2405,2396,הגפן/האלונים,הרימונים/האורנים,122.33169008887016,101.94307507405847,4,21544,4
8,50798,15368,הקרן הקיימת לישראל,האלה/דקר,182.10569553112117,151.7547462759343,4,21548,4
9,51041,14794,בית עלמין צבאי/פרדס משותף,בית ספר ישורון/קלאוזנר,184.2359999303552,153.52999994196267,21552,3,3
10,39139,8728,הזיכרון/שדרות הרצל,תחנת רכבת קלה הר הרצל,134.92164815814203,112.4347067984517,2,21555,2
