strategy,removed_segments,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_share_loss,reachable_share_loss
segment_frequency,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,0.0,0.0
segment_frequency,29,21623.0,21623.0,2.0,21620.0,0.9998612588447486,96.0,0.0,7576.427083333333,0.35040362054080726,2398.5186166310373,0.0,5.973853790897099e-05
segment_frequency,57,21623.0,21623.0,10.0,21607.0,0.9992600471719928,96.0,0.0,7571.291666666667,0.35016611167637895,2398.5349595342345,0.0006012116727558414,0.0002972474023372751
segment_frequency,86,21623.0,21623.0,16.0,21601.0,0.9989825648614901,96.0,0.0,7568.427083333333,0.35003362701569385,2398.6676586713043,0.0008786939832585716,0.0004297320630223811
segment_frequency,114,21623.0,21623.0,20.0,21595.0,0.9987050825509873,96.0,0.0,7564.760416666667,0.3498640466500169,2398.7413779289777,0.0011561762937613018,0.0005993124286993168
segment_frequency,143,21623.0,21623.0,21.0,21594.0,0.998658835499237,96.0,0.0,7561.395833333333,0.3497084373940123,2399.1652900791782,0.0012024233455116828,0.0007549216847039242
segment_frequency,171,21623.0,21623.0,23.0,21592.0,0.998566341395736,96.0,0.0,7560.385416666667,0.3496617064409706,2399.3344144107514,0.001294917449012667,0.0008016526377456201
segment_frequency,200,21623.0,21623.0,24.0,21591.0,0.9985200943439856,96.0,0.0,7558.104166666667,0.34955620047482494,2399.4417355991786,0.001341164500763048,0.0009071586038912893
bridge_frequency,0,21623.0,21623.0,2.0,21620.0,0.9998612588447486,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,0.0,0.0
bridge_frequency,29,21623.0,21623.0,31.0,21565.0,0.9973176709984738,96.0,0.0,7559.0625,0.349600522615854,2398.0422545796164,0.002543587846274842,0.0008628364628622265
bridge_frequency,57,21623.0,21623.0,59.0,21525.0,0.9954677889284558,96.0,0.0,7545.09375,0.34895447923411343,2397.976391724994,0.004393469916292858,0.0015088798446027951
bridge_frequency,86,21623.0,21623.0,88.0,21457.0,0.9923229894094252,96.0,0.0,7522.302083333333,0.34790038309746246,2397.8511771861317,0.00753826943532343,0.002562975981253768
bridge_frequency,114,21623.0,21623.0,116.0,21421.0,0.9906580955464089,96.0,0.0,7513.614583333333,0.3474985932537848,2397.9853628606897,0.0092031632983397,0.002964765824931437
bridge_frequency,143,21623.0,21623.0,145.0,21363.0,0.9879757665448827,96.0,0.0,7470.239583333333,0.345492534609811,2391.743707820452,0.011885492299865907,0.004970824468905233
bridge_frequency,171,21623.0,21623.0,173.0,21303.0,0.9852009434398558,96.0,0.0,7447.416666666667,0.3444369931859525,2391.388821360689,0.014660315404892876,0.00602636589276373
bridge_frequency,200,21623.0,21623.0,202.0,21231.0,0.9818711557138232,96.0,0.0,7423.520833333333,0.34333183023463737,2391.0367248231605,0.017990103130925417,0.0071315288440788605
random_segment_mean,0,21623.0,21623.0,2.0,21620.0,0.9998612588447487,96.0,0.0,7577.71875,0.35046335907871623,2398.330232436518,-1.1102230246251565e-16,0.0
random_segment_mean,29,21623.0,21623.0,2.6666666666666665,21616.333333333332,0.9996916863216637,96.0,0.0,7574.177083333333,0.35029955986186917,2398.5468780347783,0.00016957252308491544,0.00016379921684706034
random_segment_mean,57,21623.0,21623.0,2.3333333333333335,21619.666666666668,0.9998458431608318,96.0,0.0,7574.868055555555,0.3503315167679011,2398.5988603871174,1.541568391683068e-05,0.00013184231081514453
random_segment_mean,86,21623.0,21623.0,2.3333333333333335,21619.333333333332,0.999830427476915,96.0,0.0,7563.409722222222,0.34980157812516066,2399.6897369014873,3.083136783366136e-05,0.0006617809535555685
random_segment_mean,114,21623.0,21623.0,3.0,21619.0,0.9998150117929981,96.0,0.0,7571.902777777777,0.3501943750706586,2398.6754877298313,4.624705175049204e-05,0.0002689840080576378
random_segment_mean,143,21623.0,21623.0,3.6666666666666665,21617.0,0.9997225176894973,96.0,0.0,7564.270833333333,0.3498414038170998,2399.471076564578,0.0001387411552513651,0.0006219552616164026
random_segment_mean,171,21623.0,21623.0,4.666666666666667,21608.0,0.9993062942237433,96.0,0.0,7558.940972222222,0.3495949020544918,2398.844977966866,0.0005549646210053494,0.0008684570242244449
random_segment_mean,200,21623.0,21623.0,4.666666666666667,21613.333333333332,0.9995529451664122,96.0,0.0,7556.729166666667,0.34949260783769615,2399.36731499681,0.00030831367833639156,0.0009707512410200847
