source_station_id,target_station_id,source_station_name,target_station_name,frequency,mean_travel_seconds,is_bridge,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase
3298,3299,הרר/הארז,הרר/הרותם,1217,28.93426458504519,True,21623,21623,3,21598,0.9988438237062387,96,0,7571.104166666667,0.35015743995313414,2398.035649247985,22,0.0010174351385099367,0.0003059191255820881,-0.2945831885331245
3299,3300,הרר/הרותם,הרר/האשל,1217,24.47822514379622,True,21623,21623,3,21599,0.9988900707579892,96,0,7571.458333333333,0.3501738198748188,2398.046922609778,21,0.0009711880867594447,0.0002895392038974043,-0.28330982674015104
3300,3301,הרר/האשל,הרר/האורן,1217,25.826622843056697,True,21623,21623,3,21600,0.9989363178097397,96,0,7571.8125,0.35019019979650357,2398.059470728576,20,0.0009249410350089526,0.00027315928221266494,-0.2707617079422562
2525,2524,קדימה/הלילך,קדימה/רענן,525,22.386666666666667,True,21623,21623,3,21604,0.9991213060167414,96,0,7573.052083333333,0.35024752952239996,2398.3931994526497,16,0.0007399528280072065,0.00021582955631627154,0.06296701613155165
23830,24611,העמק/התאנה,התאנה/הגפן,556,16.138489208633093,True,21623,21623,3,21609,0.9993525412754937,96,0,7573.625,0.3502740264545372,2398.231601584134,11,0.0005087175692549684,0.0001893326241790283,-0.09863085238430358
24611,24612,התאנה/הגפן,התאנה/האביב,556,40.93705035971223,True,21623,21623,3,21610,0.9993987883272442,96,0,7574.020833333333,0.3502923334258318,2398.2377829487828,10,0.0004624705175044763,0.00017102565288440452,-0.09244948773539363
4099,4080,ערערה/כביש ראשי 6,ערערה מזרח,332,95.43975903614458,True,21623,21623,3,21614,0.9995837765342459,96,0,7575.0,0.3503376190916658,2398.2827734571765,6,0.0002774823105027302,0.00012573998705045497,-0.04745897934162713
3515,35657,שאגאל/קדנדינסקי,שאגאל/דה גויה,1217,36.92604765817584,True,21623,21623,3,21610,0.9993987883272442,96,0,7575.041666666667,0.35033954614127577,2398.183968213954,10,0.0004624705175044763,0.00012381293744045951,-0.1462642225642412
44330,25212,השילוח/המגשימים,אלברט איינשטיין/זלמן שניאור,424,63.25,True,21623,21623,3,21615,0.9996300235859964,96,0,7575.260416666667,0.3503496631517282,2398.350646495608,5,0.00023123525875223816,0.00011369592698801112,0.020414059089944203
4103,35864,ג'דוע עליון/אל ביר,איבן חלדון,542,67.0,True,21623,21623,3,21614,0.9995837765342459,96,0,7575.28125,0.35035062667653305,2398.2716475355733,6,0.0002774823105027302,0.00011273240218317993,-0.05858490094487934
35657,3516,שאגאל/דה גויה,שאגאל/סזאן,1217,36.084634346754314,True,21623,21623,3,21611,0.9994450353789945,96,0,7575.333333333333,0.3503530354885455,2398.197362818472,9,0.0004162234657540953,0.00011032359017071336,-0.13286961804624298
4080,16936,ערערה מזרח,עין אלסהלה,332,50.704819277108435,True,21623,21623,3,21615,0.9996300235859964,96,0,7575.46875,0.3503592983997778,2398.288497625778,5,0.00023123525875223816,0.00010406067893842241,-0.0417348107403086
382,387,אח''י דקר/דברי חיים,הגפן\החרוב,724,72.05801104972376,True,21623,21623,3,21614,0.9995837765342459,96,0,7575.697916666667,0.3503698971726328,2398.293741308759,6,0.0002774823105027302,9.34619060834474e-05,-0.036491127759290976
10313,10222,ישיבת דעת יוסף/זויין,זווין/ניימן ב',5493,54.27780811942472,True,21623,21623,3,21613,0.9995375294824955,96,0,7575.885416666667,0.35037856889587765,2398.305985046262,7,0.0003237293622531112,8.479018283857886e-05,-0.024247390256277868
21342,21341,איילה/דיזנגוף,איילה/דרך חיים,1343,78.02457185405808,True,21623,21623,3,21616,0.9996762706377469,96,0,7575.90625,0.3503795324206828,2398.3135176614674,4,0.00018498820700174612,8.38266580334146e-05,-0.016714775050786557
16936,35901,עין אלסהלה,עין אלסהלה/קופ''ח,332,13.620481927710843,True,21623,21623,3,21616,0.9996762706377469,96,0,7575.927083333333,0.35038049594548754,2398.295317145533,4,0.00018498820700174612,8.286313322869443e-05,-0.0349152909852819
23694,37803,אזור תעשיה סנטרל פארק 2000/עתיר ידע,קניון אושילנד/עתיר ידע,708,83.32909604519774,True,21623,21623,3,21616,0.9996762706377469,96,0,7576.0,0.3503838682823051,2398.3089862707498,4,0.00018498820700174612,7.949079641111911e-05,-0.02124616576838889
2399,2405,מועצה מקומית/הרימונים,הגפן/האלונים,639,51.11580594679186,True,21623,21623,3,21616,0.9996762706377469,96,0,7576.010416666667,0.3503843500447074,2398.359620538753,4,0.00018498820700174612,7.900903400881454e-05,0.029388102234861435
387,389,הגפן\החרוב,הגפן/שד. עין התכלת,724,45.21546961325967,True,21623,21623,3,21615,0.9996300235859964,96,0,7576.072916666667,0.35038724061912246,2398.3013849818594,5,0.00023123525875223816,7.611845959376584e-05,-0.028847454658716742
8797,46717,האדמור מלובאויטש/דרוק,הרב שך א,2996,103.2803738317757,True,21623,21623,3,21616,0.9996762706377469,96,0,7576.1875,0.35039254000555003,2398.3594686587953,4,0.00018498820700174612,7.081907316619507e-05,0.02923622227717715
10222,10221,זווין/ניימן ב',זווין/אליאך,5493,60.074822501365375,True,21623,21623,3,21614,0.9995837765342459,96,0,7576.197916666667,0.35039302176795245,2398.3095044750485,6,0.0002774823105027302,7.033731076377947e-05,-0.020727961469674483
35901,35903,עין אלסהלה/קופ''ח,אלסהלה/כביש ראשי,332,12.939759036144578,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.385416666667,0.35040169349119715,2398.302910719553,3,0.0001387411552513651,6.166558751907747e-05,-0.027321716965161613
37145,37144,אעבלין/רחוב ראשי,אעבלין/בית עלמין נוצרי חדש,614,13.141693811074918,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.427083333333,0.35040362054080715,2398.336310559995,3,0.0001387411552513651,5.973853790908201e-05,0.006078123476982
389,395,הגפן/שד. עין התכלת,הגפן/השקד,724,79.18922651933701,True,21623,21623,3,21616,0.9996762706377469,96,0,7576.427083333333,0.3504036205408072,2398.3076574332267,4,0.00018498820700174612,5.97385379090265e-05,-0.022575003291422036
10221,10220,זווין/אליאך,זווין/וינוגרד,5493,56.13216821409066,True,21623,21623,3,21615,0.9996300235859964,96,0,7576.5,0.3504069928776248,2398.3139017651342,5,0.00023123525875223816,5.6366201091451185e-05,-0.016330671383911977
50089,50121,אלתמאסיח,אלתמאסיח/קריית אלסיאדן,517,68.59767891682786,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.5625,0.3504098834520395,2398.305461072788,3,0.0001387411552513651,5.3475626676735555e-05,-0.024771363729996665
10436,10435,משה קול/מרה,משה קול/דינור,1915,87.67832898172324,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.59375,0.3504113287392472,2398.322477633193,3,0.0001387411552513651,5.203033946904467e-05,-0.007754803325042303
13601,13606,ת. רכבת ההגנה/החרש,דרך ההגנה/המעפילים,4957,76.59471454508775,False,21623,21623,2,21620,0.9998612588447486,96,0,7576.604166666667,0.3504118105016496,2398.3565485317336,0,0.0,5.1548577066629075e-05,0.026316095215406676
28753,28752,טיפת חלב,מאפיית ערערה,355,22.75492957746479,True,21623,21623,3,21608,0.9993062942237433,96,0,7576.604166666667,0.35041181050164966,2398.5002013066064,12,0.0005549646210053494,5.1548577066573564e-05,0.1699688700882689
52010,52004,פרופ' יעקב נאמן/הרב אברהם זקן,הרב אברהם זקן/יצחק ארנסט נבנצל,487,106.16221765913758,True,21623,21623,3,21616,0.9996762706377469,96,0,7576.645833333333,0.35041373755125965,2398.341605971681,4,0.00018498820700174612,4.962152745657811e-05,0.01137353516287476
3516,38774,שאגאל/סזאן,מחלף טל,381,78.64304461942257,True,21623,21623,3,21616,0.9996762706377469,96,0,7576.666666666667,0.35041470107606437,2398.2676388527,4,0.00018498820700174612,4.8658002651857934e-05,-0.062593583817943
44665,50377,חניון שפירים מערבי א/הורדה,חניון שפירים מערבי ב/הורדה,936,19.634615384615383,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.739583333333,0.35041807341288206,2398.3327778202997,2,9.249410350087306e-05,4.5285665834171596e-05,0.0025453837815803126
39290,9537,רינגלבלום א,קורצ'אק/רינגלבלום,621,51.48148148148148,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.78125,0.350420000462492,2398.3352158857037,3,0.0001387411552513651,4.335861622423165e-05,0.004983449185601785
48618,48877,אהרונוביץ',גשר אם המושבות,1193,167.4031852472758,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.802083333333,0.35042096398729705,2398.331507910177,2,9.249410350087306e-05,4.239509141917841e-05,0.0012754736590068205
1866,3739,סמולנסקין/הרופא,הרופא ב,418,54.5,True,21623,21623,3,21617,0.9997225176894973,96,0,7576.8125,0.3504214457496993,2398.3516910800017,3,0.0001387411552513651,4.1913329016929346e-05,0.021458643483583728
7494,7495,אבני נזר ד,משך חכמה ו,1035,38.43478260869565,True,21623,21623,3,21618,0.9997687647412478,96,0,7576.822916666667,0.35042192751210205,2398.334352120209,2,9.249410350087306e-05,4.143156661418068e-05,0.004119683690987586
