agency_name,routes
אגד,1448
קווים,1050
רכבת ישראל,962
מטרופולין,768
סופרבוס,508
נתיב אקספרס,497
אלקטרה אפיקים,387
דן,310
דן בדרום,305
תנופה,255
אלקטרה אפיקים תחבורה,225
אקסטרה ירושלים,174
מועצה אזורית גולן,149
נסיעות ותיירות,133
ש.א.מ,103
גלים,85
דרך אגד עוטף ירושלים,80
בית שמש אקספרס,76
דן באר שבע,69
אקסטרה,65
גי.בי.טורס,57
ירושלים-רמאללה איחוד,18
ירושלים-אלווסט איחוד,10
יונייטד טורס,6
מועצה אזורית אילות,6
ירושלים-אבו-תור-ענאתא איחוד,6
ירושלים-צור באהר איחוד,6
תבל,5
דן נתיבים בעמ,5
ירושלים-דרום איחוד,5
ירושלים - עיסאוויה מחנה שעפאט איחוד,4
מוניות רב קווית 4-5,4
כפיר,3
אודליה מוניות בעמ,2
כרמלית,2
מוניות מטרו קו,2
כבל אקספרס,2
