agency_id,agency_name,scheduled_trips
3,אגד,93948
5,דן,50247
18,קווים,47845
16,סופרבוס,39794
15,מטרופולין,28452
38,אקסטרה ירושלים,24566
25,אלקטרה אפיקים,24362
31,דן בדרום,18575
14,נתיב אקספרס,14353
32,דן באר שבע,9742
34,תנופה,9558
35,בית שמש אקספרס,9114
4,אלקטרה אפיקים תחבורה,8017
37,אקסטרה,7970
135,דרך אגד עוטף ירושלים,6117
6,ש.א.מ,5809
7,נסיעות ותיירות,4752
22,תבל,2408
33,כבל אקספרס,2402
23,גלים,1851
8,גי.בי.טורס,1834
39,דן נתיבים בעמ,1360
2,רכבת ישראל,1188
24,מועצה אזורית גולן,1014
42,ירושלים-רמאללה איחוד,1006
40,יונייטד טורס,936
20,כרמלית,604
21,כפיר,482
45,ירושלים-אלווסט איחוד,442
50,ירושלים-דרום איחוד,368
44,ירושלים-אבו-תור-ענאתא איחוד,329
49,ירושלים - עיסאוויה מחנה שעפאט איחוד,263
10,מועצה אזורית אילות,231
51,ירושלים-צור באהר איחוד,147
91,מוניות מטרו קו,18
98,מוניות רב קווית 4-5,17
97,אודליה מוניות בעמ,12
