stop_a,stop_b,name_a,name_b,trips_both_directions
13358,12910,סמינר הקיבוצים/דרך נמיר,דרך נמיר/יהודה המכבי,6955
8756,8757,מרכז שטנר/כנפי נשרים,בית ענבר/כנפי נשרים,5550
13227,13032,ז'בוטינסקי/ אבו חצירא,דרך ז'בוטינסקי/דב גרונר,5189
49466,8757,מסוף הר נוף/כנפי נשרים,בית ענבר/כנפי נשרים,5187
8793,8794,בית ענבר/כנפי נשרים,מרכז שטנר/כנפי נשרים,5181
49737,8636,שדרות גולדה מאיר/הרטום,גולדה/שלמה הלוי,5149
51284,13103,דרך נמיר/שדרות שאול המלך,קניון עזריאלי/דרך מנחם בגין,5120
9959,8793,מסוף הר נוף/כנפי נשרים,בית ענבר/כנפי נשרים,5107
48363,29483,ת.רק''ל יהודית/דרך מנחם בגין,המסגר/המלאכה,5103
3521,3367,מת''מ,סחרוב,5038
13103,13206,קניון עזריאלי/דרך מנחם בגין,קריית הממשלה/דרך מנחם בגין,5018
45039,13679,אבן גבירול/ארלוזורוב,עיריית תל אביב - יפו/אבן גבירול,4921
10514,44590,ביטוח לאומי,תחנה תפעולית/ביטוח לאומי,4865
47982,37251,גולדה מאיר/שלמה הלוי,קרית מדע/גולדה מאיר,4858
14347,14077,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,מחלף גהה/דרך ז'בוטינסקי,4845
