stop_id,stop_name,lat,lon,region,metro,degree
41133,מחלף חמד,31.801002,35.12454,Jerusalem,Jerusalem,62
9048,בן גוריון/שערי ירושלים,31.791535,35.196465,Jerusalem,Jerusalem,41
10775,גשר המיתרים/שד' הרצל,31.787162,35.199533,Jerusalem,Jerusalem,37
12975,מחלף לה גווארדייה,32.059454,34.786354,Center,Tel Aviv,34
13246,בית ספר הולץ/חיל השריון,32.046238,34.783261,Center,Tel Aviv,31
13322,המסגר/הרכב,32.06366,34.78558,Center,Tel Aviv,27
9553,גשר המיתרים/שד' הרצל,31.787322,35.199369,Jerusalem,Jerusalem,22
13356,דרך קיבוץ גלויות/כביש 1,32.046861,34.784605,Center,Tel Aviv,20
27623,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,31.25922,34.798363,South,Beer Sheva,20
14355,מחלף מורשה,32.123726,34.854708,Center,Tel Aviv,20
28638,משה סנה,31.778838,34.662757,Center,Periphery,19
23543,יסודות/מזכירות,31.815141,34.864194,Center,Periphery,19
359,הרצל/בנימין מינץ,32.326176,34.863338,Center,Tel Aviv,17
24787,צומת צריפין לצפון,31.969932,34.843347,Center,Tel Aviv,17
16205,בי''ח בלינסון/גשר מבצע ארנון,32.091161,34.86787,Center,Tel Aviv,17
48481,שדרות שז''ר/בנייני האומה,31.787719,35.202632,Jerusalem,Jerusalem,16
750,צומת רכבת ראש העין צפון,32.123156,34.93743,Center,Tel Aviv,16
25709,שוק עירוני/בית אשל,31.240599,34.795095,South,Beer Sheva,16
5048,קהילת ציון/שפרינצק,32.607536,35.292173,North,Periphery,16
3368,סחרוב,32.790059,34.959315,North,Haifa,16
5266,גן העיר/הגליל,32.787223,35.539636,North,Periphery,16
7561,צומת חשמונאים דרום,31.929869,35.02517,Center,Tel Aviv,15
3437,גרנד קניון/שמחה גולן,32.789085,35.008567,North,Haifa,15
2356,קניון לב המפרץ/ההסתדרות,32.793209,35.038917,North,Haifa,15
24713,ת. רכבת מודיעין מרכז,31.901335,35.004985,Center,Tel Aviv,15
44001,קניון הנגב/יצחק בן צבי,31.244291,34.795887,South,Beer Sheva,15
13946,ת. רכבת האוניברסיטה/שד' רוקח,32.102783,34.80697,Center,Tel Aviv,15
43374,המשנה,31.780039,34.660266,Center,Periphery,15
26659,השוק העירוני/שדרות דוד חכם,31.23819,34.798108,South,Beer Sheva,14
25938,בן גוריון/נאות אשקלון,31.661191,34.577653,Center,Periphery,14
13214,מתחם מידטאון/דרך מנחם בגין,32.080071,34.795266,Center,Tel Aviv,14
16061,השוק העירוני/לבקוביץ',31.894032,34.810379,Center,Tel Aviv,14
50332,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,32.083005,34.802272,Center,Tel Aviv,13
26122,בית רסקו/יצחק רגר,31.247534,34.797811,South,Beer Sheva,13
22182,עירייה,31.908118,35.007695,Center,Tel Aviv,13
13268,מחלף לה גווארדייה,32.059174,34.786171,Center,Tel Aviv,13
22633,שדה תעופה בן גוריון/טרמינל 1,31.994437,34.896552,Center,Tel Aviv,13
8871,יצחק הנדיב/ואדי ג'וז,31.794711,35.236274,Jerusalem,Jerusalem,13
8399,תחנת דלק/כוכב יעקב,31.872953,35.260453,Jerusalem,Jerusalem,13
11070,שד. לוי אשכול/הגלעד,31.747626,34.999031,Jerusalem,Periphery,13
12226,צומת אילות,29.578808,34.968106,South,Periphery,12
22804,ישראל גלילי/הסחלב,31.96913,34.784014,Center,Tel Aviv,12
24390,אחוזה/הרב יצחק נסים,32.177924,34.886744,Center,Tel Aviv,12
17623,צומת נהריה,33.005573,35.10031,North,Periphery,12
11292,שפע חיים/דורש טוב,31.79731,35.212587,Jerusalem,Jerusalem,12
25975,שדרות הפלמח/חטיבת כרמלי,31.804129,34.660742,Center,Periphery,12
8881,בי''ס ראשידה/סולטאן סולימאן,31.783407,35.234642,Jerusalem,Jerusalem,12
21786,צומת כפר סבא רעננה צפון,32.192382,34.888841,Center,Tel Aviv,12
19581,צומת אחיהוד,32.911913,35.167244,North,Haifa,12
14339,ת. רכבת תל אביב - סבידור/על פרשת דרכים,32.081153,34.797682,Center,Tel Aviv,12
25968,אלי כהן/יצחק בן צבי,31.668214,34.572132,Center,Periphery,12
47975,ת. מרכזית חדרה/רציפים,32.435961,34.914024,Center,Periphery,12
