stop_id,stop_name,region,metro,lat,lon,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,approx_harmonic,in_largest_component
41133,מחלף חמד,Jerusalem,Jerusalem,31.801002,35.12454,5289,62,0.0020353226971308517,10454.0,25,37,5289.0,5165.0,0.00012535561099318758,0.08753620085934812,4877.282017295402,True
17303,ת.התרעננות/דור אלון מגל 6,Center,Periphery,32.380891,35.017969,110,16,0.0005252445670015101,220.0,9,7,110.0,110.0,9.664896933222434e-06,0.11245975822291501,4744.688628701589,True
9048,בן גוריון/שערי ירושלים,Jerusalem,Jerusalem,31.791535,35.196465,4736,41,0.0013459392029413696,9472.0,18,23,4736.0,4736.0,8.512745915617155e-05,0.04075583520331773,4732.453272923544,True
41132,מחלף חמד,Jerusalem,Jerusalem,31.80033,35.126238,5339,44,0.0014444225592541526,10540.0,32,12,5201.0,5339.0,0.00039912149956276193,0.0667127713406123,4666.821197989026,True
7562,שדרות בית הלל/כניסה לעיר,Center,Tel Aviv,31.936583,35.035446,1935,29,0.000952005777690237,3870.0,24,5,1935.0,1935.0,8.231858022861104e-05,0.06578550133217163,4663.236878934281,True
27689,מחלף קמה לצפון,South,Beer Sheva,31.442254,34.766984,652,24,0.0007878668505022651,1304.0,10,14,652.0,652.0,9.227916249619519e-05,0.07164835470953683,4621.707194332937,True
13274,מחלף גבעת שמואל/כביש 4,Center,Tel Aviv,32.074823,34.843553,5873,24,0.0007878668505022651,11746.0,6,18,5873.0,5873.0,9.291684931026353e-05,0.03531013063716591,4575.802145704793,True
23418,רבי יהודה הנשיא/כניסה לעיר,Center,Tel Aviv,32.052593,34.944195,687,24,0.0007878668505022651,1374.0,22,2,687.0,687.0,4.68536323217636e-05,0.05659929190346065,4562.814623088518,True
9046,ויצמן/גבעת שאול,Jerusalem,Jerusalem,31.790348,35.197526,5548,36,0.0011818002757533978,11096.0,25,11,5548.0,5548.0,0.00021821830468925067,0.028071206912902845,4533.526479995501,True
11160,מחלף שורש,Jerusalem,Jerusalem,31.800861,35.07598,1161,13,0.00042676121068872694,2322.0,2,11,1161.0,1161.0,3.214800449123437e-05,0.010411933111642863,4517.04999653392,True
29350,מחלף מסובים,Center,Tel Aviv,32.036975,34.829135,2017,27,0.0008863502068150482,4034.0,10,17,2017.0,2017.0,5.1110792604412696e-05,0.020599645808949525,4517.036787368686,True
23543,יסודות/מזכירות,Center,Periphery,31.815141,34.864194,262,19,0.0006237279233142932,509.0,11,8,254.0,255.0,4.074965784547578e-05,0.007867132252441279,4510.974330096813,True
7444,דרך האר''י/ כביש 375,Jerusalem,Jerusalem,31.704533,35.126243,2654,29,0.000952005777690237,5272.0,7,22,2618.0,2654.0,5.6318546640887366e-05,0.06917053971241441,4510.89898372285,True
11080,מחלף הרטוב,Jerusalem,Periphery,31.767298,34.997537,2066,18,0.0005909001378766989,4132.0,10,8,2066.0,2066.0,8.722578944137376e-05,0.005978947708232214,4500.877341450952,True
11081,מחלף הרטוב,Jerusalem,Periphery,31.767124,34.99773,1982,18,0.0005909001378766989,3964.0,5,13,1982.0,1982.0,9.255190363778704e-05,0.011417980470211763,4478.301119839236,True
