stop_id,stop_name,region,metro,lat,lon,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,approx_harmonic,in_largest_component
41133,מחלף חמד,Jerusalem,Jerusalem,31.801002,35.12454,5289,62,0.0020353226971308517,10454.0,25,37,5289.0,5165.0,0.00012535561099318758,0.08753620085934812,4877.282017295402,True
41132,מחלף חמד,Jerusalem,Jerusalem,31.80033,35.126238,5339,44,0.0014444225592541526,10540.0,32,12,5201.0,5339.0,0.00039912149956276193,0.0667127713406123,4666.821197989026,True
9048,בן גוריון/שערי ירושלים,Jerusalem,Jerusalem,31.791535,35.196465,4736,41,0.0013459392029413696,9472.0,18,23,4736.0,4736.0,8.512745915617155e-05,0.04075583520331773,4732.453272923544,True
10716,צומת רמות/גולדה,Jerusalem,Jerusalem,31.808253,35.204001,8696,40,0.001313111417503775,17392.0,17,23,8696.0,8696.0,0.00019085868154620093,0.010076645825469894,4299.698204953036,True
10775,גשר המיתרים/שד' הרצל,Jerusalem,Jerusalem,31.787162,35.199533,9490,37,0.001214628061190992,18976.0,24,13,9486.0,9490.0,0.0001769290502504964,0.016613779250713834,4404.570294448122,True
9046,ויצמן/גבעת שאול,Jerusalem,Jerusalem,31.790348,35.197526,5548,36,0.0011818002757533978,11096.0,25,11,5548.0,5548.0,0.00021821830468925067,0.028071206912902845,4533.526479995501,True
12975,מחלף לה גווארדייה,Center,Tel Aviv,32.059454,34.786354,3302,34,0.0011161447048782089,6604.0,22,12,3302.0,3302.0,0.00012841522254875267,0.027363158296157954,4476.5631043982785,True
13354,ת. רכבת תל אביב - סבידור/דרך נמיר,Center,Tel Aviv,32.083482,34.795008,5696,31,0.0010176613485654259,11348.0,22,9,5652.0,5696.0,9.893166465416331e-05,0.014206340737616117,4221.355021577076,True
13246,בית ספר הולץ/חיל השריון,Center,Tel Aviv,32.046238,34.783261,4577,31,0.0010176613485654259,9154.0,15,16,4577.0,4577.0,9.146260139842257e-05,0.02236972049083838,3943.549344882549,True
10790,צומת רמות/גולדה,Jerusalem,Jerusalem,31.809649,35.204075,7679,31,0.0010176613485654259,14154.0,24,7,7679.0,6475.0,0.00013953045253689737,0.013753701267167531,4385.761245457383,True
7562,שדרות בית הלל/כניסה לעיר,Center,Tel Aviv,31.936583,35.035446,1935,29,0.000952005777690237,3870.0,24,5,1935.0,1935.0,8.231858022861104e-05,0.06578550133217163,4663.236878934281,True
7444,דרך האר''י/ כביש 375,Jerusalem,Jerusalem,31.704533,35.126243,2654,29,0.000952005777690237,5272.0,7,22,2618.0,2654.0,5.6318546640887366e-05,0.06917053971241441,4510.89898372285,True
29350,מחלף מסובים,Center,Tel Aviv,32.036975,34.829135,2017,27,0.0008863502068150482,4034.0,10,17,2017.0,2017.0,5.1110792604412696e-05,0.020599645808949525,4517.036787368686,True
13322,המסגר/הרכב,Center,Tel Aviv,32.06366,34.78558,6712,27,0.0008863502068150482,13424.0,19,8,6712.0,6712.0,0.00016693543138732712,0.0010081587670816143,3959.4886541332385,True
10264,צומת רמות/ידין,Jerusalem,Jerusalem,31.806286,35.204892,3488,27,0.0008863502068150482,6976.0,17,10,3488.0,3488.0,6.612171300031561e-05,0.003627271404824567,4094.307626735803,True
