strategy,removed,surviving_nodes,lcc_size,lcc_share_original,lcc_share_surviving
articulation points,50,30413,30037.0,0.98602,0.98764
pagerank,50,30413,30055.0,0.98661,0.98823
degree,50,30413,30130.0,0.98907,0.99069
weighted degree,50,30413,30140.0,0.9894,0.99102
betweenness,50,30413,30150.0,0.98973,0.99135
random (baseline),50,30413,30180.2,0.99072,0.99235
betweenness,3000,27463,9346.0,0.3068,0.34031
degree,3000,27463,9892.0,0.32472,0.36019
articulation points,3000,27463,11268.0,0.36989,0.4103
pagerank,3000,27463,21801.0,0.71566,0.79383
weighted degree,3000,27463,25060.0,0.82264,0.9125
random (baseline),3000,27463,26066.0,0.85566,0.94913
