strategy,removed,surviving_nodes,lcc_size,lcc_share_original,lcc_share_surviving
degree,0,30463,30237.0,0.99258,0.99258
degree,10,30453,30192.0,0.9911,0.99143
degree,25,30438,30167.0,0.99028,0.9911
degree,50,30413,30130.0,0.98907,0.99069
degree,77,30386,30082.0,0.98749,0.99
degree,100,30363,30032.0,0.98585,0.9891
degree,154,30309,29944.0,0.98296,0.98796
degree,231,30232,29530.0,0.96937,0.97678
degree,308,30155,29384.0,0.96458,0.97443
degree,385,30078,29262.0,0.96058,0.97287
degree,462,30001,29157.0,0.95713,0.97187
degree,538,29925,29045.0,0.95345,0.97059
degree,615,29848,28914.0,0.94915,0.96871
degree,692,29771,28804.0,0.94554,0.96752
degree,769,29694,28481.0,0.93494,0.95915
degree,846,29617,28225.0,0.92653,0.953
degree,923,29540,27936.0,0.91705,0.9457
degree,1000,29463,27822.0,0.9133,0.9443
degree,1077,29386,27727.0,0.91019,0.94354
degree,1154,29309,27510.0,0.90306,0.93862
degree,1231,29232,27364.0,0.89827,0.9361
degree,1308,29155,27244.0,0.89433,0.93445
degree,1385,29078,26880.0,0.88238,0.92441
degree,1462,29001,24539.0,0.80553,0.84614
degree,1538,28925,24415.0,0.80146,0.84408
degree,1615,28848,24124.0,0.79191,0.83625
degree,1692,28771,23997.0,0.78774,0.83407
degree,1769,28694,23220.0,0.76224,0.80923
degree,1846,28617,22771.0,0.7475,0.79572
degree,1923,28540,22414.0,0.73578,0.78535
degree,2000,28463,22242.0,0.73013,0.78144
degree,2077,28386,21029.0,0.69031,0.74082
degree,2154,28309,21008.0,0.68962,0.7421
degree,2231,28232,12359.0,0.40571,0.43777
degree,2308,28155,12352.0,0.40548,0.43871
degree,2385,28078,11327.0,0.37183,0.40341
degree,2462,28001,11184.0,0.36713,0.39941
degree,2538,27925,11039.0,0.36237,0.39531
degree,2615,27848,10577.0,0.34721,0.37981
degree,2692,27771,10078.0,0.33083,0.3629
degree,2769,27694,10067.0,0.33047,0.36351
degree,2846,27617,9933.0,0.32607,0.35967
degree,2923,27540,9931.0,0.326,0.3606
degree,3000,27463,9892.0,0.32472,0.36019
weighted degree,0,30463,30237.0,0.99258,0.99258
weighted degree,10,30453,30223.0,0.99212,0.99245
weighted degree,25,30438,30200.0,0.99137,0.99218
weighted degree,50,30413,30140.0,0.9894,0.99102
