community,stops,active_stops,total_stop_use_count,avg_stop_use_count,avg_trip_graph_degree,avg_socio_cluster,median_socio_cluster,dominant_socio_cluster,low_socio_stop_share,dominant_city,dominant_region,dominant_metro,socio_areas,covered_population_estimate,active_stop_share,use_per_1000,community_label
0.0,1313,1313,474460,361.35567402894134,3.0784463061690786,5.5118050266565115,6.0,7.0,0.2985529322162985,באר שבע,דרום,באר שבע,106,336686.0,1.0,1409.2062040001663,באר שבע (#0)
2.0,842,842,122815,145.86104513064134,3.005938242280285,5.794536817102138,6.0,7.0,0.22209026128266032,נהרייה,צפון,פריפריה,71,152473.0,1.0,805.4868730857266,נהרייה (#2)
1.0,828,828,120442,145.46135265700482,3.2644927536231885,5.8647342995169085,7.0,7.0,0.21256038647342995,קריית שמונה,צפון,פריפריה,99,128402.0,1.0,938.0071961495927,קריית שמונה (#1)
3.0,820,820,444118,541.6073170731707,3.392682926829268,6.314634146341463,7.0,7.0,0.19146341463414634,נתניה,מרכז,תל אביב,124,315023.0,1.0,1409.7954752510134,נתניה (#3)
5.0,806,806,151144,187.52357320099256,3.1116625310173696,5.145161290322581,5.0,3.0,0.38089330024813894,אשבל,צפון,פריפריה,58,88931.0,1.0,1699.5648311612374,אשבל (#5)
4.0,796,796,270951,340.39070351758795,3.040201005025126,5.131909547738694,5.5,7.0,0.36432160804020103,עפולה,צפון,פריפריה,97,162215.0,1.0,1670.32025398391,עפולה (#4)
6.0,788,788,191203,242.64340101522842,3.668781725888325,5.57994923857868,6.0,7.0,0.2563451776649746,קריית גת,מרכז,פריפריה,127,187902.0,1.0,1017.5676682525998,קריית גת (#6)
7.0,775,775,315471,407.0593548387097,3.8129032258064517,5.838709677419355,6.0,7.0,0.33806451612903227,רמלה,מרכז,תל אביב,90,271765.0,1.0,1160.8227696723272,רמלה (#7)
8.0,741,741,324186,437.497975708502,3.163292847503374,3.9581646423751686,4.0,3.0,0.6977058029689609,נוף הגליל,צפון,פריפריה,34,125221.0,1.0,2588.91080569553,נוף הגליל (#8)
9.0,663,663,496560,748.9592760180996,3.392156862745098,5.624434389140271,6.0,7.0,0.29411764705882354,ירושלים,ירושלים,ירושלים,65,185541.0,1.0,2676.281792164535,ירושלים (#9)
10.0,660,660,173747,263.2530303030303,3.425757575757576,7.960606060606061,8.0,9.0,0.010606060606060607,כפר סבא,מרכז,תל אביב,71,210727.0,1.0,824.5122836655958,כפר סבא (#10)
11.0,659,659,496002,752.6585735963581,3.0349013657056148,4.036418816388467,5.0,1.0,0.456752655538695,ירושלים,ירושלים,ירושלים,72,322916.0,1.0,1536.0093646644948,ירושלים (#11)
12.0,643,643,393105,611.3608087091758,3.7791601866251945,7.244167962674961,7.0,7.0,0.03110419906687403,ראשון לציון,מרכז,תל אביב,75,314370.0,1.0,1250.4532875274358,ראשון לציון (#12)
13.0,638,638,159469,249.9514106583072,3.227272727272727,5.440438871473354,6.0,5.0,0.2304075235109718,שדרות,דרום,פריפריה,84,121266.0,1.0,1315.0347170682633,שדרות (#13)
14.0,597,597,214311,358.97989949748745,3.403685092127303,8.28140703517588,9.0,9.0,0.005025125628140704,הרצלייה,מרכז,תל אביב,72,258516.0,1.0,829.0047811354036,הרצלייה (#14)
15.0,574,574,677432,1180.1951219512196,4.770034843205575,4.334494773519164,3.0,2.0,0.554006968641115,ירושלים,ירושלים,ירושלים,111,173013.0,1.0,3915.4976793651344,ירושלים (#15)
16.0,566,566,214954,379.7773851590106,3.411660777385159,4.696113074204947,5.0,2.0,0.3621908127208481,טבריה,צפון,פריפריה,64,81872.0,1.0,2625.488567520031,טבריה (#16)
17.0,563,563,475546,844.664298401421,3.7211367673179394,6.477797513321492,7.0,8.0,0.1349911190053286,פתח תקווה,מרכז,תל אביב,84,279831.0,1.0,1699.404283299563,פתח תקווה (#17)
18.0,555,555,170496,307.2,3.2612612612612613,4.864864864864865,5.0,5.0,0.409009009009009,כרמיאל,צפון,פריפריה,38,97081.0,1.0,1756.224183928884,כרמיאל (#18)
19.0,550,550,161494,293.62545454545455,3.110909090909091,7.2690909090909095,8.0,8.0,0.04181818181818182,פרדס חנה-כרכור,צפון,פריפריה,54,115910.0,1.0,1393.2706410145804,פרדס חנה-כרכור (#19)
20.0,542,542,340110,627.509225092251,3.6937269372693726,4.981549815498155,5.0,7.0,0.36900369003690037,אשדוד,מרכז,פריפריה,63,235884.0,1.0,1441.8527750928422,אשדוד (#20)
21.0,517,517,427010,825.9381044487427,3.2959381044487426,2.622823984526112,2.0,2.0,0.8278529980657641,בית שמש,ירושלים,פריפריה,25,155665.0,1.0,2743.1342947997305,בית שמש (#21)
22.0,515,515,195939,380.4640776699029,3.1281553398058253,5.052427184466019,5.0,5.0,0.29320388349514565,אשקלון,מרכז,פריפריה,41,158504.0,1.0,1236.1770049967192,אשקלון (#22)
23.0,512,512,254190,496.46484375,3.42578125,5.86328125,5.0,5.0,0.072265625,חדרה,מרכז,פריפריה,43,148180.0,1.0,1715.4136860574974,חדרה (#23)
24.0,512,512,803029,1568.416015625,4.93359375,7.30859375,9.0,9.0,0.1328125,תל אביב -יפו,מרכז,תל אביב,138,201242.0,1.0,3990.3648343785094,תל אביב -יפו (#24)
25.0,512,512,431899,843.552734375,3.873046875,8.064453125,9.0,9.0,0.025390625,רמת גן,מרכז,תל אביב,97,287200.0,1.0,1503.8266016713092,רמת גן (#25)
26.0,476,476,184533,387.67436974789916,3.6449579831932772,6.773109243697479,7.0,8.0,0.13865546218487396,רחובות,מרכז,תל אביב,60,193871.0,1.0,951.8339514419382,רחובות (#26)
27.0,466,466,332252,712.9871244635193,3.0579399141630903,5.444206008583691,5.0,7.0,0.30257510729613735,חיפה,צפון,חיפה,52,172426.0,1.0,1926.9251736977021,חיפה (#27)
28.0,462,462,425464,920.9177489177489,3.2012987012987013,5.759740259740259,6.0,8.0,0.3658008658008658,חיפה,צפון,חיפה,59,104760.0,1.0,4061.3211149293625,חיפה (#28)
29.0,441,441,109218,247.65986394557822,3.090702947845805,5.199546485260771,5.0,5.0,0.2471655328798186,עכו,צפון,חיפה,39,83230.0,1.0,1312.243181545116,עכו (#29)
31.0,436,436,525482,1205.2339449541284,3.4220183486238533,5.1307339449541285,5.0,5.0,0.286697247706422,תל אביב -יפו,מרכז,תל אביב,90,258605.0,1.0,2031.9870072117708,תל אביב -יפו (#31)
32.0,407,407,312705,768.3169533169533,3.42997542997543,6.511056511056511,7.0,9.0,0.1769041769041769,חיפה,צפון,חיפה,40,102555.0,1.0,3049.1443615620888,חיפה (#32)
33.0,398,398,91621,230.2035175879397,3.228643216080402,6.223618090452261,5.5,9.0,0.34673366834170855,עדי,צפון,חיפה,6,33768.0,1.0,2713.2492300402746,עדי (#33)
34.0,387,387,216166,558.5684754521964,3.6149870801033592,5.038759689922481,6.0,2.0,0.42377260981912146,נשר,צפון,חיפה,34,56756.0,1.0,3808.6898301501164,נשר (#34)
35.0,385,385,158854,412.6077922077922,3.81038961038961,6.496103896103896,7.0,8.0,0.17142857142857143,ראש העין,מרכז,תל אביב,23,96748.0,1.0,1641.9357506098318,ראש העין (#35)
36.0,383,383,140014,365.5718015665796,3.9347258485639687,8.381201044386422,8.0,8.0,0.020887728459530026,מודיעין-מכבים-רעות*,מרכז,תל אביב,33,112453.0,1.0,1245.0890594292728,מודיעין-מכבים-רעות* (#36)
37.0,372,372,590742,1588.016129032258,5.57258064516129,4.911290322580645,3.0,2.0,0.5456989247311828,בני ברק,מרכז,תל אביב,86,286548.0,1.0,2061.581305749822,בני ברק (#37)
30.0,356,356,50423,141.6376404494382,3.157303370786517,5.98876404494382,7.0,7.0,0.1797752808988764,אילת,דרום,פריפריה,43,62577.0,1.0,805.7752848490659,אילת (#30)
38.0,347,347,98779,284.6657060518732,3.792507204610951,5.585014409221902,6.0,6.0,0.2219020172910663,אריאל,מרכז,פריפריה,36,90737.0,1.0,1088.629776166283,אריאל (#38)
40.0,332,332,125402,377.7168674698795,2.891566265060241,3.9066265060240966,3.0,3.0,0.6867469879518072,מגדל העמק,צפון,פריפריה,25,49802.0,1.0,2518.0113248463917,מגדל העמק (#40)
39.0,331,331,306308,925.4018126888218,3.105740181268882,4.111782477341389,4.0,4.0,0.6404833836858006,ירושלים,ירושלים,ירושלים,37,113367.0,1.0,2701.9150193618952,ירושלים (#39)
41.0,331,331,487818,1473.7703927492448,4.126888217522659,3.0604229607250755,2.0,2.0,0.6888217522658611,ירושלים,ירושלים,ירושלים,45,133808.0,1.0,3645.6564629917493,ירושלים (#41)
42.0,320,320,143703,449.071875,2.828125,4.725,6.0,7.0,0.453125,מעלה אדומים,מרכז,ירושלים,31,88950.0,1.0,1615.5480607082632,מעלה אדומים (#42)
43.0,318,318,100914,317.33962264150944,3.2547169811320753,4.232704402515723,4.0,4.0,0.6257861635220126,דימונה,דרום,פריפריה,14,41772.0,1.0,2415.8287848319446,דימונה (#43)
44.0,316,316,334736,1059.2911392405063,3.3765822784810124,2.9841772151898733,2.0,1.0,0.7341772151898734,ביתר עילית,מרכז,ירושלים,18,83753.0,1.0,3996.7045956562747,ביתר עילית (#44)
45.0,314,314,283018,901.3312101910828,3.7929936305732483,2.984076433121019,2.0,1.0,0.6910828025477707,מודיעין עילית,מרכז,תל אביב,34,107390.0,1.0,2635.4222925784525,מודיעין עילית (#45)
46.0,307,307,270963,882.6156351791531,2.820846905537459,5.710097719869707,6.0,6.0,0.2671009771986971,חיפה,צפון,חיפה,34,74078.0,1.0,3657.8066362482787,חיפה (#46)
47.0,298,298,98491,330.50671140939596,3.2416107382550337,4.456375838926174,5.0,3.0,0.48322147651006714,אופקים,דרום,באר שבע,38,50571.0,1.0,1947.578651796484,אופקים (#47)
48.0,295,295,92661,314.1050847457627,3.864406779661017,3.9389830508474577,3.0,2.0,0.5423728813559322,צפת,צפון,פריפריה,28,52517.0,1.0,1764.4000990155569,צפת (#48)
49.0,286,286,31524,110.22377622377623,2.7517482517482517,1.7587412587412588,2.0,2.0,0.993006993006993,רהט,דרום,באר שבע,13,79065.0,1.0,398.7099222158983,רהט (#49)
