socio_unit_id,socio_cluster,population,stops,active_stops,total_stop_use,avg_trip_graph_degree,critical_stops,community,city,region,metro,stop_use_per_1000,stops_per_1000,stop_use_per_stop,critical_stop_share,active_stop_share
100001,4.0,452.0,2,2,181,5.0,0,6.0,תירוש,מרכז,פריפריה,400.4424778761062,4.424778761061947,90.5,0.0,1.0
10150001,9.0,3155.0,10,10,6569,2.5,0,63.0,מבשרת ציון,ירושלים,ירושלים,2082.091917591125,3.1695721077654517,656.9,0.0,1.0
10150002,7.0,6081.0,32,32,11038,3.0625,0,63.0,מבשרת ציון,ירושלים,ירושלים,1815.1619799375103,5.262292386120704,344.9375,0.0,1.0
10150003,9.0,4305.0,16,16,6353,2.125,0,63.0,מבשרת ציון,ירושלים,ירושלים,1475.725900116144,3.7166085946573753,397.0625,0.0,1.0
10150004,8.0,2272.0,16,16,11924,4.375,0,63.0,מבשרת ציון,ירושלים,ירושלים,5248.239436619718,7.042253521126761,745.25,0.0,1.0
10150005,7.0,5035.0,28,28,15225,2.892857142857143,0,63.0,מבשרת ציון,ירושלים,ירושלים,3023.8331678252234,5.561072492552134,543.75,0.0,1.0
10150006,7.0,4638.0,15,15,6961,3.0,0,63.0,מבשרת ציון,ירושלים,ירושלים,1500.8624407072014,3.2341526520051747,464.06666666666666,0.0,1.0
10200001,7.0,5405.0,31,31,8801,2.3225806451612905,0,65.0,אור עקיבא,צפון,פריפריה,1628.3071230342277,5.735430157261795,283.9032258064516,0.0,1.0
10200002,3.0,2819.0,10,10,3841,3.2,0,65.0,אור עקיבא,צפון,פריפריה,1362.5399077687123,3.54735721887194,384.1,0.0,1.0
10200003,4.0,5316.0,22,22,9152,3.0,0,65.0,אור עקיבא,צפון,פריפריה,1721.5951843491346,4.138449962377727,416.0,0.0,1.0
10200004,7.0,2247.0,8,8,3944,3.75,0,65.0,אור עקיבא,צפון,פריפריה,1755.229194481531,3.5603026257231862,493.0,0.0,1.0
10200005,7.0,5087.0,30,30,12391,3.2333333333333334,0,65.0,אור עקיבא,מרכז,פריפריה,2435.816787890702,5.897385492431689,413.03333333333336,0.0,1.0
10240001,7.0,916.0,1,1,24,2.0,0,10.0,חרוצים,מרכז,תל אביב,26.200873362445414,1.0917030567685588,24.0,0.0,1.0
1030001,8.0,1523.0,3,3,2839,4.0,0,4.0,תל עדשים,צפון,פריפריה,1864.0840446487198,1.969796454366382,946.3333333333334,0.0,1.0
10310002,4.0,5554.0,33,33,13222,4.151515151515151,0,13.0,שדרות,דרום,פריפריה,2380.6265754411234,5.9416636658264315,400.6666666666667,0.0,1.0
10310003,4.0,3224.0,17,17,8653,4.176470588235294,0,13.0,שדרות,דרום,פריפריה,2683.9330024813894,5.2729528535980155,509.0,0.0,1.0
10310004,5.0,5660.0,30,30,9817,2.8,0,13.0,שדרות,דרום,פריפריה,1734.452296819788,5.30035335689046,327.23333333333335,0.0,1.0
10310005,5.0,5269.0,26,26,11101,2.8846153846153846,0,13.0,שדרות,דרום,פריפריה,2106.8513949516037,4.9345226798253945,426.96153846153845,0.0,1.0
10310006,6.0,7695.0,28,28,6780,2.6785714285714284,0,13.0,שדרות,דרום,פריפריה,881.0916179337231,3.6387264457439894,242.14285714285714,0.0,1.0
10310007,6.0,5600.0,54,54,15861,2.537037037037037,0,13.0,שדרות,דרום,פריפריה,2832.3214285714284,9.642857142857142,293.72222222222223,0.0,1.0
10340001,6.0,796.0,21,21,7262,4.428571428571429,0,6.0,קריית מלאכי,מרכז,פריפריה,9123.115577889446,26.381909547738694,345.8095238095238,0.0,1.0
10340002,5.0,4589.0,6,6,800,3.0,0,6.0,קריית מלאכי,מרכז,פריפריה,174.3299193724123,1.3074743952930923,133.33333333333334,0.0,1.0
10340003,2.0,2497.0,10,10,4589,4.3,0,6.0,קריית מלאכי,מרכז,פריפריה,1837.8053664397275,4.004805766920304,458.9,0.0,1.0
10340004,4.0,2369.0,3,3,1020,4.666666666666667,0,6.0,קריית מלאכי,מרכז,פריפריה,430.56141831996626,1.2663571127057829,340.0,0.0,1.0
10340005,4.0,4171.0,14,14,2760,3.357142857142857,0,6.0,קריית מלאכי,מרכז,פריפריה,661.7118197075041,3.3565092304003836,197.14285714285714,0.0,1.0
10340006,2.0,5034.0,9,9,1780,4.0,0,6.0,קריית מלאכי,מרכז,פריפריה,353.595550258244,1.7878426698450536,197.77777777777777,0.0,1.0
10340007,2.0,2392.0,8,8,1698,3.375,0,6.0,קריית מלאכי,מרכז,פריפריה,709.866220735786,3.3444816053511706,212.25,0.0,1.0
10340008,4.0,3857.0,10,10,3195,3.8,0,6.0,קריית מלאכי,מרכז,פריפריה,828.3640134819808,2.5926886180969664,319.5,0.0,1.0
1040001,7.0,864.0,3,3,2975,3.6666666666666665,0,4.0,מזרע,צפון,פריפריה,3443.2870370370374,3.472222222222222,991.6666666666666,0.0,1.0
10430001,8.0,207.0,1,1,46,3.0,0,15.0,גיזו,מרכז,פריפריה,222.2222222222222,4.830917874396135,46.0,0.0,1.0
10440001,9.0,301.0,1,1,33,3.0,0,55.0,יעף,מרכז,תל אביב,109.63455149501661,3.3222591362126246,33.0,0.0,1.0
10450001,6.0,311.0,3,3,64,2.0,0,2.0,שתולה,צפון,פריפריה,205.7877813504823,9.64630225080386,21.333333333333332,0.0,1.0
10460001,7.0,409.0,2,2,154,2.0,0,47.0,אוהד,דרום,פריפריה,376.5281173594132,4.88997555012225,77.0,0.0,1.0
10470001,6.0,293.0,45,45,5584,3.6,0,5.0,חזון,צפון,פריפריה,19058.0204778157,153.5836177474403,124.08888888888889,0.0,1.0
10500001,9.0,2172.0,7,7,936,3.142857142857143,0,7.0,בית חשמונאי,מרכז,תל אביב,430.939226519337,3.2228360957642725,133.71428571428572,0.0,1.0
10510001,7.0,320.0,3,3,117,2.0,0,47.0,תלמי אליהו,דרום,פריפריה,365.625,9.375,39.0,0.0,1.0
10520001,5.0,509.0,3,3,668,3.0,0,30.0,קטורה,דרום,פריפריה,1312.37721021611,5.893909626719057,222.66666666666666,0.0,1.0
10560001,3.0,175.0,2,2,424,1.0,0,9.0,"עין כרם-בי""ס חקלאי",ירושלים,ירושלים,2422.857142857143,11.428571428571429,212.0,0.0,1.0
10580001,9.0,393.0,1,1,77,4.0,0,47.0,שדה ניצן,דרום,פריפריה,195.92875318066157,2.544529262086514,77.0,0.0,1.0
10590001,1.0,23990.0,62,62,10203,3.0483870967741935,0,53.0,כסיפה,דרום,פריפריה,425.3022092538558,2.5844101709045435,164.56451612903226,0.0,1.0
10600001,2.0,16011.0,18,18,1752,4.277777777777778,0,0.0,לקיה,דרום,באר שבע,109.42477047030167,1.1242270938729624,97.33333333333333,0.0,1.0
1060001,4.0,363.0,2,2,1934,4.0,0,4.0,כפר גדעון,צפון,פריפריה,5327.823691460055,5.5096418732782375,967.0,0.0,1.0
10610011,6.0,6833.0,46,46,16455,3.608695652173913,0,8.0,נוף הגליל,צפון,פריפריה,2408.166252012293,6.732035709058978,357.7173913043478,0.0,1.0
10610012,4.0,4709.0,110,110,36204,2.918181818181818,0,8.0,נוף הגליל,צפון,פריפריה,7688.256530048843,23.35952431514122,329.1272727272727,0.0,1.0
10610021,5.0,3681.0,23,23,7377,2.608695652173913,0,8.0,נוף הגליל,צפון,פריפריה,2004.074979625102,6.2483020918228735,320.7391304347826,0.0,1.0
10610022,3.0,3540.0,24,24,31780,4.25,0,8.0,נוף הגליל,צפון,פריפריה,8977.401129943504,6.779661016949152,1324.1666666666667,0.0,1.0
10610023,3.0,2419.0,16,16,18013,4.1875,0,8.0,נוף הגליל,צפון,פריפריה,7446.465481603968,6.614303431169905,1125.8125,0.0,1.0
10610024,5.0,2787.0,12,12,10329,4.833333333333333,0,8.0,נוף הגליל,צפון,פריפריה,3706.135629709365,4.3057050592034445,860.75,0.0,1.0
10610031,6.0,2643.0,39,39,16709,2.5384615384615383,0,8.0,נוף הגליל,צפון,פריפריה,6321.982595535377,14.755959137343927,428.43589743589746,0.0,1.0
10610032,7.0,2182.0,11,11,4173,2.909090909090909,0,8.0,נוף הגליל,צפון,פריפריה,1912.4656278643447,5.0412465627864345,379.3636363636364,0.0,1.0
