community,dominant_city,community_label,dominant_region,dominant_metro,n_neighborhoods,n_neighborhoods_with_population,n_stops,population,mean_socio_cluster,socio_cluster_spread,rho_use_per_capita,p_use_per_capita,rho_stops_per_capita,p_stops_per_capita,rho_stop_level_use,p_stop_level_use,abs_rho,p_fdr_bh,p_bonferroni,significant_raw_05,significant_fdr_05,significant_bonferroni_05,direction
44,ביתר עילית,ביתר עילית (#44),מרכז,ירושלים,17,16,316,83753.0,4.470588235294118,5,-0.6913328984437151,0.0030154200168937295,0.26589726863219815,0.3195494982222984,-0.5880760598954498,8.794312793972868e-31,0.6913328984437151,0.025950196043168977,0.17187894096294257,True,True,False,weaker neighbourhoods favoured
45,מודיעין עילית,מודיעין עילית (#45),מרכז,תל אביב,21,19,314,107390.0,3.857142857142857,8,-0.6518862021795256,0.0024920170504256264,0.2933040799929827,0.22295229959259844,-0.5127551473598116,1.876246543692905e-22,0.6518862021795256,0.025950196043168977,0.1420449718742607,True,True,False,weaker neighbourhoods favoured
52,יבנה,יבנה (#52),מרכז,תל אביב,23,23,264,67389.0,7.434782608695652,7,-0.6272119279158861,0.0013588014846958433,-0.07853505400650361,0.721699903257154,-0.4474298359193664,2.1200032460332698e-14,0.6272119279158861,0.019362921156915767,0.07745168462766307,True,True,False,weaker neighbourhoods favoured
3,נתניה,נתניה (#3),מרכז,תל אביב,102,100,820,315023.0,6.3431372549019605,8,-0.4267731113816434,9.521320797977491e-06,0.33775904210944707,0.0005888381153353185,-0.436698331480769,1.654396076025603e-39,0.4267731113816434,0.000542715285484717,0.000542715285484717,True,True,True,weaker neighbourhoods favoured
13,נתיבות,נתיבות (#13),דרום,פריפריה,73,73,638,121266.0,6.0,9,-0.41524602703476426,0.0002591531801405113,0.02138231917641907,0.8574996525295451,-0.5395887731961692,1.7435716585731878e-49,0.41524602703476426,0.007385865634004573,0.014771731268009146,True,True,True,weaker neighbourhoods favoured
51,חולון,חולון (#51),מרכז,תל אביב,38,38,279,144011.0,6.421052631578948,5,-0.3926256089101145,0.014757998710246087,-0.2952411566093601,0.07193246487703102,-0.12811691919181875,0.03242027480299148,0.3926256089101145,0.09248741400902759,0.8412059264840269,True,False,False,weaker neighbourhoods favoured
20,אשדוד,אשדוד (#20),מרכז,פריפריה,59,58,542,235884.0,4.932203389830509,6,-0.3758619283620642,0.0036421327779886286,-0.02472277300970231,0.8538467985595881,-0.3402299600588691,3.7347910598906697e-16,0.3758619283620642,0.025950196043168977,0.20760156834535182,True,True,False,weaker neighbourhoods favoured
48,צפת,צפת (#48),צפון,פריפריה,26,26,295,52517.0,4.576923076923077,8,-0.37507963045640413,0.05901620238466081,0.34759234770496084,0.0818702119210408,-0.6263977907491534,1.4850449109939528e-33,0.37507963045640413,0.1770486071539824,1.0,False,False,False,weaker neighbourhoods favoured
2,נהרייה,נהרייה (#2),צפון,פריפריה,65,65,842,152473.0,6.292307692307692,8,-0.35998205527752475,0.003225513541547153,-0.17614076668907985,0.16045631617586775,-0.29169853194393264,5.606174366450379e-18,0.35998205527752475,0.025950196043168977,0.18385427186818773,True,True,False,weaker neighbourhoods favoured
28,חיפה,חיפה (#28),צפון,חיפה,36,36,462,104760.0,5.666666666666667,9,-0.355686143559026,0.033256413832695134,-0.08000986769890307,0.6427466425519652,-0.3192060203064547,2.107876931551036e-12,0.355686143559026,0.14143478417586472,1.0,True,False,False,weaker neighbourhoods favoured
22,אשקלון,אשקלון (#22),מרכז,פריפריה,37,36,515,158504.0,4.972972972972973,8,-0.352941544143948,0.03473836804319484,-0.0645274325710993,0.7084854501658032,-0.1117414602810319,0.011161322034339229,0.352941544143948,0.14143478417586472,1.0,True,False,False,weaker neighbourhoods favoured
40,מגדל העמק,מגדל העמק (#40),צפון,פריפריה,18,17,332,49802.0,4.888888888888889,7,-0.33087559578337994,0.19455219317873054,-0.4151435377806453,0.09750406908512808,0.18120784856821262,0.0009105101143992116,0.33087559578337994,0.46206145879948507,1.0,False,False,False,weaker neighbourhoods favoured
47,אופקים,אופקים (#47),דרום,פריפריה,35,35,298,50571.0,5.942857142857143,8,-0.3288906213503225,0.05371472514058794,0.08847014093965005,0.6132913062584087,-0.5566341384568835,1.2066795868149918e-25,0.3288906213503225,0.1770486071539824,1.0,False,False,False,weaker neighbourhoods favoured
26,רחובות,רחובות (#26),מרכז,תל אביב,51,51,476,193871.0,6.9411764705882355,7,-0.32222841347922926,0.021110279283079757,-0.08605068233886581,0.5482361181080402,-0.16474843357743324,0.0003066337202719228,0.32222841347922926,0.10938962901232237,1.0,True,False,False,weaker neighbourhoods favoured
15,ירושלים,ירושלים (#15),ירושלים,ירושלים,66,65,574,173013.0,4.848484848484849,9,-0.29715124997840886,0.016225862106846945,0.34901797128002227,0.004379202097346814,-0.38360723905884486,1.4581666661667264e-21,0.29715124997840886,0.09248741400902759,0.9248741400902759,True,False,False,weaker neighbourhoods favoured
39,ירושלים,ירושלים (#39),ירושלים,ירושלים,28,28,331,113367.0,4.25,7,-0.2825808211201661,0.14511885475928707,0.33703068289727317,0.07946224520620691,-0.2651620431610809,9.8892825334692e-07,0.2825808211201661,0.35964237918605924,1.0,False,False,False,weaker neighbourhoods favoured
10,כפר סבא,כפר סבא (#10),מרכז,תל אביב,62,62,660,210727.0,7.967741935483871,5,-0.2425512370986648,0.05750485156314633,-0.007407968817791733,0.9544304213424384,0.024110628746446695,0.536358488208462,0.2425512370986648,0.1770486071539824,1.0,False,False,False,weaker neighbourhoods favoured
57,קריית אתא,קריית אתא (#57),צפון,חיפה,13,13,209,57252.0,5.384615384615385,6,-0.22774006804074312,0.45427332715194246,-0.02277400680407431,0.9411317448264112,-0.10579061063113718,0.12738238845318756,0.22774006804074312,0.7335215825878694,1.0,False,False,False,weaker neighbourhoods favoured
16,טבריה,טבריה (#16),צפון,פריפריה,54,54,566,81872.0,5.555555555555555,8,-0.22675460040040935,0.09917517514684163,0.02225985646753711,0.8730637445030842,-0.2903945293745538,1.843668485107278e-12,0.22675460040040935,0.26918976111285586,1.0,False,False,False,weaker neighbourhoods favoured
