stop_id,stop_name,region,metro,community,lat,lon,trip_graph_degree,trip_graph_weighted_degree,stop_use_count,is_critical,socio_join_method,socio_join_distance_m,socio_unit_id,socio_locality,socio_locality_en,socio_cluster,socio_cluster_group,socio_index_value,socio_population
13103,קניון עזריאלי/דרך מנחם בגין,מרכז,תל אביב,24.0,32.074592,34.790584,19,21396.0,10698,False,within,0.0,50000613,תל אביב -יפו,TEL AVIV - YAFO,10.0,high_8_10,,
10775,גשר המיתרים/שד' הרצל,ירושלים,ירושלים,15.0,31.787162,35.199533,37,18976.0,9490,False,within,0.0,30001021,ירושלים,JERUSALEM,6.0,middle_5_7,,1507.0
10716,צומת רמות/גולדה,ירושלים,ירושלים,41.0,31.808253,35.204001,40,17392.0,8696,False,nearest,40.80924792590825,30000435,ירושלים,JERUSALEM,6.0,middle_5_7,,2196.0
12910,דרך נמיר/יהודה המכבי,מרכז,תל אביב,24.0,32.095376,34.794137,10,16816.0,8408,False,within,0.0,50000413,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,3751.0
13358,סמינר הקיבוצים/דרך נמיר,מרכז,תל אביב,24.0,32.101886,34.792779,21,15780.0,7890,False,within,0.0,50000115,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,6077.0
13120,דרך זאב ז'בוטינסקי/מכון מור,מרכז,תל אביב,37.0,32.09139,34.824447,9,14786.0,7393,False,within,0.0,61000117,בני ברק,BENE BERAQ,3.0,low_1_4,,
13206,קריית הממשלה/דרך מנחם בגין,מרכז,תל אביב,24.0,32.07238,34.789654,10,14386.0,7193,False,within,0.0,50000613,תל אביב -יפו,TEL AVIV - YAFO,10.0,high_8_10,,
10790,צומת רמות/גולדה,ירושלים,ירושלים,41.0,31.809649,35.204075,31,14154.0,7679,False,within,0.0,30000421,ירושלים,JERUSALEM,3.0,low_1_4,,7525.0
13067,דרך נמיר/יהודה המכבי,מרכז,תל אביב,50.0,32.095157,34.794466,8,13648.0,6824,False,within,0.0,50000411,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,5137.0
48363,ת.רק''ל יהודית/דרך מנחם בגין,מרכז,תל אביב,24.0,32.069627,34.787954,8,13610.0,6805,False,within,0.0,50000613,תל אביב -יפו,TEL AVIV - YAFO,10.0,high_8_10,,
10514,ביטוח לאומי,ירושלים,ירושלים,15.0,31.784519,35.200768,7,13478.0,6739,False,within,0.0,30001021,ירושלים,JERUSALEM,6.0,middle_5_7,,1507.0
13322,המסגר/הרכב,מרכז,תל אביב,24.0,32.06366,34.78558,27,13424.0,6712,False,within,0.0,50000626,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,2295.0
8636,גולדה/שלמה הלוי,ירושלים,ירושלים,41.0,31.8003,35.208257,16,13156.0,6712,False,nearest,15.136354175986371,30000911,ירושלים,JERUSALEM,2.0,low_1_4,,2888.0
9959,מסוף הר נוף/כנפי נשרים,ירושלים,ירושלים,15.0,31.78719,35.180668,9,12770.0,8850,False,nearest,87.5640460530424,30000932,ירושלים,JERUSALEM,3.0,low_1_4,,6393.0
13207,ת.רק''ל בן גוריון/דרך ז'בוטינסקי,מרכז,תל אביב,37.0,32.090946,34.82339,8,12732.0,6366,False,within,0.0,61000231,בני ברק,BENE BERAQ,3.0,low_1_4,,3739.0
10237,יחזקאל/כיכר השבת ,ירושלים,ירושלים,41.0,31.788783,35.218466,5,12206.0,6103,False,within,0.0,30000825,ירושלים,JERUSALEM,1.0,low_1_4,,2794.0
14347,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,מרכז,תל אביב,37.0,32.092819,34.83772,7,12110.0,6055,False,within,0.0,61000123,בני ברק,BENE BERAQ,2.0,low_1_4,,10362.0
9445,ירמיהו/שמגר,ירושלים,ירושלים,15.0,31.792377,35.207749,12,12004.0,6002,False,within,0.0,30000914,ירושלים,JERUSALEM,2.0,low_1_4,,9465.0
22099,ת. רק''ל בלינסון/קניון אבנת,מרכז,תל אביב,17.0,32.091717,34.865871,11,11915.0,6538,False,nearest,29.700786180153543,79000132,פתח תקווה,PETAH TIQWA,5.0,middle_5_7,,721.0
50332,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,מרכז,תל אביב,24.0,32.083005,34.802272,13,11832.0,5916,False,within,0.0,86000124,רמת גן,RAMAT GAN,8.0,high_8_10,,801.0
44960,ירמיהו/הצבי,ירושלים,ירושלים,15.0,31.790922,35.201995,10,11798.0,5899,False,within,0.0,30000914,ירושלים,JERUSALEM,2.0,low_1_4,,9465.0
13274,מחלף גבעת שמואל/כביש 4,מרכז,תל אביב,37.0,32.074823,34.843553,24,11746.0,5873,False,within,0.0,61000424,בני ברק,BENE BERAQ,2.0,low_1_4,,5241.0
49466,מסוף הר נוף/כנפי נשרים,ירושלים,ירושלים,15.0,31.787451,35.180456,10,11722.0,6668,False,nearest,59.01317658250284,30000932,ירושלים,JERUSALEM,3.0,low_1_4,,6393.0
50385,ת.רק''ל ארלוזורוב/דרך מנחם בגין,מרכז,תל אביב,24.0,32.080749,34.796416,9,11574.0,5787,False,within,0.0,50000437,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,2723.0
3521,מת''מ,צפון,חיפה,46.0,32.790385,34.96134,13,11540.0,5770,False,nearest,97.63640457757789,40000433,חיפה,HAIFA,9.0,high_8_10,,4744.0
12898,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,מרכז,תל אביב,37.0,32.092564,34.840305,11,11537.0,5770,False,within,0.0,61000411,בני ברק,BENE BERAQ,2.0,low_1_4,,10786.0
48438,דרך מנחם בגין/החשמונאים,מרכז,תל אביב,24.0,32.068718,34.786781,10,11384.0,5692,False,within,0.0,50000613,תל אביב -יפו,TEL AVIV - YAFO,10.0,high_8_10,,
13354,ת. רכבת תל אביב - סבידור/דרך נמיר,מרכז,תל אביב,50.0,32.083482,34.795008,31,11348.0,5696,False,within,0.0,50000437,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,2723.0
3368,סחרוב,צפון,חיפה,46.0,32.790059,34.959315,16,11340.0,5670,False,nearest,322.15311596977784,40000431,חיפה,HAIFA,3.0,low_1_4,,670.0
14077,מחלף גהה/דרך ז'בוטינסקי,מרכז,תל אביב,37.0,32.092621,34.843838,16,11308.0,5654,False,within,0.0,61000123,בני ברק,BENE BERAQ,2.0,low_1_4,,10362.0
47982,גולדה מאיר/שלמה הלוי,ירושלים,ירושלים,41.0,31.799622,35.209612,7,11302.0,5651,False,within,0.0,30000911,ירושלים,JERUSALEM,2.0,low_1_4,,2888.0
37528,הבורסה/דרך ז'בוטינסקי,מרכז,תל אביב,37.0,32.082534,34.800724,8,11234.0,5617,False,within,0.0,86000125,רמת גן,RAMAT GAN,9.0,high_8_10,,2896.0
13575,הבימה/שד' רוטשילד,מרכז,תל אביב,24.0,32.071428,34.778882,8,11176.0,5588,False,within,0.0,50000517,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,3432.0
13227,ז'בוטינסקי/ אבו חצירא,מרכז,תל אביב,37.0,32.092113,34.832382,10,11171.0,5659,False,within,0.0,61000121,בני ברק,BENE BERAQ,3.0,low_1_4,,4015.0
8756,מרכז שטנר/כנפי נשרים,ירושלים,ירושלים,15.0,31.787703,35.188761,7,11114.0,5557,False,nearest,80.08076483456786,30000923,ירושלים,JERUSALEM,2.0,low_1_4,,6827.0
8757,בית ענבר/כנפי נשרים,ירושלים,ירושלים,15.0,31.787728,35.185498,5,11100.0,5550,False,nearest,442.6226197049487,30000923,ירושלים,JERUSALEM,2.0,low_1_4,,6827.0
9046,ויצמן/גבעת שאול,ירושלים,ירושלים,15.0,31.790348,35.197526,36,11096.0,5548,False,within,0.0,30001016,ירושלים,JERUSALEM,2.0,low_1_4,,3851.0
10742,שמגר/אוהל יהושע,ירושלים,ירושלים,15.0,31.795289,35.207757,8,11030.0,5515,False,within,0.0,30000914,ירושלים,JERUSALEM,2.0,low_1_4,,9465.0
13247,מגדל קונקורד/דרך בן גוריון,מרכז,תל אביב,37.0,32.093343,34.822094,10,10970.0,5538,False,within,0.0,86000113,רמת גן,RAMAT GAN,7.0,middle_5_7,,3728.0
37251,קרית מדע/גולדה מאיר,ירושלים,ירושלים,41.0,31.799436,35.211783,8,10958.0,5479,False,within,0.0,30000512,ירושלים,JERUSALEM,1.0,low_1_4,,2806.0
29483,המסגר/המלאכה,מרכז,תל אביב,24.0,32.066289,34.786744,5,10840.0,5420,False,within,0.0,50000626,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,2295.0
12900,מגדל ויטה/דרך בן גוריון,מרכז,תל אביב,37.0,32.094143,34.822193,9,10820.0,5709,False,within,0.0,61000117,בני ברק,BENE BERAQ,3.0,low_1_4,,
16205,בי''ח בלינסון/גשר מבצע ארנון,מרכז,תל אביב,17.0,32.091161,34.86787,17,10712.0,5359,False,within,0.0,79000132,פתח תקווה,PETAH TIQWA,5.0,middle_5_7,,721.0
13320,קניון עזריאלי/דרך מנחם בגין,מרכז,תל אביב,24.0,32.074453,34.791116,24,10694.0,5347,False,within,0.0,50000621,תל אביב -יפו,TEL AVIV - YAFO,9.0,high_8_10,,864.0
