stop_id,stop_name,lat,lon,region,metro,degree,community_louvain,community_lp
37338,לוד,31.947694,34.879159,Center,Tel Aviv,8,-1,-1
37292,תל אביב ההגנה,32.053978,34.784839,Center,Tel Aviv,8,-1,-1
37362,הרצליה,32.163558,34.817406,Center,Tel Aviv,8,-1,-1
37380,חיפה מרכז,32.822306,34.997177,North,Haifa,7,-1,-1
37372,בנימינה,32.514386,34.949573,North,Periphery,6,-1,-1
37376,חוף הכרמל,32.7936,34.957404,North,Haifa,6,-1,-1
41293,קרית מוצקין,32.833133,35.07003,North,Haifa,6,-1,-1
37314,באר שבע צפון,31.262089,34.809287,South,Beer Sheva,5,-1,-1
37368,חדרה מערב,32.438199,34.899321,Center,Periphery,5,-1,-1
37316,קרית גת,31.603526,34.777955,Center,Periphery,4,-1,-1
37326,אשדוד עד הלום,31.774061,34.666059,Center,Periphery,4,-1,-1
37332,רחובות,31.908691,34.806351,Center,Tel Aviv,4,-1,-1
37306,נתב''ג,32.00036,34.870481,Center,Tel Aviv,4,-1,-1
37294,רשל''צ משה דיין,31.987987,34.757392,Center,Tel Aviv,4,-1,-1
37358,תל אביב מרכז,32.083715,34.798247,Center,Tel Aviv,4,-1,-1
37360,תא אוניברסיטה,32.103516,34.804499,Center,Tel Aviv,4,-1,-1
37366,נתניה,32.319915,34.869257,Center,Tel Aviv,4,-1,-1
40581,כפר ברוך,32.647554,35.207967,North,Periphery,4,-1,-1
37340,כפר חבד,31.993188,34.85303,Center,Tel Aviv,3,-1,-1
37334,לוד גני אביב,31.966977,34.87879,Center,Tel Aviv,3,-1,-1
37336,רמלה,31.928809,34.877304,Center,Tel Aviv,3,-1,-1
37346,חולון וולפסון,32.035462,34.759782,Center,Tel Aviv,3,-1,-1
37364,בית יהושע,32.262346,34.860112,Center,Tel Aviv,3,-1,-1
42417,רעננה מערב,32.180006,34.850737,Center,Tel Aviv,3,-1,-1
37396,פאתי מודיעין,31.893133,34.960682,Jerusalem,Tel Aviv,3,-1,-1
37388,מרכזית המפרץ/קו החוף,32.793921,35.037079,North,Haifa,3,-1,-1
42507,מרכזית המפרץ,32.792942,35.032964,North,Haifa,3,-1,-1
40584,כפר יהושע,32.681069,35.124624,North,Haifa,3,-1,-1
37386,חוצות מפרץ,32.809527,35.054514,North,Haifa,3,-1,-1
37296,הוד השרון,32.170213,34.901609,Center,Tel Aviv,3,-1,-1
37344,בת ים אלי כהן - יוספטל,32.014588,34.762082,Center,Tel Aviv,3,-1,-1
37897,תחנת מוניות תל אביב תחנה מרכזית,32.055019,34.780993,Center,Tel Aviv,3,-1,-1
49095,אהרונוביץ',32.092685,34.838868,Center,Tel Aviv,3,-1,-1
49117,אהרונוביץ',32.092685,34.838868,Center,Tel Aviv,3,-1,-1
39260,אופקים,31.322628,34.634078,South,Beer Sheva,2,-1,-1
37308,להבים רהט,31.369907,34.79804,South,Beer Sheva,2,-1,-1
37324,אשקלון,31.676856,34.604447,Center,Periphery,2,-1,-1
37290,שדרות,31.515877,34.586059,South,Periphery,2,-1,-1
38643,נתיבות,31.410871,34.571423,South,Periphery,2,-1,-1
