community_id,label,size,share_of_component,internal_edges,external_edges,internal_weight,external_weight,external_weight_ratio,boundary_stations,boundary_share,centroid_lat,centroid_lon,dominant_region,dominant_region_share,dominant_metro,dominant_metro_share,hub_stop_id,hub_stop_name
0,Beer Sheva / South,1334,0.04412,1961,189,460039,8474,0.0181,89,0.0667,31.2603,34.8176,South,0.9985,Beer Sheva,0.964,26846,דואר/יצחק רגר
1,Periphery / North,854,0.02824,1346,86,117010,3682,0.0305,46,0.0539,33.0783,35.6298,North,0.9977,Periphery,1.0,20480,ת. מרכזית ק''ש/הורדה
2,Periphery / North,842,0.02785,1245,41,118114,1839,0.0153,31,0.0368,33.0238,35.2142,North,1.0,Periphery,0.9299,18015,הרב קוק/ז'בוטינסקי
3,Tel Aviv / Center,820,0.02712,1302,178,428022,8913,0.0204,78,0.0951,32.3186,34.895,Center,1.0,Tel Aviv,0.728,333,הרצל/עולי הגרדום
4,Periphery / North,820,0.02712,1204,109,266644,7493,0.0273,48,0.0585,32.5881,35.2629,North,0.8829,Periphery,0.972,4565,היכל התרבות/חטיבה תש''ע
5,Periphery / North,812,0.02685,1200,126,145515,9953,0.064,64,0.0788,32.828,35.3156,North,0.9988,Periphery,0.7389,18563,סח'נין עיריה
6,Periphery / Center,788,0.02606,1321,249,179560,11934,0.0623,110,0.1396,31.6714,34.7765,Center,0.9226,Periphery,0.9454,27522,מלכי ישראל/יציאה צפונית
7,Tel Aviv / Center,775,0.02563,1381,193,300406,14250,0.0453,102,0.1316,31.9574,34.8895,Center,0.9884,Tel Aviv,0.9935,23115,בי''ס חב''ד ב' לבנים/יוספטל
8,Periphery / North,741,0.02451,1147,50,313605,6100,0.0191,36,0.0486,32.7171,35.3127,North,1.0,Periphery,0.9946,21145,מרכז רסקו
9,Jerusalem,665,0.02199,1042,170,467392,31527,0.0632,71,0.1068,31.7385,35.1739,Jerusalem,0.8241,Jerusalem,0.991,8733,אצטדיון טדי/א''ס ביתר
10,Tel Aviv / Center,662,0.02189,1068,131,165503,8348,0.048,54,0.0816,32.1994,34.9405,Center,1.0,Tel Aviv,0.9562,745,קניון ערים/וייצמן
11,Jerusalem,659,0.02179,931,138,467706,37367,0.074,75,0.1138,31.7528,35.2287,Jerusalem,0.9666,Jerusalem,1.0,9574,ככר הדוידקה/הנביאים
12,Tel Aviv / Center,643,0.02127,1135,160,376034,18499,0.0469,80,0.1244,31.9636,34.7926,Center,1.0,Tel Aviv,1.0,25135,שדרות משה דיין/הנחשול
13,Periphery / South,638,0.0211,985,89,152749,2968,0.0191,50,0.0784,31.4823,34.5998,South,0.8636,Periphery,0.8903,27220,שדרות ירושלים/יוסף סמלו
14,Tel Aviv / Center,597,0.01974,968,96,205602,7784,0.0365,50,0.0838,32.1688,34.8482,Center,1.0,Tel Aviv,1.0,24237,מרכז מסחרי מול הפארק/דרך ירושלים
15,Jerusalem,574,0.01898,1071,596,602254,95972,0.1375,179,0.3118,31.7963,35.1108,Jerusalem,0.8728,Jerusalem,0.7474,10775,גשר המיתרים/שד' הרצל
16,Periphery / North,571,0.01888,939,66,208208,3818,0.018,36,0.063,32.7547,35.5295,North,0.993,Periphery,0.9982,5266,גן העיר/הגליל
17,Tel Aviv / Center,563,0.01862,958,179,449031,26980,0.0567,72,0.1279,32.0873,34.8835,Center,1.0,Tel Aviv,1.0,22099,ת. רק''ל בלינסון/קניון אבנת
18,Periphery / North,559,0.01849,877,65,164527,4673,0.0276,37,0.0662,32.9342,35.3136,North,1.0,Periphery,1.0,18041,נשיאי ישראל/בית הכרם
19,Periphery / North,550,0.01819,825,61,153934,5345,0.0336,46,0.0836,32.5467,34.9625,North,0.6364,Periphery,0.7073,1456,בית ספר אלונים/הבנים
20,Periphery / Center,543,0.01796,944,116,327126,7520,0.0225,39,0.0718,31.7905,34.6506,Center,1.0,Periphery,0.9632,43374,המשנה
21,Periphery / Jerusalem,517,0.0171,819,66,412384,7386,0.0176,45,0.087,31.7237,34.9872,Jerusalem,0.9516,Periphery,0.9923,10848,שד.נחל הקישון/נחל שחם
22,Periphery / Center,515,0.01703,773,65,187413,4680,0.0244,28,0.0544,31.667,34.5753,Center,0.9981,Periphery,1.0,25840,בן גוריון/נאות אשקלון
23,Periphery / Center,514,0.017,823,115,242346,10151,0.0402,64,0.1245,32.4458,34.956,Center,0.9767,Periphery,0.9981,1170,הנשיא וייצמן/הבנים
24,Tel Aviv / Center,512,0.01693,1019,488,721219,113323,0.1358,208,0.4062,32.1037,34.7982,Center,0.9746,Tel Aviv,0.9277,13103,קניון עזריאלי/דרך מנחם בגין
25,Tel Aviv / Center,512,0.01693,879,225,398699,47803,0.1071,113,0.2207,32.0626,34.8373,Center,1.0,Tel Aviv,1.0,12837,אלוף שדה/הירדן
26,Tel Aviv / Center,476,0.01574,827,81,176011,7243,0.0395,54,0.1134,31.8826,34.8127,Center,1.0,Tel Aviv,0.9895,15558,משטרה/הרצל
27,Haifa / North,466,0.01541,663,99,316819,14554,0.0439,57,0.1223,32.8392,35.0793,North,1.0,Haifa,1.0,2360,קריון/ד. עכו חיפה
28,Haifa / North,462,0.01528,675,129,403021,30276,0.0699,80,0.1732,32.8093,34.9955,North,1.0,Haifa,1.0,3731,העירייה
29,Haifa / North,441,0.01458,647,69,103752,5659,0.0517,37,0.0839,32.9412,35.14,North,1.0,Haifa,0.737,20534,ת.מרכזית עכו/דרך הארבעה
30,Periphery / South,437,0.01445,670,16,58152,846,0.0143,15,0.0343,29.9396,35.0279,South,0.9588,Periphery,1.0,12226,צומת אילות
31,Tel Aviv / Center,436,0.01442,691,110,494295,40193,0.0752,69,0.1583,32.0293,34.7578,Center,1.0,Tel Aviv,1.0,24020,שד' ירושלים/שמחה הולצברג
32,Haifa / North,407,0.01346,632,132,296580,21596,0.0679,67,0.1646,32.7822,35.0082,North,0.9975,Haifa,0.9975,2092,טרומפלדור/כיכר דוד
33,Haifa / North,404,0.01336,625,47,89384,1962,0.0215,30,0.0743,32.824,35.186,North,1.0,Haifa,1.0,18815,כיכר אלמעסרה
34,Haifa / North,387,0.0128,599,201,199966,18442,0.0844,88,0.2274,32.7569,35.0802,North,1.0,Haifa,1.0,3870,ת. מרכזית המפרץ/הורדה
35,Tel Aviv / Center,385,0.01273,679,109,151476,6434,0.0407,42,0.1091,32.1075,34.9611,Center,1.0,Tel Aviv,1.0,16516,שכונת נווה אפק/ה' באייר
36,Tel Aviv / Center,383,0.01267,695,117,131134,7726,0.0556,36,0.094,31.9027,35.0032,Center,0.5222,Tel Aviv,0.6658,41599,שדרות החשמונאים/לב העיר
37,Tel Aviv / Center,372,0.0123,868,337,543561,63104,0.104,116,0.3118,32.0931,34.8303,Center,1.0,Tel Aviv,1.0,13120,דרך זאב ז'בוטינסקי/מכון מור
38,Periphery / Center,351,0.01161,631,69,94622,3038,0.0311,28,0.0798,32.1434,35.1375,Center,1.0,Periphery,0.7464,34450,דרך תא''ל אורי בראון/האצ''ל
39,Jerusalem,335,0.01108,471,99,290453,17961,0.0582,32,0.0955,31.8691,35.2513,Jerusalem,0.7881,Jerusalem,0.8925,10659,שדרות נווה יעקב/אחימאיר
40,Periphery / North,332,0.01098,461,38,119384,5971,0.0476,29,0.0873,32.6818,35.2595,North,1.0,Periphery,0.9819,4780,שדרות הבנים/נוף העמק
