stop_id,stop_name,own_community,own_community_label,connected_communities,crossing_edges,crossing_weight,degree,weighted_degree,crossing_weight_share,lat,lon,region,metro
41133,מחלף חמד,15,Jerusalem,19,28,2466,62,10454,0.2359,31.801002,35.12454,Jerusalem,Jerusalem
41132,מחלף חמד,15,Jerusalem,16,23,2271,44,10540,0.2155,31.80033,35.126238,Jerusalem,Jerusalem
7562,שדרות בית הלל/כניסה לעיר,36,Tel Aviv / Center,14,25,1414,29,3870,0.3654,31.936583,35.035446,Center,Tel Aviv
23418,רבי יהודה הנשיא/כניסה לעיר,67,Tel Aviv / Center,14,22,687,24,1374,0.5,32.052593,34.944195,Center,Tel Aviv
9048,בן גוריון/שערי ירושלים,15,Jerusalem,13,16,1357,41,9472,0.1433,31.791535,35.196465,Jerusalem,Jerusalem
9046,ויצמן/גבעת שאול,15,Jerusalem,12,18,3286,36,11096,0.2961,31.790348,35.197526,Jerusalem,Jerusalem
7444,דרך האר''י/ כביש 375,44,Jerusalem / Center,12,20,1956,29,5272,0.371,31.704533,35.126243,Jerusalem,Jerusalem
748,מחלף קסם,17,Tel Aviv / Center,12,18,1034,19,1534,0.6741,32.119458,34.93836,Center,Tel Aviv
25419,רבי יהודה הנשיא/חוני המעגל,67,Tel Aviv / Center,12,17,350,21,1296,0.2701,32.052767,34.945148,Center,Tel Aviv
14348,מחלף גהה/דרך ז'בוטינסקי,37,Tel Aviv / Center,11,14,1587,15,3174,0.5,32.092314,34.844941,Center,Tel Aviv
51199,דרך האר''י/המגיד ממעזריטש,44,Jerusalem / Center,11,17,987,22,2976,0.3317,31.703488,35.126299,Jerusalem,Jerusalem
13274,מחלף גבעת שמואל/כביש 4,37,Tel Aviv / Center,10,15,2386,24,11746,0.2031,32.074823,34.843553,Center,Tel Aviv
16491,מחלף קסם,35,Tel Aviv / Center,10,13,531,19,1756,0.3024,32.115483,34.941008,Center,Tel Aviv
27689,מחלף קמה לצפון,6,Periphery / Center,10,14,408,24,1304,0.3129,31.442254,34.766984,South,Beer Sheva
13246,בית ספר הולץ/חיל השריון,24,Tel Aviv / Center,9,16,3150,31,9154,0.3441,32.046238,34.783261,Center,Tel Aviv
12975,מחלף לה גווארדייה,24,Tel Aviv / Center,9,18,1813,34,6604,0.2745,32.059454,34.786354,Center,Tel Aviv
13178,חיל השריון/קיבוץ גלויות,24,Tel Aviv / Center,9,11,967,17,9462,0.1022,32.04815,34.78452,Center,Tel Aviv
35701,מחלף שעריה,35,Tel Aviv / Center,9,12,879,13,1096,0.802,32.065055,34.90225,Center,Tel Aviv
1296,מחלף יגור,34,Haifa / North,9,11,490,26,3372,0.1453,32.752167,35.071543,North,Haifa
17303,ת.התרעננות/דור אלון מגל 6,1,Periphery / North,9,13,132,16,220,0.6,32.380891,35.017969,Center,Periphery
21589,מחלף מסובים,37,Tel Aviv / Center,8,19,1750,25,4882,0.3585,32.038296,34.831105,Center,Tel Aviv
