experiment,seed,resolution,num_communities,modularity,largest_community,communities_under_10,ari_vs_headline
seed sweep,0,1.0,78,0.9448,1437,0,0.8581
seed sweep,1,1.0,80,0.9445,1295,0,0.7777
seed sweep,7,1.0,76,0.945,1433,0,0.8298
seed sweep,42,1.0,73,0.9448,1334,0,1.0
seed sweep,123,1.0,77,0.9443,1002,0,0.7678
seed sweep,2024,1.0,79,0.9447,1263,0,0.7843
resolution sweep,42,0.5,417,0.9414,817,32,0.4968
resolution sweep,42,0.8,91,0.9486,1255,0,0.8176
resolution sweep,42,1.0,73,0.9448,1334,0,1.0
resolution sweep,42,1.2,80,0.9397,1224,0,0.8512
resolution sweep,42,2.0,112,0.9261,836,0,0.719
