model,degree,nodes,probability,cumulative_probability,ccdf
real_transit,1,518,0.017004234645307422,0.017004234645307422,1.0
real_transit,2,13091,0.4297344319338214,0.44673866657912875,0.9829957653546926
real_transit,3,6769,0.22220398516232806,0.6689426517414568,0.5532613334208712
real_transit,4,4256,0.13971046843712043,0.8086531201785773,0.33105734825854316
real_transit,5,2336,0.07668318944293077,0.8853363096215081,0.19134687982142273
real_transit,6,1388,0.04556347043954962,0.9308997800610577,0.11466369037849189
real_transit,7,749,0.02458720414929587,0.9554869842103535,0.06910021993894233
real_transit,8,462,0.01516593900797689,0.9706529232183304,0.044513015789646504
real_transit,9,280,0.00919147818665266,0.9798444014049831,0.02934707678166959
real_transit,10,190,0.00623707448380002,0.9860814758887831,0.02015559859501692
real_transit,11,104,0.0034139776121852737,0.9894954535009683,0.013918524111216857
real_transit,12,86,0.002823096871614746,0.9923185503725831,0.010504546499031653
real_transit,13,60,0.001969602468568427,0.9942881528411516,0.007681449627416903
real_transit,14,40,0.0013130683123789516,0.9956012211535306,0.0057118471588484265
real_transit,15,33,0.001083281357712635,0.9966845025112432,0.004398778846469442
real_transit,16,23,0.0007550142796178971,0.9974395167908611,0.0033154974887568134
real_transit,17,13,0.0004267472015231592,0.9978662639923842,0.0025604832091389307
real_transit,18,8,0.0002626136624757903,0.99812887765486,0.002133736007615794
real_transit,19,18,0.0005908807405705282,0.9987197583954305,0.001871122345139975
real_transit,20,7,0.0002297869546663165,0.9989495453500968,0.0012802416045695209
real_transit,21,3,9.848012342842137e-05,0.9990480254735252,0.0010504546499031653
real_transit,22,5,0.00016413353904736895,0.9992121590125727,0.0009519745264747748
real_transit,23,1,3.2826707809473786e-05,0.9992449857203821,0.0007878409874273462
real_transit,24,5,0.00016413353904736895,0.9994091192594294,0.0007550142796178827
real_transit,25,1,3.2826707809473786e-05,0.9994419459672389,0.0005908807405705652
real_transit,26,1,3.2826707809473786e-05,0.9994747726750485,0.0005580540327611017
real_transit,27,4,0.00013130683123789515,0.9996060795062863,0.0005252273249515271
real_transit,29,2,6.565341561894757e-05,0.9996717329219053,0.0003939204937136731
real_transit,31,3,9.848012342842137e-05,0.9997702130453336,0.0003282670780947461
real_transit,34,1,3.2826707809473786e-05,0.9998030397531431,0.00022978695466635557
real_transit,36,1,3.2826707809473786e-05,0.9998358664609527,0.00019696024685689206
real_transit,37,1,3.2826707809473786e-05,0.9998686931687621,0.00016413353904731753
real_transit,40,1,3.2826707809473786e-05,0.9999015198765716,0.00013130683123785403
real_transit,41,1,3.2826707809473786e-05,0.9999343465843811,9.848012342839052e-05
real_transit,44,1,3.2826707809473786e-05,0.9999671732921905,6.565341561892701e-05
real_transit,62,1,3.2826707809473786e-05,1.0,3.282670780946351e-05
erdos_renyi_gnm,0,1021,0.03351606867347274,0.03351606867347274,1.0
erdos_renyi_gnm,1,3450,0.11325214194268457,0.1467682106161573,0.9664839313265272
erdos_renyi_gnm,2,5884,0.19315234875094378,0.3399205593671011,0.8532317893838427
erdos_renyi_gnm,3,6716,0.22046416964842597,0.560384729015527,0.6600794406328989
erdos_renyi_gnm,4,5618,0.18442044447362374,0.7448051734891508,0.43961527098447295
erdos_renyi_gnm,5,3760,0.12342842136362145,0.8682335948527722,0.25519482651084924
erdos_renyi_gnm,6,2227,0.07310507829169813,0.9413386731444704,0.13176640514722782
erdos_renyi_gnm,7,1096,0.03597807175918327,0.9773167449036536,0.058661326855529605
erdos_renyi_gnm,8,446,0.014640711683025309,0.9919574565866789,0.02268325509634639
erdos_renyi_gnm,9,176,0.0057775005744673865,0.9977349571611464,0.008042543413321113
erdos_renyi_gnm,10,49,0.0016085086826642156,0.9993434658438105,0.002265042838853648
erdos_renyi_gnm,11,14,0.000459573909332633,0.9998030397531431,0.0006565341561894922
