stop_id,stop_code,stop_name,degree,weighted_degree,betweenness,community_id
37292,17104,תל אביב ההגנה,8,1493,0.5378399378399378,6
37358,17038,תל אביב מרכז,4,1543,0.5086247086247087,6
37338,17058,לוד,8,557,0.3982128982128982,1
37376,17020,חוף הכרמל,6,688,0.36418026418026406,2
37380,17016,חיפה מרכז,7,815,0.33986013986013985,2
37306,17090,נתב''ג,4,617,0.31002331002331,6
41293,17117,קרית מוצקין,6,624,0.15897435897435896,4
37314,17082,באר שבע צפון,5,454,0.11328671328671329,5
40581,17113,כפר ברוך,4,212,0.059673659673659674,2
37336,17060,רמלה,3,204,0.05617715617715618,1
40582,17112,עפולה,2,212,0.030303030303030304,2
37384,17012,עכו,2,374,0.030303030303030304,4
37396,17000,פאתי מודיעין,3,466,0.030303030303030304,6
41291,17116,אחיהוד,2,242,0.030303030303030304,4
