stop_id,stop_name,remaining_stations,components,largest_component_nodes,largest_component_share_of_remaining,serviceable_share_of_original,stations_outside_largest_component
37358,תל אביב מרכז,66,2,33,0.5,0.4925373134328358,33
37292,תל אביב ההגנה,66,2,39,0.5909090909090909,0.582089552238806,27
37376,חוף הכרמל,66,2,51,0.7727272727272727,0.7611940298507462,15
37380,חיפה מרכז,66,3,53,0.803030303030303,0.7910447761194029,13
41293,קרית מוצקין,66,3,62,0.9393939393939394,0.9253731343283582,4
37306,נתב''ג,66,2,63,0.9545454545454546,0.9402985074626866,3
37314,באר שבע צפון,66,3,64,0.9696969696969697,0.9552238805970149,2
40581,כפר ברוך,66,2,64,0.9696969696969697,0.9552238805970149,2
41291,אחיהוד,66,2,65,0.9848484848484849,0.9701492537313433,1
37338,לוד,66,2,65,0.9848484848484849,0.9701492537313433,1
37384,עכו,66,2,65,0.9848484848484849,0.9701492537313433,1
40582,עפולה,66,2,65,0.9848484848484849,0.9701492537313433,1
37396,פאתי מודיעין,66,2,65,0.9848484848484849,0.9701492537313433,1
37336,רמלה,66,2,65,0.9848484848484849,0.9701492537313433,1
39260,אופקים,66,1,66,1.0,0.9850746268656716,0
37326,אשדוד עד הלום,66,1,66,1.0,0.9850746268656716,0
37324,אשקלון,66,1,66,1.0,0.9850746268656716,0
37330,באר יעקב,66,1,66,1.0,0.9850746268656716,0
37312,באר שבע מרכז,66,1,66,1.0,0.9850746268656716,0
37364,בית יהושע,66,1,66,1.0,0.9850746268656716,0
40583,בית שאן,66,1,66,1.0,0.9850746268656716,0
37322,בית שמש,66,1,66,1.0,0.9850746268656716,0
37356,בני ברק,66,1,66,1.0,0.9850746268656716,0
37372,בנימינה,66,1,66,1.0,0.9850746268656716,0
37378,בת גלים,66,1,66,1.0,0.9850746268656716,0
37344,בת ים אלי כהן - יוספטל,66,1,66,1.0,0.9850746268656716,0
37342,בת ים קוממיות,66,1,66,1.0,0.9850746268656716,0
37310,דימונה,66,1,66,1.0,0.9850746268656716,0
37296,הוד השרון,66,1,66,1.0,0.9850746268656716,0
37362,הרצליה,66,1,66,1.0,0.9850746268656716,0
37350,השלום,66,1,66,1.0,0.9850746268656716,0
37368,חדרה מערב,66,1,66,1.0,0.9850746268656716,0
37346,חולון וולפסון,66,1,66,1.0,0.9850746268656716,0
37386,חוצות מפרץ,66,1,66,1.0,0.9850746268656716,0
37328,יבנה מזרח,66,1,66,1.0,0.9850746268656716,0
37300,יבנה מערב,66,1,66,1.0,0.9850746268656716,0
42286,ירושלים/יצחק נבון,66,1,66,1.0,0.9850746268656716,0
37340,כפר חבד,66,1,66,1.0,0.9850746268656716,0
40584,כפר יהושע,66,1,66,1.0,0.9850746268656716,0
37304,כפר סבא,66,1,66,1.0,0.9850746268656716,0
41292,כרמיאל,66,1,66,1.0,0.9850746268656716,0
37308,להבים רהט,66,1,66,1.0,0.9850746268656716,0
37334,לוד גני אביב,66,1,66,1.0,0.9850746268656716,0
37394,מודיעין מרכז,66,1,66,1.0,0.9850746268656716,0
42418,מזכרת בתיה,66,1,66,1.0,0.9850746268656716,0
42507,מרכזית המפרץ,66,1,66,1.0,0.9850746268656716,0
37388,מרכזית המפרץ/קו החוף,66,1,66,1.0,0.9850746268656716,0
37382,נהריה,66,1,66,1.0,0.9850746268656716,0
38643,נתיבות,66,1,66,1.0,0.9850746268656716,0
37366,נתניה,66,1,66,1.0,0.9850746268656716,0
40640,נתניה קריית ספיר,66,1,66,1.0,0.9850746268656716,0
37352,סגולה,66,1,66,1.0,0.9850746268656716,0
37374,עתלית,66,1,66,1.0,0.9850746268656716,0
37348,צומת חולון,66,1,66,1.0,0.9850746268656716,0
37370,קיסריה פרדס חנה,66,1,66,1.0,0.9850746268656716,0
37354,קרית אריה,66,1,66,1.0,0.9850746268656716,0
37316,קרית גת,66,1,66,1.0,0.9850746268656716,0
37392,קרית חיים,66,1,66,1.0,0.9850746268656716,0
42419,קרית מלאכי,66,1,66,1.0,0.9850746268656716,0
37302,ראש העין צפון,66,1,66,1.0,0.9850746268656716,0
37298,ראשונים,66,1,66,1.0,0.9850746268656716,0
37332,רחובות,66,1,66,1.0,0.9850746268656716,0
42416,רעננה דרום,66,1,66,1.0,0.9850746268656716,0
42417,רעננה מערב,66,1,66,1.0,0.9850746268656716,0
37294,רשל''צ משה דיין,66,1,66,1.0,0.9850746268656716,0
37290,שדרות,66,1,66,1.0,0.9850746268656716,0
37360,תא אוניברסיטה,66,1,66,1.0,0.9850746268656716,0
