stop_id,stop_name,score_legacy,score_balanced,rank_legacy,rank_balanced,rank_shift
37292,תל אביב ההגנה,98.80597014925372,99.00497512437812,1,1,0
37362,הרצליה,95.82089552238806,97.34660033167496,2,2,0
37338,לוד,93.7313432835821,94.85903814262024,3,3,0
37358,תל אביב מרכז,93.73134328358208,94.52736318407959,4,4,0
37376,חוף הכרמל,91.04477611940298,92.70315091210614,6,5,1
37380,חיפה מרכז,92.53731343283582,92.2056384742952,5,6,-1
37306,נתב''ג,86.56716417910448,88.88888888888889,8,7,1
37360,תא אוניברסיטה,88.65671641791045,87.39635157545605,7,8,-1
41293,קרית מוצקין,86.56716417910447,84.24543946932005,9,9,0
37350,השלום,81.04477611940298,83.8308457711443,10,10,0
37372,בנימינה,77.31343283582089,78.44112769485903,12,11,1
37314,באר שבע צפון,80.44776119402985,77.19734660033168,11,12,-1
37294,רשל''צ משה דיין,74.62686567164178,76.9485903814262,14,13,1
42417,רעננה מערב,66.26865671641792,71.3101160862355,17,14,3
37326,אשדוד עד הלום,75.22388059701493,70.97844112769486,13,15,-2
37316,קרית גת,60.298507462686565,70.97844112769486,23,15,8
37332,רחובות,60.895522388059696,68.65671641791046,22,17,5
37368,חדרה מערב,62.83582089552239,66.41791044776119,18,18,0
37336,רמלה,61.19402985074627,65.50580431177447,20,19,1
37396,פאתי מודיעין,67.91044776119402,65.09121061359868,16,20,-4
40581,כפר ברוך,61.64179104477612,64.09618573797678,19,21,-2
37366,נתניה,61.19402985074627,62.520729684908794,20,22,-2
37388,מרכזית המפרץ/קו החוף,68.05970149253731,62.35489220563847,15,23,-8
37346,חולון וולפסון,58.805970149253724,59.86733001658374,26,24,2
37296,הוד השרון,60.0,58.540630182421225,24,25,-1
37356,בני ברק,53.28358208955224,58.457711442786064,31,26,5
37364,בית יהושע,53.43283582089552,56.21890547263681,29,27,2
37300,יבנה מערב,54.47761194029852,55.472636815920396,28,28,0
37378,בת גלים,59.40298507462687,52.072968490878935,25,29,-4
37344,בת ים אלי כהן - יוספטל,53.43283582089552,48.25870646766169,29,30,-1
37324,אשקלון,51.49253731343284,47.8441127694859,32,31,1
37354,קרית אריה,48.507462686567166,47.8441127694859,33,31,2
37386,חוצות מפרץ,57.611940298507456,47.2636815920398,27,33,-6
37384,עכו,48.2089552238806,46.35157545605307,34,34,0
37340,כפר חבד,42.38805970149254,46.1028192371476,38,35,3
39260,אופקים,48.20895522388059,46.01990049751243,35,36,-1
37334,לוד גני אביב,41.64179104477611,45.68822553897181,41,37,4
41291,אחיהוד,40.44776119402985,42.039800995024876,43,38,5
37304,כפר סבא,46.41791044776119,42.039800995024876,37,38,-1
40582,עפולה,41.940298507462686,40.71310116086235,39,40,-1
37330,באר יעקב,37.31343283582089,39.13764510779436,47,41,6
37348,צומת חולון,32.68656716417911,36.89883913764511,51,42,9
37352,סגולה,41.940298507462686,36.23548922056385,39,43,-4
42507,מרכזית המפרץ,36.71641791044776,35.65505804311774,48,44,4
37392,קרית חיים,47.16417910447762,35.65505804311774,36,44,-8
37374,עתלית,33.43283582089553,35.32338308457712,50,46,4
42419,קרית מלאכי,30.29850746268657,34.908789386401324,52,47,5
37290,שדרות,39.552238805970156,34.24543946932007,45,48,-3
40584,כפר יהושע,33.731343283582085,33.99668325041459,49,49,0
38643,נתיבות,40.149253731343286,33.91376451077944,44,50,-6
42416,רעננה דרום,39.40298507462686,33.665008291873974,46,51,-5
37302,ראש העין צפון,41.194029850746276,33.66500829187396,42,52,-10
42418,מזכרת בתיה,28.059701492537314,31.509121061359863,54,53,1
42286,ירושלים/יצחק נבון,27.46268656716418,31.343283582089555,56,54,2
37370,קיסריה פרדס חנה,27.761194029850746,29.519071310116086,55,55,0
37342,בת ים קוממיות,30.0,28.77280265339967,53,56,-3
37308,להבים רהט,25.37313432835821,27.197346600331677,58,57,1
37328,יבנה מזרח,24.776119402985074,26.202321724709783,59,58,1
37298,ראשונים,16.119402985074625,23.71475953565506,62,59,3
40640,נתניה קריית ספיר,22.835820895522385,23.466003316749585,60,60,0
37312,באר שבע מרכז,25.82089552238806,21.31011608623549,57,61,-4
37394,מודיעין מרכז,21.492537313432834,19.402985074626866,61,62,-1
37322,בית שמש,10.44776119402985,14.2620232172471,64,63,1
37382,נהריה,12.686567164179102,12.023217247097843,63,64,-1
37310,דימונה,8.208955223880599,11.5257048092869,67,65,2
41292,כרמיאל,9.402985074626866,10.199004975124378,66,66,0
40583,בית שאן,9.850746268656717,9.950248756218906,65,67,-2
