mode_label,from_stop,to_stop,trip_frequency
bus,38725,15582,112
bus,15582,15583,216
bus,15583,16086,152
bus,16086,16085,186
bus,16085,16084,152
bus,16084,15769,166
bus,15769,15739,214
bus,15739,15542,451
bus,15542,15543,559
bus,15543,16155,331
bus,16155,15740,337
bus,15740,16019,311
bus,16019,16148,446
bus,16148,16020,630
bus,16020,15741,368
bus,15741,15742,433
bus,15742,15744,146
bus,15744,15745,210
bus,43852,43853,2881
bus,43853,43849,2881
bus,43849,9501,2766
bus,9501,9502,2751
bus,9502,43242,1365
bus,43242,48360,1292
bus,48360,9492,1575
bus,9492,10703,1575
bus,10703,34266,916
bus,34266,11691,916
bus,11691,9497,939
bus,9497,9644,633
bus,9644,9645,3713
bus,9645,9487,3538
bus,9487,9484,2280
bus,9484,8961,2282
bus,8961,8962,4475
bus,8962,10720,2751
bus,10720,10721,2751
bus,10721,10722,1216
bus,10722,11574,1767
bus,11574,10789,3589
bus,10789,9553,2505
bus,9553,10321,842
bus,10321,11844,779
bus,11844,10769,850
bus,10769,10630,1172
bus,10630,48638,1172
bus,48638,43607,1097
bus,43607,9709,1097
bus,13484,13481,2584
bus,13481,13089,4408
bus,13089,50499,2716
bus,50499,49936,793
bus,49936,47429,326
bus,47429,48437,1156
bus,48437,13357,1156
bus,13357,13602,1372
bus,13602,13606,2413
bus,13606,13609,2413
bus,13609,13608,1180
bus,13608,13616,1826
bus,13616,13614,1826
bus,13614,13619,1507
bus,13619,13267,809
bus,13267,13624,326
bus,13624,13621,326
bus,13621,13626,326
bus,13626,14345,326
bus,14345,13777,326
bus,13777,13784,585
bus,13784,13780,585
bus,13780,44255,585
bus,44255,13782,326
bus,13782,13767,326
bus,13767,12985,326
bus,12985,13770,1910
bus,13770,13793,1910
bus,13793,13794,1972
bus,13794,13796,326
bus,13796,13797,652
bus,13797,12929,652
bus,12929,13801,574
bus,13801,13846,1363
bus,13846,13850,1363
bus,13850,13851,1363
bus,13851,13853,789
bus,13853,13864,1078
bus,13864,12837,326
bus,12837,25093,326
bus,25093,15351,1123
bus,15351,24199,693
bus,24199,15878,579
bus,48904,48889,518
bus,48889,48909,1161
bus,48909,48902,1041
bus,48902,3867,112
bus,3867,17329,450
bus,17329,17407,112
bus,17407,1819,190
bus,1819,1817,190
bus,1817,1818,532
bus,1818,1816,174
bus,1816,1822,580
bus,1822,1823,580
bus,1823,1821,580
bus,1821,44242,580
bus,44242,1824,580
bus,1824,1817,342
bus,1818,3047,358
bus,3047,3048,358
bus,3048,17333,358
bus,17333,3049,358
bus,3049,17334,358
bus,17334,3213,358
bus,3213,1826,358
bus,1826,1827,358
bus,1827,17328,358
bus,17328,3866,358
bus,3866,2847,358
bus,2847,2844,280
bus,2844,2845,280
bus,2845,2846,280
bus,2846,3046,112
bus,3046,2894,238
bus,2894,3182,859
bus,3182,3125,112
bus,3125,17353,112
bus,17353,3119,112
bus,3119,17337,746
bus,17337,3170,746
bus,3170,3220,479
bus,3220,3221,479
bus,3221,3541,479
bus,3541,3542,479
bus,3542,17338,351
bus,17338,3173,746
bus,3173,3174,746
bus,3174,3121,351
bus,3121,3363,456
bus,3363,3208,456
bus,3208,1283,84
bus,1283,3935,2508
bus,3935,1285,2463
bus,1285,3938,2476
bus,3938,3884,2505
bus,3884,3877,1642
bus,3877,3878,1615
bus,3878,3201,1304
bus,3201,2090,1126
bus,2090,2092,3845
bus,2092,2093,1592
bus,2093,3507,1246
bus,3507,17488,1371
bus,2882,3381,735
bus,3381,3382,1246
bus,3382,3895,1246
bus,3895,2044,1246
bus,2044,2868,1246
bus,2868,3611,1227
bus,3611,3812,1167
bus,3812,3894,2987
bus,3894,3819,338
bus,3819,2959,338
bus,2959,2956,338
bus,2956,3328,698
bus,3328,2021,698
bus,2021,2022,1711
bus,2022,2437,1288
bus,2437,2025,2507
bus,2025,2027,2433
bus,2027,3731,1563
bus,3731,2046,179
bus,2046,2434,841
bus,2434,2499,1723
bus,2499,2564,1585
bus,2564,2007,1585
bus,2007,3033,1585
bus,3033,2008,1585
bus,2008,1959,1585
bus,1959,2428,1325
bus,2428,2429,1914
bus,2429,3090,1916
bus,3090,2427,1299
bus,2427,3234,1303
bus,3234,3953,2413
bus,3953,2655,2269
bus,2655,1914,2240
bus,1914,1892,2038
bus,1892,1893,2038
bus,1893,1869,2038
bus,1869,1862,1890
bus,1862,1860,899
bus,1860,1861,2119
bus,1861,1868,1409
bus,1868,2061,1049
bus,2061,2966,1066
bus,2966,2080,1305
bus,2080,2755,2099
bus,2755,2089,205
bus,2089,2086,804
bus,2086,2087,844
bus,2087,2699,18
bus,2699,2698,389
bus,2698,2701,18
bus,2701,2894,621
bus,3182,2896,226
bus,2896,2897,226
bus,2897,3164,226
bus,3164,3362,472
bus,3362,3165,472
bus,3165,3111,598
bus,3111,3166,352
bus,3166,3167,733
bus,3167,34296,733
bus,34296,3540,352
bus,3540,3217,480
bus,3217,3218,480
bus,3218,3219,480
bus,3219,43210,480
bus,43210,3169,733
bus,3169,3112,733
bus,3112,3126,234
bus,3126,17510,224
bus,17510,3633,224
bus,3633,3634,234
bus,3634,3635,234
bus,3635,3051,108
bus,3051,17448,382
bus,17448,3179,302
bus,3179,3178,302
bus,3178,3209,382
bus,3209,3210,382
bus,3210,3211,382
bus,3211,17330,372
bus,17330,17331,372
bus,17331,17332,372
bus,17332,3212,372
bus,3212,3900,18
bus,3900,48900,405
bus,48900,48917,1462
bus,48917,48915,1462
bus,48915,48903,1462
bus,48903,2395,962
bus,2395,2402,1226
bus,2402,2356,44
bus,2356,3869,1861
bus,3869,2357,1817
bus,2357,3803,1818
bus,3803,3931,40
bus,3931,3007,610
bus,3007,3070,1047
bus,3070,3600,1047
bus,3600,35632,1114
bus,3599,3068,1101
bus,3068,3069,1028
bus,3069,1249,36
bus,1249,3854,1831
bus,3854,2175,1782
bus,2175,3852,1799
bus,3852,3181,1894
bus,3181,48898,28
bus,48898,48906,1730
bus,48906,48894,1730
bus,48894,3926,482
bus,3926,3904,903
bus,3904,3867,775
bus,3867,3901,451
bus,3901,17407,16
bus,2847,3636,78
bus,3636,3637,239
bus,3637,3638,239
bus,3638,3118,239
bus,3118,17336,239
bus,17336,3119,239
bus,3208,2890,216
bus,2890,2891,216
bus,2891,2892,334
bus,2892,2893,876
bus,2893,2700,597
bus,2700,17463,387
bus,17463,17464,387
bus,17464,1839,387
bus,1839,2094,16
bus,2094,2617,902
bus,2617,3782,793
bus,3782,2084,196
bus,2084,2079,1273
bus,2079,2620,1503
bus,2620,3077,1037
bus,3077,1877,1400
bus,1877,3962,912
bus,3962,1863,2138
bus,1863,2558,2013
bus,2558,1872,2013
bus,1872,1873,2013
bus,1873,1899,2007
bus,1899,1900,2019
bus,1900,1915,2019
bus,1915,3862,1296
bus,3862,1948,1258
bus,1948,1949,2168
bus,1949,1950,2168
bus,1950,1960,1280
bus,1960,3163,1558
bus,3163,1961,1558
bus,1961,1962,1558
bus,1962,1963,1558
bus,1963,2560,1558
bus,2560,2561,1558
bus,2561,2017,813
bus,2017,2018,1327
bus,2018,3732,803
bus,3732,3733,2640
bus,3733,2443,2501
bus,2443,2047,2547
bus,2047,2028,1345
bus,2028,3327,810
bus,3327,1995,720
bus,1995,2961,359
bus,2961,2960,359
bus,2960,3815,500
bus,3815,2040,1252
bus,2040,2042,1321
bus,2042,2043,1321
bus,2043,2438,1321
bus,2438,2439,1321
bus,2439,2882,1299
bus,40026,9181,2205
bus,9181,10515,2545
bus,10515,9730,90
bus,9730,10588,12
bus,10588,51564,50
bus,51564,9426,12
bus,9426,9904,12
bus,9904,9544,12
bus,9544,9339,1317
bus,9339,9539,1492
bus,9539,9748,343
bus,9748,9808,595
bus,9808,10108,628
bus,10108,10107,343
bus,10107,10473,12
bus,10473,8751,70
bus,8751,8752,627
bus,8752,43224,159
bus,43224,42608,97
bus,42608,42757,101
bus,42757,42758,195
bus,42758,42761,195
bus,42761,42760,195
bus,42760,42759,195
bus,42759,41453,195
bus,41453,34984,97
bus,34984,44538,132
bus,44538,42756,266
bus,42756,42752,195
bus,42752,42755,195
bus,42755,42754,195
bus,42754,41452,195
bus,41452,44539,132
bus,44539,8250,261
bus,8250,40905,281
bus,40905,41448,580
bus,41448,41449,195
bus,41449,41450,195
bus,41450,41451,195
bus,41451,42206,195
bus,42206,41860,195
bus,41860,8254,195
bus,8254,8255,195
bus,8255,34744,195
bus,34744,8258,195
bus,8258,8260,195
bus,8260,40904,195
bus,40904,8262,152
bus,8262,8263,281
bus,8263,8265,97
bus,8265,40902,97
bus,40902,8266,97
bus,8266,8267,97
bus,8267,34836,97
bus,34836,7993,97
bus,7993,34837,97
bus,34837,8270,97
bus,8270,8271,195
bus,8271,34776,97
bus,28319,12433,294
bus,12433,12411,292
bus,12411,29018,449
bus,29018,12432,189
bus,12432,29047,870
bus,29047,25822,570
bus,25822,12207,449
bus,12207,12208,593
bus,12208,28181,456
bus,28181,12243,725
bus,12243,28310,704
bus,28310,28209,588
bus,28209,28292,922
bus,28292,28307,599
bus,28307,12080,97
bus,12080,28294,97
bus,28294,12310,355
bus,12310,12126,355
bus,12126,29190,211
bus,29190,12128,233
bus,12128,28728,59
bus,28728,38984,59
bus,38984,37221,59
bus,37221,35608,59
bus,35608,39227,59
bus,39227,28217,131
bus,28217,28563,313
bus,28563,26782,313
bus,26782,26787,297
bus,26787,12247,343
bus,12247,28198,59
bus,28198,26803,632
bus,26803,26904,495
bus,26904,12736,495
bus,12736,26810,62
bus,26810,26815,61
bus,26815,26827,198
bus,26827,43140,148
bus,43140,12386,497
bus,12386,26841,495
bus,15295,15294,451
bus,15294,15290,922
bus,15290,15289,922
bus,15289,15349,451
bus,15349,15350,538
bus,15350,15292,451
bus,15292,15297,1044
bus,15297,15300,1044
bus,15300,47829,94
bus,47829,38143,231
bus,38143,22072,588
bus,22072,22073,996
bus,22073,22074,996
bus,22074,22089,699
bus,22089,15271,458
bus,15271,15275,868
bus,15275,15360,868
bus,15360,22076,706
bus,22076,22078,1909
bus,22078,15255,1813
bus,15255,16891,1279
bus,16891,22079,1279
bus,22079,16892,1318
bus,16892,22080,865
bus,22080,21591,304
bus,21591,21469,620
bus,21469,21470,592
bus,21470,21471,1050
bus,21471,21472,970
bus,21472,24787,1045
bus,24787,50788,589
bus,50788,21594,589
bus,21594,21473,694
bus,21473,21595,644
bus,21595,21474,1736
bus,21474,15563,1235
bus,15563,15564,2184
bus,15564,21475,2073
bus,21475,24738,1963
bus,24738,21476,1121
bus,21476,21880,1121
bus,21880,13170,790
bus,13170,13163,1378
bus,13163,44003,898
bus,44003,29506,750
bus,29506,13119,1743
bus,13119,44459,428
bus,44459,13178,428
bus,13178,14595,1636
bus,24430,24431,241
bus,24431,24438,507
bus,24438,24443,107
bus,24443,24441,640
