stop_id,stop_name,lat,lon,region,metro,n_modes,modes_served,stop_calls
11080,מחלף הרטוב,31.767298,34.997537,Jerusalem,Periphery,2,bus|demand/other bus,2066
11081,מחלף הרטוב,31.767124,34.99773,Jerusalem,Periphery,2,bus|demand/other bus,1982
11028,שדרות יגאל אלון/קניון שער העיר,31.756197,34.985749,Jerusalem,Periphery,2,bus|demand/other bus,1403
37273,שדרות יגאל אלון/הצבע,31.753943,34.994399,Jerusalem,Periphery,2,bus|demand/other bus,1275
41660,כביש 38/דולמיט,31.760419,34.987449,Jerusalem,Periphery,2,bus|demand/other bus,1241
11035,יגאל אלון/העלייה,31.75591,34.989729,Jerusalem,Periphery,2,bus|demand/other bus,1198
37274,שדרות יגאל אלון/הצבע,31.753714,34.994922,Jerusalem,Periphery,2,bus|demand/other bus,1146
11288,שד.יגאל אלון/הבנאי,31.754837,34.992821,Jerusalem,Periphery,2,bus|demand/other bus,1010
11119,מחלף מסילת ציון,31.798378,35.014456,Jerusalem,Jerusalem,2,bus|demand/other bus,968
36797,כביש 3855/שדרות יגאל אלון,31.751453,35.000784,Jerusalem,Periphery,2,bus|demand/other bus,956
11073,כביש 3855/רבי יוסף קארו,31.746194,35.002247,Jerusalem,Periphery,2,bus|demand/other bus,932
11030,שד.יגאל אלון/החרש,31.756224,34.987672,Jerusalem,Periphery,2,bus|demand/other bus,882
35685,כביש 3855/הרצוג,31.738261,35.002991,Jerusalem,Periphery,2,bus|demand/other bus,816
11072,כביש 3855/רבי יוסף קארו,31.745656,35.001659,Jerusalem,Periphery,2,bus|demand/other bus,811
35683,כביש 3855/הירקון,31.707114,35.007316,Jerusalem,Periphery,2,bus|demand/other bus,794
11065,כביש 3855/הרצוג,31.739217,35.002554,Jerusalem,Periphery,2,bus|demand/other bus,781
11093,צומת אשתאול,31.77762,35.010447,Jerusalem,Jerusalem,2,bus|demand/other bus,737
11090,מחלף שמשון לדרום,31.775349,35.004232,Jerusalem,Jerusalem,2,bus|demand/other bus,729
41495,מחלף שמשון לצפון,31.774523,35.00712,Jerusalem,Jerusalem,2,bus|demand/other bus,650
11094,צומת אשתאול,31.777304,35.011476,Jerusalem,Jerusalem,2,bus|demand/other bus,576
35686,כביש 3855/הירקון,31.705894,35.007913,Jerusalem,Periphery,2,bus|demand/other bus,506
26402,צומת בני ראם/ישיבה,31.768129,34.799948,Center,Periphery,2,bus|demand/other bus,499
12042,מסעף בני ראם/ישיבה,31.768572,34.800929,Center,Periphery,2,bus|demand/other bus,489
35682,כביש 3855/כביש 375,31.696722,35.010889,Center,Periphery,2,bus|demand/other bus,482
11022,מסעף צרעה,31.755648,34.981629,Jerusalem,Periphery,2,bus|demand/other bus,460
41663,כביש 3855/כביש 38,31.760313,34.988741,Jerusalem,Periphery,2,bus|demand/other bus,304
12277,צומת קיבוץ קטורה,29.96881,35.06477,South,Periphery,2,bus|demand/other bus,299
12278,צומת קטורה,29.989086,35.076479,South,Periphery,2,bus|demand/other bus,299
12132,צומת גרופית,29.93596,35.060558,South,Periphery,2,bus|demand/other bus,295
