stop_id,stop_name,lat,lon,region,metro,degree,weighted_degree,approx_betweenness
41133,מחלף חמד,31.801002,35.12454,Jerusalem,Jerusalem,62,10454,0.07213162306578921
9048,בן גוריון/שערי ירושלים,31.791535,35.196465,Jerusalem,Jerusalem,41,9472,0.05223171373947966
10775,גשר המיתרים/שד' הרצל,31.787162,35.199533,Jerusalem,Jerusalem,37,18976,0.009830490360832908
12975,מחלף לה גווארדייה,32.059454,34.786354,Center,Tel Aviv,34,6604,0.02196660483688101
13246,בית ספר הולץ/חיל השריון,32.046238,34.783261,Center,Tel Aviv,31,9154,0.022384633983163194
13322,המסגר/הרכב,32.06366,34.78558,Center,Tel Aviv,27,13424,0.0008371436452682053
9553,גשר המיתרים/שד' הרצל,31.787322,35.199369,Jerusalem,Jerusalem,22,10314,0.008607560536897879
27623,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,31.25922,34.798363,South,Beer Sheva,20,4594,0.02577499617673873
14355,מחלף מורשה,32.123726,34.854708,Center,Tel Aviv,20,2116,0.021385182614474228
13356,דרך קיבוץ גלויות/כביש 1,32.046861,34.784605,Center,Tel Aviv,20,3334,0.00948388416434568
28638,משה סנה,31.778838,34.662757,Center,Periphery,19,4112,0.002642493071310879
23543,יסודות/מזכירות,31.815141,34.864194,Center,Periphery,19,509,0.007451817788471023
16205,בי''ח בלינסון/גשר מבצע ארנון,32.091161,34.86787,Center,Tel Aviv,17,10712,0.000846386713253826
24787,צומת צריפין לצפון,31.969932,34.843347,Center,Tel Aviv,17,3324,0.004087681843621585
359,הרצל/בנימין מינץ,32.326176,34.863338,Center,Tel Aviv,17,7956,0.005658005690435382
25709,שוק עירוני/בית אשל,31.240599,34.795095,South,Beer Sheva,16,6090,0.000266922005549216
5266,גן העיר/הגליל,32.787223,35.539636,North,Periphery,16,7770,0.00016544168808576843
750,צומת רכבת ראש העין צפון,32.123156,34.93743,Center,Tel Aviv,16,1980,0.0026260512484877424
5048,קהילת ציון/שפרינצק,32.607536,35.292173,North,Periphery,16,4892,0.0004779572339985085
3368,סחרוב,32.790059,34.959315,North,Haifa,16,11340,0.0010566791755666416
48481,שדרות שז''ר/בנייני האומה,31.787719,35.202632,Jerusalem,Jerusalem,16,4420,0.008734901977177712
43374,המשנה,31.780039,34.660266,Center,Periphery,15,5310,0.008556989564036737
24713,ת. רכבת מודיעין מרכז,31.901335,35.004985,Center,Tel Aviv,15,2981,0.0018041948863306357
13946,ת. רכבת האוניברסיטה/שד' רוקח,32.102783,34.80697,Center,Tel Aviv,15,5298,0.005278000813314378
3437,גרנד קניון/שמחה גולן,32.789085,35.008567,North,Haifa,15,5714,0.012724445292481288
44001,קניון הנגב/יצחק בן צבי,31.244291,34.795887,South,Beer Sheva,15,4232,0.00036107706361776574
2356,קניון לב המפרץ/ההסתדרות,32.793209,35.038917,North,Haifa,15,3830,0.0006858264574229764
7561,צומת חשמונאים דרום,31.929869,35.02517,Center,Tel Aviv,15,3420,0.0029229874820687536
26659,השוק העירוני/שדרות דוד חכם,31.23819,34.798108,South,Beer Sheva,14,2486,0.0003113019894452143
16061,השוק העירוני/לבקוביץ',31.894032,34.810379,Center,Tel Aviv,14,3506,0.0004045398245462523
25938,בן גוריון/נאות אשקלון,31.661191,34.577653,Center,Periphery,14,4558,0.004959112902006959
13214,מתחם מידטאון/דרך מנחם בגין,32.080071,34.795266,Center,Tel Aviv,14,4556,0.0003356358346548989
13268,מחלף לה גווארדייה,32.059174,34.786171,Center,Tel Aviv,13,2470,0.0011726114998526055
26122,בית רסקו/יצחק רגר,31.247534,34.797811,South,Beer Sheva,13,3340,0.0015602200890076794
22182,עירייה,31.908118,35.007695,Center,Tel Aviv,13,2865,0.00020483767118326975
22633,שדה תעופה בן גוריון/טרמינל 1,31.994437,34.896552,Center,Tel Aviv,13,1114,0.0012826173646883813
11070,שד. לוי אשכול/הגלעד,31.747626,34.999031,Jerusalem,Periphery,13,5340,0.0014202725058494788
8871,יצחק הנדיב/ואדי ג'וז,31.794711,35.236274,Jerusalem,Jerusalem,13,2300,0.0008987431997292745
8399,תחנת דלק/כוכב יעקב,31.872953,35.260453,Jerusalem,Jerusalem,13,2732,0.003866549781385751
50332,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,32.083005,34.802272,Center,Tel Aviv,13,11832,0.0045258246064046785
22804,ישראל גלילי/הסחלב,31.96913,34.784014,Center,Tel Aviv,12,3726,0.00026806612908524354
48462,הרטום/גולדה מאיר,31.80069,35.213748,Jerusalem,Jerusalem,12,3674,0.0001829474022178805
17623,צומת נהריה,33.005573,35.10031,North,Periphery,12,2032,0.004804014061197297
21786,צומת כפר סבא רעננה צפון,32.192382,34.888841,Center,Tel Aviv,12,1446,0.005109406189109537
25712,שוק עירוני/בית אשל,31.240598,34.795585,South,Beer Sheva,12,6202,0.0003385800487364031
12226,צומת אילות,29.578808,34.968106,South,Periphery,12,820,0.005614494673681459
8881,בי''ס ראשידה/סולטאן סולימאן,31.783407,35.234642,Jerusalem,Jerusalem,12,1434,0.0006164906454543457
25968,אלי כהן/יצחק בן צבי,31.668214,34.572132,Center,Periphery,12,846,0.004908363536683226
14339,ת. רכבת תל אביב - סבידור/על פרשת דרכים,32.081153,34.797682,Center,Tel Aviv,12,5006,0.0006482619262554892
24390,אחוזה/הרב יצחק נסים,32.177924,34.886744,Center,Tel Aviv,12,2438,0.0006524259126655784
25975,שדרות הפלמח/חטיבת כרמלי,31.804129,34.660742,Center,Periphery,12,4724,0.0065614353410327845
11292,שפע חיים/דורש טוב,31.79731,35.212587,Jerusalem,Jerusalem,12,8410,0.0002063454917037726
47975,ת. מרכזית חדרה/רציפים,32.435961,34.914024,Center,Periphery,12,1167,0.0037159586535381564
19581,צומת אחיהוד,32.911913,35.167244,North,Haifa,12,1890,0.018163917794959423
17505,שדרות ההסתדרות/צומת הקריות,32.789491,35.028864,North,Haifa,11,3972,0.0006416312710481296
13339,עזרא/דמשק אליעזר,32.076564,34.836184,Center,Tel Aviv,11,5506,0.00010480484942095215
39779,אלי סיני/קטיף,31.413362,34.57549,South,Periphery,11,1284,0.0016562384858026114
20739,מסוף בית שאן/שדרות מנחם בגין,32.497886,35.504779,Center,Periphery,11,2088,0.0006820594645558536
22252,קניון עזריאלי,31.899117,35.007414,Jerusalem,Tel Aviv,11,2822,0.00045716118190401804
9056,שדרות דוד טוביהו/סוקולוב,31.245292,34.78872,South,Beer Sheva,11,2704,0.004984508452840818
43422,שדרות מנחם בגין/שדרות הרצל,31.789241,34.640667,Center,Periphery,11,2344,0.0038032332965007147
22099,ת. רק''ל בלינסון/קניון אבנת,32.091717,34.865871,Center,Tel Aviv,11,11915,0.0003876857021857836
4634,שדרות הבנים/שד' שאול עמור,32.67824,35.241113,North,Periphery,11,3690,0.00021270768801869504
8614,שדרות גולדה מאיר/המשורר אצ''ג,31.825302,35.188624,Jerusalem,Jerusalem,11,9218,0.00021747697199999677
12990,בית הדר דפנה/שד' שאול המלך,32.077609,34.791101,Center,Tel Aviv,11,5548,0.0001653935664921366
24404,וייצמן/רוטשילד,32.175091,34.909718,Center,Tel Aviv,11,4066,0.0002688508973712332
23671,פקריס/פלאוט,31.911334,34.805326,Center,Tel Aviv,10,1708,0.00038092312703972165
