from_stop,to_stop,from_name,to_name,trip_frequency
23299,23298,ת. רכבת קרית אריה,ת. רכבת קרית אריה,1809
11448,48932,מסוף חומת שמואל/אליהו קורן,תחנה תפעולית/היציאה מחניון חומת שמואל,1672
10532,48933,רב החובל/אדם,תחנה תפעולית/חניון תלפיות מזרח,1575
49466,10576,מסוף הר נוף/כנפי נשרים,מסוף הר נוף/בית הדפוס,1306
25712,50730,שוק עירוני/בית אשל,ת.מרכזית/עירוניים לצפון,1210
47884,28884,בית העלמין החדש,מסוף חצרים,1154
25467,49279,כיכר הטפטפת/דרך ג'ו יוסף אלון,מסוף חצרים,1145
48462,48461,הרטום/גולדה מאיר,חניון הרטום,1057
37624,37623,הנפח/מעלה כמון,הנפח/היזם,1037
37608,37607,חניון אגד/הנפח,הנפח/מעלה כמון,1037
44669,51813,הטוחן/גרניט,מסוף רכבת קיסריה פרדס חנה/הורדה,997
18429,18521,מרכז מסחרי/שדרות מעלה יצחק,מרכז מסחרי/המעיין,984
44681,44695,חונים נוסעים ראשון לציון/דרך ההצלחה,יוסף טומי לפיד/דרך ההצלחה,945
21186,21192,מרכז מסחרי/שדרות מעלה יצחק,מרכז מסחרי/המעיין,941
50377,50376,חניון שפירים מערבי ב/הורדה,חניון שפירים מערבי ג/הורדה,936
50374,50377,חניון שפירים מערבי א/הורדה,חניון שפירים מערבי ב/הורדה,936
48024,3368,ת. מרכזית חוף הכרמל/רציפים עירוני,סחרוב,930
50631,51803,אזור תעשייה/לח''י,קופות חולים/איילת השחר,885
51803,51801,קופות חולים/איילת השחר,בתי כנסת/איילת השחר,885
51800,51802,בתי כנסת/איילת השחר,קופות חולים/איילת השחר,872
28840,28146,אחת עשרה הנקודות/שדרות וייצמן,שוק עירוני חדש,867
35837,50942,נווה גנים,מרכזית הקריות/הורדה מטרונית,830
28836,28837,בעלי המלאכה/הצורף,בעלי המלאכה/החרש,813
28835,28836,בעלי המלאכה/טראסק,בעלי המלאכה/הצורף,813
28153,28837,בי''ס משען/גיבורי תשכ''ז,בעלי המלאכה/החרש,813
42727,28835,שוק עירוני חדש,בעלי המלאכה/טראסק,813
3368,48040,סחרוב,ת. מרכזית חוף הכרמל/רציפים עירוני,763
3368,47959,סחרוב,ת. מרכזית חוף הכרמל/רציפים בינעירוני,763
12757,51375,מסוף אגד/קניון פרץ סנטר,חניון אגד,745
44260,51674,זכריה הנביא/אליהו הנביא,זכריה הנביא/מסוף,727
43317,43315,אמרי סופר/הרב אלישיב,הרב אלישיב/באר יעקב,699
43315,44537,הרב אלישיב/באר יעקב,יביע אומר/האדמו''ר מלעלוב,699
44536,44535,יביע אומר/שבט הלוי,יביע אומר/האדמו''ר מלעלוב,686
44535,43316,יביע אומר/האדמו''ר מלעלוב,הרב אלישיב/אמרי סופר,686
43316,44006,הרב אלישיב/אמרי סופר,אמרי סופר/שבט הלוי,686
23259,51000,בר כוכבא/ליברכט,ת. מרכזית פ''ת,683
3431,50973,נווה גנים,מרכזית הקריות/איסוף,667
26841,26844,מואב/לשם,מלון יפה נוף,658
3514,3515,שאגאל/רנואר,שאגאל/קדנדינסקי,640
3515,35657,שאגאל/קדנדינסקי,שאגאל/דה גויה,640
35657,3516,שאגאל/דה גויה,שאגאל/סזאן,640
3500,3514,שאגאל/הנרי מטיס,שאגאל/רנואר,640
188,190,החוף הירוק,חוף פולג/רמת פולג,628
49050,50824,הרבי מלובאוויטש/דניאל כהנמן,מסוף השחר/הרב עובדיה יוסף,621
42452,50821,הרבי מלובאוויטש/הרב עובדיה יוסף,מסוף השחר/הרב עובדיה יוסף,616
44063,44061,קידמה/התמדה,קידמה/החלומות,613
188,50382,החוף הירוק,תחנה תפעולית מסוף החוף הירוק,611
48898,47841,ביג שער העיר,ת. מרכזית המפרץ/רציפים עירוני,605
5266,48200,גן העיר/הגליל,ת. מרכזית טבריה/רציפים,604
24722,48270,אנה פרנק/הקוממיות,מסוף בית העלמין/איסוף,599
25398,23151,אזור/מר. שפינוזה,אזור מר. שפינוזה/פלמח,594
