from_stop,to_stop,trip_frequency
38725,15582,112
38725,15746,497
38725,15725,60
38725,15416,24
15582,15583,216
15582,16437,12
15583,16086,152
15583,15589,32
15583,15736,104
16086,16085,186
16085,16084,152
16085,16474,34
16084,15769,166
16084,15586,642
15769,15739,214
15739,15542,451
15739,15753,249
15542,15543,559
15543,16155,331
15543,15544,228
16155,15740,337
16155,16019,20
15740,16019,311
15740,16451,26
16019,16148,446
16019,15546,42
16148,16020,630
16148,25364,58
16020,15741,368
16020,16021,20
16020,25364,136
16020,16447,106
15741,15742,433
15741,33886,67
15742,15744,146
15742,15539,319
15742,35714,110
15742,35721,28
15744,15745,210
15745,16424,216
15745,16022,160
15745,15538,309
15745,15598,98
43852,43853,2881
43853,43849,2881
43849,9501,2766
43849,10517,238
9501,9502,2751
9501,9681,15
9502,43242,1365
9502,8857,1386
43242,48360,1292
43242,37734,89
48360,9492,1575
9492,10703,1575
10703,34266,916
10703,11691,16
10703,10781,150
10703,10193,78
10703,11742,18
10703,11445,389
10703,11593,8
34266,11691,916
11691,9497,939
9497,9644,633
9497,9608,306
9644,9645,3713
9645,9487,3538
9645,8961,6
9645,11455,175
9487,9484,2280
9487,9483,1541
9484,8961,2282
8961,8962,4475
8961,10721,6
8961,10020,7
8962,10720,2751
8962,10683,598
8962,11770,1126
10720,10721,2751
10721,10722,1216
10721,9445,1482
10721,11574,6
10721,8703,7
10721,9697,5
10721,10446,4
10721,10747,48
10722,11574,1767
10722,9181,7
10722,8619,1429
11574,10789,3589
11574,10776,689
11574,9181,374
11574,41133,17
11574,9048,4
10789,9553,2505
10789,8703,1386
10789,8667,759
9553,10321,842
9553,10446,423
9553,50399,368
9553,10281,651
9553,11630,985
9553,8468,46
9553,9356,8
9553,10792,14
9553,11459,128
9553,8750,294
9553,8728,2
9553,48482,297
9553,10179,309
9553,51199,341
9553,7381,447
10321,11844,779
10321,10774,141
10321,11843,68
11844,10769,850
11844,9674,781
10769,10630,1172
10630,48638,1172
48638,43607,1097
48638,38680,75
43607,9709,1097
9709,9710,1013
13484,13481,2584
13484,13478,261
13484,14508,282
13481,13089,4408
13481,13333,12
13481,13207,8
13481,13223,5
13481,13290,3
13089,50499,2716
13089,49925,924
13089,13055,1157
50499,49936,793
50499,13122,35
50499,13509,1888
49936,47429,326
49936,13122,828
49936,13167,24
47429,48437,1156
47429,13167,18
47429,13019,312
48437,13357,1156
13357,13602,1372
13357,13109,824
13357,42863,830
13602,13606,2413
13602,21589,202
13606,13609,2413
13609,13608,1180
13609,13063,897
13609,12991,336
13608,13616,1826
13616,13614,1826
13614,13619,1507
13614,13605,319
13619,13267,809
13619,13138,1031
13619,51966,327
13267,13624,326
13267,12978,1688
13624,13621,326
13621,13626,326
13626,14345,326
14345,13777,326
14345,12915,265
14345,13773,178
13777,13784,585
13784,13780,585
13780,44255,585
44255,13782,326
44255,13794,471
13782,13767,326
13767,12985,326
12985,13770,1910
12985,13044,431
12985,12905,89
12985,13793,62
13770,13793,1910
13793,13794,1972
13794,13796,326
13794,13800,2117
13796,13797,652
13797,12929,652
12929,13801,574
12929,13112,460
12929,13795,389
13801,13846,1363
13801,13844,248
13846,13850,1363
13850,13851,1363
13851,13853,789
13851,13852,485
13851,13861,89
13853,13864,1078
13864,12837,326
13864,13001,752
12837,25093,326
12837,48265,799
12837,48293,547
12837,48266,675
12837,48272,139
12837,48294,416
12837,16489,102
25093,15351,1123
25093,25119,199
25093,15643,123
15351,24199,693
15351,15877,506
15351,15878,181
24199,15878,579
24199,15909,114
15878,15526,342
15878,24200,326
15878,15909,325
15878,15877,582
15878,25092,29
48904,48889,518
48904,1314,43
48889,48909,1161
48909,48902,1041
48909,3900,38
48909,3934,120
48902,3867,112
48902,48900,929
3867,17329,450
3867,3901,451
3867,48886,32
17329,17407,112
17329,2765,156
17329,3900,126
17407,1819,190
1819,1817,190
1817,1818,532
1818,1816,174
1818,3047,358
1816,1822,580
1822,1823,580
1823,1821,580
1821,44242,580
44242,1824,580
1824,1817,342
1824,1820,208
3047,3048,358
3048,17333,358
17333,3049,358
3049,17334,358
17334,3213,358
3213,1826,358
1826,1827,358
1827,17328,358
17328,3866,358
3866,2847,358
2847,2844,280
2847,3636,78
2844,2845,280
2845,2846,280
2846,3046,112
2846,3050,168
3046,2894,238
3046,2700,128
3046,2849,156
2894,3182,859
3182,3125,112
3182,2896,226
3182,3215,521
3125,17353,112
17353,3119,112
17353,3291,161
3119,17337,746
17337,3170,746
3170,3220,479
3170,43212,395
3220,3221,479
3221,3541,479
3541,3542,479
3542,17338,351
3542,17485,128
17338,3173,746
3173,3174,746
3174,3121,351
3174,17335,395
3121,3363,456
3121,3122,161
3363,3208,456
3208,1283,84
3208,2890,216
3208,2771,128
3208,3201,28
1283,3935,2508
1283,1285,19
3935,1285,2463
3935,3938,45
1285,3938,2476
1285,3884,6
3938,3884,2505
3938,3877,10
3884,3877,1642
3884,3878,6
3877,3878,1615
3877,2083,6
3877,3201,4
3877,2079,6
3877,3984,4
3877,2771,2
3877,2086,40
3878,3201,1304
3878,2069,58
3878,2067,6
3878,3984,253
3201,2090,1126
3201,2084,171
3201,2069,8
3201,3984,78
2090,2092,3845
2090,2103,64
2092,2093,1592
2092,3108,2404
2092,3791,18
2092,3372,16
2092,3507,15
2093,3507,1246
2093,3791,358
2093,3322,8
2093,2444,195
2093,38805,12
2093,15233,99
2093,2136,4
2093,17488,4
3507,17488,1371
3507,38805,4
3507,3322,4
3507,43498,210
17488,2835,163
17488,3870,626
17488,2836,972
17488,38805,342
17488,2444,8
17488,36097,4
17488,49615,368
17488,18881,4
17488,47855,296
2882,3381,735
2882,17506,559
3381,3382,1246
3382,3895,1246
3895,2044,1246
2044,2868,1246
2868,3611,1227
2868,2410,19
3611,3812,1167
3611,17277,2600
3611,3896,60
3812,3894,2987
3894,3819,338
3894,36097,2532
3894,3731,8
3894,3820,117
3894,2409,164
3894,3893,6
3819,2959,338
2959,2956,338
2956,3328,698
2956,2957,6
3328,2021,698
3328,2045,200
2021,2022,1711
2022,2437,1288
2022,2571,423
2022,1766,5
2437,2025,2507
2437,2027,4
2025,2027,2433
2025,2026,74
2027,3731,1563
2027,41948,880
2027,2047,18
2027,19831,4
2027,2443,60
3731,2046,179
3731,2578,1249
3731,17319,3597
3731,2567,8
2046,2434,841
2046,2016,139
2434,2499,1723
2499,2564,1585
2499,3187,138
2564,2007,1585
2007,3033,1585
3033,2008,1585
2008,1959,1585
1959,2428,1325
1959,1956,163
1959,1957,97
2428,2429,1914
2429,3090,1916
2429,2427,10
3090,2427,1299
3090,2426,617
2427,3234,1303
2427,2883,202
3234,3953,2413
3234,1948,232
3234,3949,214
3234,2655,15
3953,2655,2269
3953,1946,148
3953,1948,22
2655,1914,2240
2655,3080,44
1914,1892,2038
1914,1898,246
1892,1893,2038
1893,1869,2038
1869,1862,1890
1869,2764,184
1862,1860,899
1862,3694,663
1862,1859,328
1860,1861,2119
1860,1868,12
1860,3416,249
1861,1868,1409
1861,1864,710
1868,2061,1049
1868,2570,357
2061,2966,1066
2966,2080,1305
2966,2081,200
2966,3332,4
2080,2755,2099
2080,2085,6
2755,2089,205
2755,2085,183
2755,2090,1711
2089,2086,804
2086,2087,844
2087,2699,18
2087,2095,238
2087,36099,187
2087,17499,361
2087,2402,40
2699,2698,389
2698,2701,18
2698,17352,163
2698,2771,208
2701,2894,621
2701,2700,171
2701,2849,128
2701,3050,26
2701,3868,4
2896,2897,226
2897,3164,226
3164,3362,472
3362,3165,472
3165,3111,598
3111,3166,352
3111,17335,246
3166,3167,733
3167,34296,733
34296,3540,352
34296,17485,381
3540,3217,480
3217,3218,480
3218,3219,480
3219,43210,480
43210,3169,733
43210,3149,128
3169,3112,733
3112,3126,234
3112,3214,118
3112,3291,381
3126,17510,224
3126,3633,10
17510,3633,224
3633,3634,234
3634,3635,234
3635,3051,108
3051,17448,382
17448,3179,302
17448,3178,80
3179,3178,302
3178,3209,382
3209,3210,382
3210,3211,382
3211,17330,372
3211,3212,10
17330,17331,372
17331,17332,372
17332,3212,372
3212,3900,18
3212,1816,364
3900,48900,405
3900,48887,114
3900,17352,38
3900,2765,140
3900,3875,236
48900,48917,1462
48917,48915,1462
48915,48903,1462
48903,2395,962
48903,48896,510
2395,2402,1226
2395,35790,2
2395,2356,6
2395,2143,154
2402,2356,44
2402,3870,2558
2402,51258,691
2402,1296,6
2402,36133,24
2356,3869,1861
2356,2357,56
3869,2357,1817
3869,17425,44
2357,3803,1818
2357,2179,55
3803,3931,40
3803,3932,912
3803,2179,1110
3803,3007,6
3931,3007,610
3931,1249,946
3931,2179,1052
3007,3070,1047
3007,17455,81
3070,3600,1047
3600,35632,1114
3600,35830,6
35632,3602,693
35632,3601,788
3599,3068,1101
3599,38115,273
3599,35830,116
3068,3069,1028
3068,17454,73
3069,1249,36
3069,3932,522
3069,2179,470
1249,3854,1831
1249,2175,96
1249,51258,181
1249,35633,247
3854,2175,1782
3854,3852,49
2175,3852,1799
2175,3181,79
3852,3181,1894
3181,48898,28
3181,3870,1050
3181,17505,23
3181,51258,820
3181,1296,46
48898,48906,1730
48906,48894,1730
48894,3926,482
48894,48907,1040
48894,1828,208
3926,3904,903
3904,3867,775
3904,2765,128
3901,17407,16
3901,3898,431
3636,3637,239
3637,3638,239
3638,3118,239
3118,17336,239
17336,3119,239
2890,2891,216
2891,2892,334
2892,2893,876
2893,2700,597
2893,2849,279
2700,17463,387
2700,17352,539
2700,1283,4
17463,17464,387
17464,1839,387
1839,2094,16
1839,1837,371
2094,2617,902
2094,2083,4
2617,3782,793
2617,2090,64
2617,42830,45
3782,2084,196
3782,2090,597
2084,2079,1273
2084,3332,560
2084,3649,200
2084,2081,40
2079,2620,1503
2620,3077,1037
2620,2058,6
2620,2570,236
2620,3652,207
2620,2950,17
3077,1877,1400
3077,1878,64
3077,2819,70
3077,2852,8
1877,3962,912
1877,1859,757
1877,3290,428
1877,3233,6
3962,1863,2138
3962,2764,482
1863,2558,2013
1863,1870,125
2558,1872,2013
1872,1873,2013
1873,1899,2007
1873,1898,6
1899,1900,2019
1900,1915,2019
1915,3862,1296
1915,1946,949
3862,1948,1258
3862,3949,227
3862,1946,44
1948,1949,2168
1948,2427,196
1949,1950,2168
1950,1960,1280
1950,1956,656
1950,2108,6
1950,1957,226
1960,3163,1558
3163,1961,1558
1961,1962,1558
1962,1963,1558
1963,2560,1558
2560,2561,1558
2561,2017,813
2561,2011,739
2017,2018,1327
2018,3732,803
2018,3952,508
2018,3731,16
3732,3733,2640
3732,2960,6
3732,3734,657
3733,2443,2501
3733,3731,139
2443,2047,2547
2443,2028,8
2443,2437,10
2443,2566,4
2047,2028,1345
2047,2571,821
2047,2029,383
2047,2437,20
2047,36097,4
2028,3327,810
2028,2045,975
2028,2784,90
2028,36097,6
3327,1995,720
3327,2957,277
1995,2961,359
1995,2002,361
2961,2960,359
2960,3815,500
2960,3611,6
3815,2040,1252
3815,3611,1858
3815,2041,22
2040,2042,1321
2040,2882,2
2042,2043,1321
2043,2438,1321
2438,2439,1321
2439,2882,1299
40026,9181,2205
40026,10515,278
40026,40778,1621
40026,11632,404
40026,10588,6
9181,10515,2545
9181,10323,14
9181,8749,34
10515,9730,90
10515,10790,278
10515,9561,7
10515,10323,1246
10515,8750,75
10515,11848,27
10515,40019,16
10515,9432,759
10515,8749,1308
10515,34273,34
10515,11632,6
10515,44418,297
10515,42300,224
9730,10588,12
9730,11792,1790
9730,50937,280
