strategy,removed,largest_component_share,std_across_trials
degree,0,0.99987,0.0
degree,10,0.99838,0.0
degree,25,0.99751,0.0
degree,50,0.99615,0.0
degree,100,0.99307,0.0
degree,250,0.97537,0.0
degree,500,0.96231,0.0
degree,1000,0.92433,0.0
degree,2000,0.79873,0.0
degree,3000,0.34744,0.0
approx_betweenness,0,0.99987,0.0
approx_betweenness,10,0.99877,0.0
approx_betweenness,25,0.99818,0.0
approx_betweenness,50,0.99698,0.0
approx_betweenness,100,0.99523,0.0
approx_betweenness,250,0.98959,0.0
approx_betweenness,500,0.9768,0.0
approx_betweenness,1000,0.94697,0.0
approx_betweenness,2000,0.86771,0.0
approx_betweenness,3000,0.39667,0.0
articulation_first,0,0.99987,0.0
articulation_first,10,0.99831,0.0
articulation_first,25,0.99609,0.0
articulation_first,50,0.99334,0.0
articulation_first,100,0.98807,0.0
articulation_first,250,0.9639,0.0
articulation_first,500,0.94282,0.0
articulation_first,1000,0.9228,0.0
articulation_first,2000,0.78153,0.0
articulation_first,3000,0.35599,0.0
random,0,0.99987,0.0
random,10,0.99953,1e-05
random,25,0.99901,4e-05
random,50,0.99815,7e-05
random,100,0.99627,0.00023
random,250,0.99075,0.00029
random,500,0.98084,0.00036
random,1000,0.96002,0.00149
random,2000,0.91208,0.00183
random,3000,0.86151,0.00236
