metric,bus_only,all_modes,bus_share_of_all
nodes,30169.0,30463.0,0.9903
edges_undirected,51387.0,51772.0,0.9926
edges_directed,51503.0,51999.0,0.9905
density,0.000113,0.000112,1.0089
avg_degree,3.407,3.399,1.0024
median_degree,3.0,3.0,1.0
max_degree,62.0,62.0,1.0
share_degree_le_2,0.4441,0.4467,0.9942
connected_components,2.0,12.0,0.1667
largest_component_nodes,30165.0,30237.0,0.9976
largest_component_share,0.9999,0.9926,1.0074
articulation_points,754.0,900.0,0.8378
articulation_point_share,0.025,0.0295,0.8475
bridges,812.0,971.0,0.8363
bridge_share,0.0158,0.0188,0.8404
