stop_id,stop_name,region,metro,degree,weighted_degree,approx_betweenness,pagerank,is_articulation_point,rank_degree,rank_weighted_degree,rank_approx_betweenness,rank_pagerank
17303,ת.התרעננות/דור אלון מגל 6,Center,Periphery,16,220,0.11628833478926678,9.737818212070012e-06,False,78,21881,1,28339
27689,מחלף קמה לצפון,South,Beer Sheva,24,1304,0.07694375366066819,9.311378348333949e-05,False,19,7348,2,506
41132,מחלף חמד,Jerusalem,Jerusalem,44,10540,0.07332898987987725,0.00040046103050309377,False,2,48,3,1
7444,דרך האר''י/ כביש 375,Jerusalem,Jerusalem,29,5272,0.07235578845693276,5.621276711169209e-05,False,11,555,4,3145
41133,מחלף חמד,Jerusalem,Jerusalem,62,10454,0.07213162306578921,0.00012647040738200785,True,1,49,5,117
7562,שדרות בית הלל/כניסה לעיר,Center,Tel Aviv,29,3870,0.0664197660176674,8.305503723602283e-05,False,11,1362,6,809
9048,בן גוריון/שערי ירושלים,Jerusalem,Jerusalem,41,9472,0.05223171373947966,8.587822764382547e-05,True,3,79,7,723
748,מחלף קסם,Center,Tel Aviv,19,1534,0.04446315536242038,6.001254971184939e-05,False,40,6170,8,2579
29243,תחנת התרעננות/פונדק בית קמה,South,Beer Sheva,19,520,0.04203876190525879,2.6806165578076305e-05,False,40,14826,9,17257
18691,צומת ראש פינה,North,Periphery,13,2010,0.040002600529273874,0.00011356091531433984,False,175,4385,10,196
23418,רבי יהודה הנשיא/כניסה לעיר,Center,Tel Aviv,24,1374,0.038102474971943044,4.714023314444924e-05,False,19,6998,11,5299
18876,צומת חנניה צומת שבע,North,Periphery,13,636,0.037418239753898054,3.3873360546191006e-05,False,175,13058,12,11908
16491,מחלף קסם,Center,Tel Aviv,19,1756,0.037380984281500954,6.34210728956709e-05,False,40,5192,13,2143
42430,ת.התרעננות/דור אלון מגל כביש 6,Center,Periphery,15,236,0.03677611523360645,1.508497960940023e-05,False,102,21391,14,25984
13274,מחלף גבעת שמואל/כביש 4,Center,Tel Aviv,24,11746,0.03620019855425828,9.376050512369805e-05,False,19,22,15,489
4132,צומת כפר קרע,Center,Periphery,14,2332,0.03606221727195601,9.945077829682231e-05,False,135,3564,16,374
47879,מסוף חצור הגלילית/רציפים,North,Periphery,5,880,0.03338808964388771,4.7882976815500645e-05,False,3481,10359,17,5072
47911,ת. מרכזית ק''ש/רציפים,North,Periphery,2,170,0.03330581526181373,5.1538670205826605e-06,False,16773,23632,18,29628
19486,תל חי/סיני,North,Periphery,8,1700,0.033280150066953965,2.6516401018417246e-05,True,889,5471,19,17526
20917,מחלף המוביל/לדרום,North,Haifa,17,1628,0.03309818007567422,9.033311911996207e-05,False,64,5767,20,589
9046,ויצמן/גבעת שאול,Jerusalem,Jerusalem,36,11096,0.032952667504176525,0.0002181991475019447,False,6,37,21,3
1296,מחלף יגור,North,Haifa,26,3372,0.030410736724660638,5.6875401506121434e-05,False,17,1824,24,3039
27623,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,South,Beer Sheva,20,4594,0.02577499617673873,0.0002105440135395082,True,33,843,30,5
29350,מחלף מסובים,Center,Tel Aviv,27,4034,0.02364257242248926,5.1536424979988086e-05,False,13,1216,37,4083
13246,בית ספר הולץ/חיל השריון,Center,Tel Aviv,31,9154,0.022384633983163194,9.227775603885721e-05,True,8,94,45,525
12975,מחלף לה גווארדייה,Center,Tel Aviv,34,6604,0.02196660483688101,0.00012916820304621518,True,7,256,46,107
3521,מת''מ,North,Haifa,13,11540,0.014961676817226996,0.0001898162641435149,False,175,25,92,14
13354,ת. רכבת תל אביב - סבידור/דרך נמיר,Center,Tel Aviv,31,11348,0.014400417597787372,9.982081773137827e-05,False,8,28,96,365
21589,מחלף מסובים,Center,Tel Aviv,25,4882,0.01344897870295378,8.518587602854992e-05,False,18,688,109,754
10716,צומת רמות/גולדה,Jerusalem,Jerusalem,40,17392,0.01221912610433899,0.00019259069511758266,False,4,3,127,13
27918,ת.מרכזית באר שבע/הורדה,South,Beer Sheva,14,3562,0.012049558315296178,0.00018045315895203525,False,135,1651,130,19
8750,אצטדיון טדי/א''ס ביתר,Jerusalem,Jerusalem,27,9455,0.01155682864776092,0.000111858997096582,False,13,82,132,208
10775,גשר המיתרים/שד' הרצל,Jerusalem,Jerusalem,37,18976,0.009830490360832908,0.0001783266945961003,True,5,2,164,21
10236,שערי ירושלים/ליפתא,Jerusalem,Jerusalem,24,7392,0.007767376823025201,8.217122275867787e-05,False,19,172,251,844
13320,קניון עזריאלי/דרך מנחם בגין,Center,Tel Aviv,24,10694,0.007465003053415774,9.042236191423739e-05,False,19,44,266,585
10790,צומת רמות/גולדה,Jerusalem,Jerusalem,31,14154,0.004833990166978858,0.00014063474434992785,False,8,8,488,70
50332,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,Center,Tel Aviv,13,11832,0.0045258246064046785,0.00010562486028000674,True,175,20,533,274
41599,שדרות החשמונאים/לב העיר,Center,Tel Aviv,22,5353,0.004342909829246075,0.0002004010375064143,False,25,526,559,10
10264,צומת רמות/ידין,Jerusalem,Jerusalem,27,6976,0.004096391176552926,6.667231605975964e-05,False,13,208,622,1789
11734,ת. מרכזית ירושלים/הורדה,Jerusalem,Jerusalem,11,4508,0.0034662312526015314,0.00021413638787584442,False,317,894,917,4
8636,גולדה/שלמה הלוי,Jerusalem,Jerusalem,16,13156,0.0028582410281005636,9.673026436705454e-05,False,78,13,1188,414
13103,קניון עזריאלי/דרך מנחם בגין,Center,Tel Aviv,19,21396,0.002531892046052343,0.00016424535624256307,False,40,1,1279,35
12910,דרך נמיר/יהודה המכבי,Center,Tel Aviv,10,16816,0.002386338079533773,0.00018121543529316678,False,423,4,1346,18
13358,סמינר הקיבוצים/דרך נמיר,Center,Tel Aviv,21,15780,0.0023229455323955962,0.0002040057603384131,False,30,5,1380,6
333,הרצל/עולי הגרדום,Center,Tel Aviv,8,7988,0.0015070105631535117,0.0001824852990832439,False,889,136,1845,17
47851,ת.מרכזית עפולה/הורדה,North,Periphery,15,4210,0.001454131903873314,0.00017993413827933717,False,102,1069,1870,20
18040,נשיאי ישראל/דרך השלום,North,Periphery,7,4024,0.0013155693608369922,0.0001843788490489531,False,1350,1229,1962,16
26711,צומת עומר מערב,South,Beer Sheva,10,1790,0.0011720018434471945,0.0002031550131933099,False,423,5082,2096,7
13322,המסגר/הרכב,Center,Tel Aviv,27,13424,0.0008371436452682053,0.00016834929668529472,True,13,12,2526,28
14347,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,Center,Tel Aviv,7,12110,0.0008359628630532996,0.00015274575932471154,False,1350,17,2529,46
26705,צומת תל שבע,South,Beer Sheva,8,1838,0.0006385849870139367,0.00019331157269151928,False,889,4932,2948,12
4729,יצחק רבין/דוד אלעזר,North,Periphery,8,4741,0.0005595978588980346,0.00019533800436589033,False,889,775,3180,11
13067,דרך נמיר/יהודה המכבי,Center,Tel Aviv,8,13648,0.000428352235930503,0.00011596561630856816,False,889,9,3815,178
22099,ת. רק''ל בלינסון/קניון אבנת,Center,Tel Aviv,11,11915,0.0003876857021857836,0.00015870134716486134,True,317,19,4086,36
9959,מסוף הר נוף/כנפי נשרים,Jerusalem,Jerusalem,9,12770,0.00030719141776069985,9.943458135545676e-05,False,611,14,4803,375
20480,ת. מרכזית ק''ש/הורדה,North,Periphery,9,2460,0.00021524188771774807,0.0002462574101834166,False,611,3266,6129,2
48363,ת.רק''ל יהודית/דרך מנחם בגין,Center,Tel Aviv,8,13610,0.00021182728119256407,0.00012167335678569159,False,889,10,6202,138
5266,גן העיר/הגליל,North,Periphery,16,7770,0.00016544168808576843,0.00020115500455486954,True,78,148,7330,8
13120,דרך זאב ז'בוטינסקי/מכון מור,Center,Tel Aviv,9,14786,0.00014990978294037116,0.00011277792394664979,False,611,6,7884,202
9445,ירמיהו/שמגר,Jerusalem,Jerusalem,12,12004,0.00010542509562191307,8.53859556347395e-05,False,233,18,9883,746
13206,קריית הממשלה/דרך מנחם בגין,Center,Tel Aviv,10,14386,7.816321872394895e-05,0.00010805186477295379,True,423,7,11791,251
10514,ביטוח לאומי,Jerusalem,Jerusalem,7,13478,6.202424589797306e-05,5.5113599252736e-05,False,1350,11,13574,3312
9181,בנייני האומה/הנשיא השישי,Jerusalem,Jerusalem,12,9468,5.854169319087479e-05,0.00018805250624659125,False,233,80,13892,15
10237,יחזקאל/כיכר השבת ,Jerusalem,Jerusalem,5,12206,4.682174308731412e-05,0.00010173316332728411,False,3481,16,15169,334
48183,ת. מרכזית ק''ש/רציפים,North,Periphery,6,1362,2.4871285358297196e-05,0.0002009714562655023,False,2096,7059,19111,9
13207,ת.רק''ל בן גוריון/דרך ז'בוטינסקי,Center,Tel Aviv,8,12732,2.2642899952446825e-05,9.26083163799367e-05,False,889,15,19450,519
