route_type,mode_label,service_hour,departures
0,tram/light rail,0,947
0,tram/light rail,1,242
0,tram/light rail,2,0
0,tram/light rail,3,0
0,tram/light rail,4,0
0,tram/light rail,5,641
0,tram/light rail,6,2871
0,tram/light rail,7,4038
0,tram/light rail,8,4641
0,tram/light rail,9,4738
0,tram/light rail,10,4457
0,tram/light rail,11,4131
0,tram/light rail,12,3935
0,tram/light rail,13,3672
0,tram/light rail,14,3758
0,tram/light rail,15,4122
0,tram/light rail,16,4138
0,tram/light rail,17,3806
0,tram/light rail,18,3179
0,tram/light rail,19,2929
0,tram/light rail,20,2628
0,tram/light rail,21,3211
0,tram/light rail,22,3454
0,tram/light rail,23,3374
0,tram/light rail,24,1411
0,tram/light rail,25,10
0,tram/light rail,26,0
0,tram/light rail,27,0
5,cable tram,0,335
5,cable tram,1,372
5,cable tram,2,103
5,cable tram,3,0
5,cable tram,4,0
5,cable tram,5,0
5,cable tram,6,407
5,cable tram,7,534
5,cable tram,8,540
5,cable tram,9,540
5,cable tram,10,598
5,cable tram,11,600
5,cable tram,12,600
5,cable tram,13,600
5,cable tram,14,600
5,cable tram,15,554
5,cable tram,16,540
5,cable tram,17,540
5,cable tram,18,494
5,cable tram,19,538
5,cable tram,20,612
5,cable tram,21,612
5,cable tram,22,510
5,cable tram,23,504
5,cable tram,24,97
5,cable tram,25,0
5,cable tram,26,0
5,cable tram,27,0
8,trolleybus,0,0
8,trolleybus,1,0
8,trolleybus,2,0
8,trolleybus,3,0
8,trolleybus,4,0
8,trolleybus,5,0
8,trolleybus,6,0
8,trolleybus,7,7
8,trolleybus,8,6
8,trolleybus,9,16
8,trolleybus,10,6
8,trolleybus,11,12
8,trolleybus,12,11
8,trolleybus,13,12
8,trolleybus,14,3
8,trolleybus,15,10
8,trolleybus,16,9
8,trolleybus,17,2
8,trolleybus,18,0
8,trolleybus,19,0
8,trolleybus,20,0
8,trolleybus,21,0
8,trolleybus,22,0
8,trolleybus,23,0
8,trolleybus,24,0
8,trolleybus,25,0
8,trolleybus,26,0
8,trolleybus,27,0
715,demand/other bus,0,22
715,demand/other bus,1,0
715,demand/other bus,2,0
715,demand/other bus,3,0
715,demand/other bus,4,3
715,demand/other bus,5,66
715,demand/other bus,6,687
715,demand/other bus,7,278
715,demand/other bus,8,511
715,demand/other bus,9,389
715,demand/other bus,10,314
715,demand/other bus,11,314
715,demand/other bus,12,557
715,demand/other bus,13,456
715,demand/other bus,14,456
715,demand/other bus,15,185
715,demand/other bus,16,436
715,demand/other bus,17,324
715,demand/other bus,18,372
715,demand/other bus,19,270
715,demand/other bus,20,335
715,demand/other bus,21,657
715,demand/other bus,22,547
715,demand/other bus,23,203
715,demand/other bus,24,8
715,demand/other bus,25,0
715,demand/other bus,26,0
715,demand/other bus,27,0
