stop_id,stop_name,lat,lon,degree,weighted_degree,mode_label,route_type,exact_betweenness,stop_calls,n_routes,is_articulation_point,component_id,region,metro
35145,יפו - מרכז,31.782984,35.218215,2,500,tram/light rail,0,0.031022,250,2,True,1,Jerusalem,Jerusalem
35146,יפו - מרכז,31.782933,35.218116,2,464,tram/light rail,0,0.031022,232,1,True,0,Jerusalem,Jerusalem
35144,העירייה,31.77964,35.224019,2,500,tram/light rail,0,0.030915,250,2,True,1,Jerusalem,Jerusalem
35148,הדווידקה,31.784535,35.215284,2,500,tram/light rail,0,0.030915,250,2,True,1,Jerusalem,Jerusalem
35147,הדווידקה,31.784434,35.215267,2,464,tram/light rail,0,0.030915,232,1,True,0,Jerusalem,Jerusalem
35143,העירייה,31.779566,35.223958,2,464,tram/light rail,0,0.030915,232,1,True,0,Jerusalem,Jerusalem
35141,שער שכם,31.782373,35.227812,2,500,tram/light rail,0,0.030593,250,2,True,1,Jerusalem,Jerusalem
35149,מחנה יהודה,31.78598,35.211585,2,500,tram/light rail,0,0.030593,250,2,True,1,Jerusalem,Jerusalem
35150,מחנה יהודה,31.785917,35.211488,2,464,tram/light rail,0,0.030593,232,1,True,0,Jerusalem,Jerusalem
35142,שער שכם,31.782411,35.227908,2,464,tram/light rail,0,0.030593,232,1,True,0,Jerusalem,Jerusalem
35139,שבטי ישראל,31.786297,35.227074,2,500,tram/light rail,0,0.030056,250,2,True,1,Jerusalem,Jerusalem
35151,הטורים,31.787888,35.206931,2,500,tram/light rail,0,0.030056,250,2,True,1,Jerusalem,Jerusalem
35152,הטורים,31.787823,35.206852,2,464,tram/light rail,0,0.030056,232,1,True,0,Jerusalem,Jerusalem
35140,שבטי ישראל,31.786306,35.227179,2,464,tram/light rail,0,0.030056,232,1,True,0,Jerusalem,Jerusalem
35138,שמעון הצדיק,31.793032,35.226273,2,500,tram/light rail,0,0.029304,250,2,True,1,Jerusalem,Jerusalem
35153,התחנה המרכזית,31.788492,35.202603,2,500,tram/light rail,0,0.029304,250,2,True,1,Jerusalem,Jerusalem
35154,התחנה המרכזית,31.788407,35.202566,2,464,tram/light rail,0,0.029304,232,1,True,0,Jerusalem,Jerusalem
35137,שמעון הצדיק,31.793025,35.226378,2,464,tram/light rail,0,0.029304,232,1,True,0,Jerusalem,Jerusalem
49135,אלנבי,32.062791,34.775131,2,2436,tram/light rail,0,0.029197,1218,3,True,3,Center,Tel Aviv
49100,קרליבך,32.065272,34.782824,2,2436,tram/light rail,0,0.029197,1218,3,True,3,Center,Tel Aviv
49124,קרליבך,32.065272,34.782824,2,2380,tram/light rail,0,0.029197,1190,2,True,2,Center,Tel Aviv
49123,אלנבי,32.062791,34.775131,2,2380,tram/light rail,0,0.029197,1190,2,True,2,Center,Tel Aviv
49109,יהודית,32.070168,34.788406,2,2436,tram/light rail,0,0.028982,1218,3,True,3,Center,Tel Aviv
49136,יהודית,32.070168,34.788406,2,2380,tram/light rail,0,0.028982,1190,2,True,2,Center,Tel Aviv
49134,אליפלט,32.058423,34.763033,2,1856,tram/light rail,0,0.028982,1218,3,True,3,Center,Tel Aviv
49092,אליפלט,32.058423,34.763033,2,1798,tram/light rail,0,0.028982,1190,2,True,2,Center,Tel Aviv
49149,שאול המלך,32.076636,34.792005,2,2436,tram/light rail,0,0.028553,1218,3,True,3,Center,Tel Aviv
49137,שאול המלך,32.076636,34.792005,2,2380,tram/light rail,0,0.028553,1190,2,True,2,Center,Tel Aviv
49122,שלמה,32.054357,34.759484,2,1276,tram/light rail,0,0.028553,638,2,True,3,Center,Tel Aviv
49099,שלמה,32.054357,34.759484,2,1216,tram/light rail,0,0.028553,608,1,True,2,Center,Tel Aviv
35135,גבעת התחמושת,31.79913,35.231968,2,500,tram/light rail,0,0.028338,250,2,True,1,Jerusalem,Jerusalem
35156,קריית משה,31.786282,35.198114,2,500,tram/light rail,0,0.028338,250,2,True,1,Jerusalem,Jerusalem
35155,קריית משה,31.786216,35.198187,2,464,tram/light rail,0,0.028338,232,1,True,0,Jerusalem,Jerusalem
35136,גבעת התחמושת,31.799077,35.232053,2,464,tram/light rail,0,0.028338,232,1,True,0,Jerusalem,Jerusalem
49093,ארלוזורוב,32.081554,34.796524,2,2436,tram/light rail,0,0.027909,1218,3,True,3,Center,Tel Aviv
49110,ארלוזורוב,32.081554,34.796524,2,2380,tram/light rail,0,0.027909,1190,2,True,2,Center,Tel Aviv
49116,אצטדיון בלומפילד,32.0503,34.758947,2,1276,tram/light rail,0,0.027909,638,2,True,3,Center,Tel Aviv
49091,אצטדיון בלומפילד,32.0503,34.758947,2,1216,tram/light rail,0,0.027909,608,1,True,2,Center,Tel Aviv
35164,החלוץ,31.782839,35.191455,2,500,tram/light rail,0,0.027158,250,2,True,1,Jerusalem,Jerusalem
35133,גבעת המבתר,31.805482,35.234179,2,482,tram/light rail,0,0.027158,250,2,True,1,Jerusalem,Jerusalem
35163,החלוץ,31.782749,35.19145,2,464,tram/light rail,0,0.027158,232,1,True,0,Jerusalem,Jerusalem
35134,גבעת המבתר,31.805507,35.234281,2,464,tram/light rail,0,0.027158,232,1,True,0,Jerusalem,Jerusalem
49150,אבא הלל,32.082911,34.802729,2,2436,tram/light rail,0,0.02705,1218,3,True,3,Center,Tel Aviv
49101,אבא הלל,32.082911,34.802729,2,2380,tram/light rail,0,0.02705,1190,2,True,2,Center,Tel Aviv
49121,ארליך,32.046052,34.758356,2,1276,tram/light rail,0,0.02705,638,2,True,3,Center,Tel Aviv
49148,ארליך,32.046052,34.758356,2,1216,tram/light rail,0,0.02705,608,1,True,2,Center,Tel Aviv
49145,ביאליק,32.087285,34.812851,2,2436,tram/light rail,0,0.025977,1218,3,True,3,Center,Tel Aviv
49094,ביאליק,32.087285,34.812851,2,2380,tram/light rail,0,0.025977,1190,2,True,2,Center,Tel Aviv
49090,איסקוב,32.042205,34.757079,2,1276,tram/light rail,0,0.025977,638,2,True,3,Center,Tel Aviv
49133,איסקוב,32.042205,34.757079,2,1216,tram/light rail,0,0.025977,608,1,True,2,Center,Tel Aviv
35158,כיכר דניה,31.780631,35.188253,2,500,tram/light rail,0,0.025762,250,2,True,1,Jerusalem,Jerusalem
35157,כיכר דניה,31.780579,35.188339,2,464,tram/light rail,0,0.025762,232,1,True,0,Jerusalem,Jerusalem
35131,א-סהל,31.811222,35.232754,2,464,tram/light rail,0,0.025762,232,1,True,0,Jerusalem,Jerusalem
35132,א-סהל,31.811181,35.232649,2,464,tram/light rail,0,0.025762,232,1,True,1,Jerusalem,Jerusalem
49146,בן גוריון,32.091009,34.823592,2,2436,tram/light rail,0,0.024689,1218,3,True,3,Center,Tel Aviv
49117,אהרונוביץ',32.092685,34.838868,3,2436,tram/light rail,0,0.024689,1218,3,True,3,Center,Tel Aviv
49095,אהרונוביץ',32.092685,34.838868,3,2380,tram/light rail,0,0.024689,1190,2,True,2,Center,Tel Aviv
49151,בן גוריון,32.091009,34.823592,2,2380,tram/light rail,0,0.024689,1190,2,True,2,Center,Tel Aviv
49144,הבעש''ט,32.038772,34.755811,2,1276,tram/light rail,0,0.024689,638,2,True,3,Center,Tel Aviv
49115,הבעש''ט,32.038772,34.755811,2,1216,tram/light rail,0,0.024689,608,1,True,2,Center,Tel Aviv
35160,יפה נוף,31.776934,35.184904,2,500,tram/light rail,0,0.024152,250,2,True,1,Jerusalem,Jerusalem
35159,יפה נוף,31.776863,35.184971,2,464,tram/light rail,0,0.024152,232,1,True,0,Jerusalem,Jerusalem
35130,שועפאט,31.814259,35.230066,2,464,tram/light rail,0,0.024152,232,1,True,0,Jerusalem,Jerusalem
35129,שועפאט,31.814208,35.229962,2,464,tram/light rail,0,0.024152,232,1,True,1,Jerusalem,Jerusalem
49114,מחרוזת,32.033272,34.751559,2,1276,tram/light rail,0,0.023186,638,2,True,3,Center,Tel Aviv
49108,מחרוזת,32.033272,34.751559,2,1216,tram/light rail,0,0.023186,608,1,True,2,Center,Tel Aviv
35162,הר הרצל,31.770865,35.18148,2,500,tram/light rail,0,0.022327,250,2,True,1,Jerusalem,Jerusalem
35161,הר הרצל,31.77083,35.181578,2,464,tram/light rail,0,0.022327,232,1,True,0,Jerusalem,Jerusalem
35128,בית חנינא,31.819714,35.229107,2,464,tram/light rail,0,0.022327,232,1,True,0,Jerusalem,Jerusalem
35127,בית חנינא,31.819804,35.229101,2,464,tram/light rail,0,0.022327,232,1,True,1,Jerusalem,Jerusalem
49119,העצמאות,32.028191,34.748986,2,1276,tram/light rail,0,0.021468,638,2,True,3,Center,Tel Aviv
49105,העצמאות,32.028191,34.748986,2,1216,tram/light rail,0,0.021468,608,1,True,2,Center,Tel Aviv
49435,שמריהו לוין,31.768813,35.177653,2,500,tram/light rail,0,0.020288,250,2,True,1,Jerusalem,Jerusalem
49459,שמריהו לוין,31.768751,35.177537,2,464,tram/light rail,0,0.020288,232,1,True,0,Jerusalem,Jerusalem
35125,יקותיאל אדם,31.819282,35.23929,2,464,tram/light rail,0,0.020288,232,1,True,0,Jerusalem,Jerusalem
