route_type,mode_label,component_id,nodes,edges,shape,cyclomatic_number,diameter,metro,region,sample_stations
0,tram/light rail,0,35,34,path,0,34,Jerusalem,Jerusalem,א-סהל | בית הספר לרפואה | בית חנינא
0,tram/light rail,1,35,34,path,0,34,Jerusalem,Jerusalem,א-סהל | בית הספר לרפואה | בית חנינא
0,tram/light rail,2,34,33,tree,0,31,Tel Aviv,Center,אבא הלל | אהרונוביץ' | איסקוב
0,tram/light rail,3,34,33,tree,0,31,Tel Aviv,Center,אבא הלל | אהרונוביץ' | איסקוב
5,cable tram,0,6,5,path,0,5,Haifa,North,ביה''ח בני ציון | הדר העירייה | הנביאים
5,cable tram,1,3,2,path,0,2,Haifa,North,אוניברסיטת חיפה | טכניון מרכז | מרכזית המפרץ
8,trolleybus,0,4,3,star,0,2,Tel Aviv,Center,תחנת מוניות תל אביב מסוף רדינג | תחנת מוניות תל אביב שכונת בבלי | תחנת מוניות תל אביב שכונת בבלי
8,trolleybus,1,2,1,path,0,1,Tel Aviv,Center,תחנת מוניות תל אביב מסוף רדינג | תחנת מוניות תל אביב רכבת ההגנה
8,trolleybus,2,2,1,path,0,1,Tel Aviv,Center,תחנת מוניות רמת גן דרך הטייסים | תחנת מוניות תל אביב הכובשים
715,demand/other bus,0,129,164,meshed,36,23,Periphery,Center,'כפר הרי''ף א | אביעזר/מרכז א | אביעזר/מרכז ב
715,demand/other bus,1,24,30,meshed,7,15,Periphery,South,אולם ספורט דוביק/יוטבתה | בית הספר מעלה שחרות | בסיס עובדה/ש''ג
