route_type,mode_label,route_id,agency,route_short_name,route_long_name,trips
0,tram/light rail,34447,תבל,1,תחנה מרכזית פתח תקווה-פתח תקווה<->הקוממיות-בת ים-10,608
0,tram/light rail,34448,תבל,1,הקוממיות-בת ים<->תחנה מרכזית פתח תקווה-פתח תקווה-20,607
0,tram/light rail,34449,תבל,3,קרית אריה-פתח תקווה<->אליפלט-תל אביב יפו-10,582
0,tram/light rail,34450,תבל,3,אליפלט-תל אביב יפו<->קרית אריה-פתח תקווה-20,580
0,tram/light rail,10746,כפיר,1,הדסה עין כרם-ירושלים<->נווה יעקב - צפון-ירושלים-10,232
0,tram/light rail,10747,כפיר,1,נווה יעקב - צפון-ירושלים<->הדסה עין כרם-ירושלים-20,232
0,tram/light rail,34446,תבל,2,הקוממיות-בת ים<->קרית אריה-פתח תקווה-20,31
0,tram/light rail,29438,כפיר,1,גבעת המבתר-ירושלים<->הדסה עין כרם-ירושלים-24,18
5,cable tram,29602,כבל אקספרס,10,מרכזית המפרץ-חיפה<->אוניברסיטת חיפה-חיפה-10,1201
5,cable tram,29603,כבל אקספרס,10,אוניברסיטת חיפה-חיפה<->מרכזית המפרץ-חיפה-20,1201
5,cable tram,19087,כרמלית,1,מרכז הכרמל-חיפה<->עיר תחתית-חיפה-20,302
5,cable tram,19088,כרמלית,1,עיר תחתית-חיפה<->מרכז הכרמל-חיפה-10,302
8,trolleybus,29246,מוניות מטרו קו,9,תחנת מוניות חולון וולפסון-חולון<->תחנת מוניות חולון וולפסון-חולון-3#,17
8,trolleybus,28099,אודליה מוניות בעמ,16,תחנת מוניות רמת גן דרך הטייסים-תל אביב יפו<->תחנת מוניות תל אביב הכובשים-תל אביב יפו-1#,6
8,trolleybus,28100,אודליה מוניות בעמ,16,תחנת מוניות תל אביב הכובשים-תל אביב יפו<->תחנת מוניות רמת גן דרך הטייסים-תל אביב יפו-2#,6
8,trolleybus,26007,מוניות רב קווית 4-5,5א,תחנת מוניות תל אביב שכונת בבלי-תל אביב יפו<->תחנת מוניות תל אביב תחנה מרכזית-תל אביב יפו-2א,5
8,trolleybus,26005,מוניות רב קווית 4-5,5א,תחנת מוניות תל אביב תחנה מרכזית-תל אביב יפו<->תחנת מוניות תל אביב שכונת בבלי-תל אביב יפו-1א,4
8,trolleybus,26008,מוניות רב קווית 4-5,4,תחנת מוניות תל אביב תחנה מרכזית-תל אביב יפו<->תחנת מוניות תל אביב מסוף רדינג-תל אביב יפו-1#,4
8,trolleybus,26010,מוניות רב קווית 4-5,4,תחנת מוניות תל אביב מסוף רדינג-תל אביב יפו<->תחנת מוניות תל אביב רכבת ההגנה-תל אביב יפו-2#,4
8,trolleybus,35819,מוניות מטרו קו,99,תחנת מוניות בת ים קולוני ביץ-בת ים<->תחנת מוניות בת ים קולוני ביץ-בת ים-3#,1
715,demand/other bus,23545,תנופה,42,רבדים-רבדים<->ת. רכבת מלאכי יואב/הורדה-יואב-10,61
715,demand/other bus,23546,תנופה,42,ת. רכבת מלאכי יואב/איסוף-יואב<->רבדים-רבדים-20,61
715,demand/other bus,23547,תנופה,41,מגרש ספורט-שדות מיכה<->ת. רכבת מלאכי יואב/הורדה-יואב-10,61
715,demand/other bus,23548,תנופה,41,ת. רכבת מלאכי יואב/איסוף-יואב<->מגרש ספורט-שדות מיכה-20,61
715,demand/other bus,25706,מועצה אזורית אילות,24,מסוף מרכזי חבל אילות-חבל אילות<->שחרות-שחרות-1#,38
715,demand/other bus,25686,מועצה אזורית אילות,24,שחרות-שחרות<->מסוף מרכזי חבל אילות-חבל אילות-2#,32
715,demand/other bus,18658,קווים,34,איזור התעשיה נשר-נחם<->גבעות עדן א'-מטה יהודה-20,27
715,demand/other bus,18129,קווים,34,גבעות עדן א'-מטה יהודה<->כביש 3855/כביש 38-מפעלי נחם הר טוב-10,26
715,demand/other bus,18422,קווים,35,מזכירות-נחושה<->נחם א-נחם-10,23
715,demand/other bus,18876,קווים,35,נחם ב-נחם<->מזכירות-נחושה-20,20
715,demand/other bus,18367,קווים,31,לוזית מרכז ב-לוזית<->מלבר ג-מסילת ציון-10,16
715,demand/other bus,18707,קווים,31,מלבר/סמטת מאלה-מסילת ציון<->לוזית מרכז א-לוזית-20,13
715,demand/other bus,24049,קווים,31,קוצין/קרלה-מסילת ציון<->לוזית מרכז א-לוזית-21,11
715,demand/other bus,24048,קווים,31,לוזית מרכז ב-לוזית<->קוצין/קרלה-מסילת ציון-11,8
