component_rank,nodes,modes_present,dominant_mode,sample_station
0,30237,"bus:30165, demand/other bus:153",bus, מסעף נווה מונסון/כביש 412
1,67,rail:67,rail,אופקים
2,35,tram/light rail:35,tram/light rail,א-סהל
3,35,tram/light rail:35,tram/light rail,א-סהל
4,34,tram/light rail:34,tram/light rail,אבא הלל
5,34,tram/light rail:34,tram/light rail,אבא הלל
6,6,cable tram:6,cable tram,ביה''ח בני ציון
7,4,bus:4,bus,בית ספר ישורון/קלאוזנר
8,4,trolleybus:4,trolleybus,תחנת מוניות תל אביב מסוף רדינג
9,3,cable tram:3,cable tram,אוניברסיטת חיפה
10,2,trolleybus:2,trolleybus,תחנת מוניות תל אביב מסוף רדינג
11,2,trolleybus:2,trolleybus,תחנת מוניות רמת גן דרך הטייסים
