mode_label,stop_id,stop_calls
bus,38725,1370
bus,15582,228
bus,15583,288
bus,16086,186
bus,16085,186
bus,16084,808
bus,15769,214
bus,15739,700
bus,15542,559
bus,15543,559
bus,16155,357
bus,15740,337
bus,16019,488
bus,16148,688
bus,16020,630
bus,15741,500
bus,15742,603
bus,15744,210
bus,15745,1531
bus,43852,2881
bus,43853,2881
bus,43849,3004
bus,9501,2766
bus,9502,2751
bus,43242,1381
bus,48360,1575
bus,9492,1575
bus,10703,1575
bus,34266,1189
bus,11691,939
bus,9497,939
bus,9644,3713
bus,9645,3719
bus,9487,3821
bus,9484,2282
bus,8961,4488
bus,8962,4475
bus,10720,2751
bus,10721,2768
bus,10722,3205
bus,11574,4679
bus,10789,4650
bus,9553,5159
bus,10321,988
bus,11844,1631
bus,10769,1172
bus,10630,1172
bus,48638,1172
bus,43607,1097
bus,9709,2110
bus,13484,3127
bus,13481,4463
bus,13089,4797
bus,50499,2716
bus,49936,1178
bus,47429,1486
bus,48437,1156
bus,13357,3026
bus,13602,2615
bus,13606,2413
bus,13609,2413
bus,13608,1826
bus,13616,1826
bus,13614,1826
bus,13619,2167
bus,13267,2014
bus,13624,326
bus,13621,326
bus,13626,326
bus,14345,769
bus,13777,585
bus,13784,585
bus,13780,585
bus,44255,797
bus,13782,326
bus,13767,326
bus,12985,2492
bus,13770,1910
bus,13793,1972
bus,13794,2443
bus,13796,652
bus,13797,652
bus,12929,1423
bus,13801,1611
bus,13846,1363
bus,13850,1363
bus,13851,1363
bus,13853,1078
bus,13864,1078
bus,12837,3004
bus,25093,1445
bus,15351,1380
bus,24199,693
bus,15878,3604
bus,48904,561
bus,48889,1161
bus,48909,1199
bus,48902,1041
bus,3867,933
bus,17329,450
bus,17407,190
bus,1819,190
bus,1817,532
bus,1818,532
bus,1816,580
bus,1822,580
bus,1823,580
bus,1821,580
bus,44242,580
bus,1824,580
bus,3047,358
bus,3048,358
bus,17333,358
bus,3049,358
bus,17334,358
bus,3213,358
bus,1826,358
bus,1827,358
bus,17328,358
bus,3866,358
bus,2847,358
bus,2844,280
bus,2845,280
bus,2846,280
bus,3046,522
bus,2894,859
bus,3182,859
bus,3125,112
bus,17353,273
bus,3119,746
bus,17337,746
bus,3170,874
bus,3220,479
bus,3221,479
bus,3541,479
bus,3542,479
bus,17338,746
bus,3173,746
bus,3174,746
bus,3121,617
bus,3363,456
bus,3208,456
bus,1283,2527
bus,3935,2508
bus,1285,2482
bus,3938,2521
bus,3884,2511
bus,3877,1700
bus,3878,1621
bus,3201,1383
bus,2090,4143
bus,2092,4045
bus,2093,1926
bus,3507,1589
bus,17488,3215
bus,2882,2036
bus,3381,1246
bus,3382,1246
bus,3895,1246
bus,2044,1246
bus,2868,1246
bus,3611,3827
bus,3812,2987
bus,3894,3165
bus,3819,338
bus,2959,338
bus,2956,704
bus,3328,898
bus,2021,1711
bus,2022,1716
bus,2437,2511
bus,2025,2517
bus,2027,2545
bus,3731,5033
bus,2046,980
bus,2434,1723
bus,2499,1723
bus,2564,1585
bus,2007,1585
bus,3033,1585
bus,2008,1585
bus,1959,1585
bus,2428,1914
bus,2429,1926
bus,3090,1916
bus,2427,1505
bus,3234,2874
bus,3953,2439
bus,2655,2284
bus,1914,2284
bus,1892,2038
bus,1893,2038
bus,1869,2074
bus,1862,1890
bus,1860,2380
bus,1861,2119
bus,1868,1421
bus,2061,1066
bus,2966,1509
bus,2080,2105
bus,2755,2099
bus,2089,804
bus,2086,844
bus,2087,844
bus,2699,389
bus,2698,389
bus,2701,950
bus,2896,226
bus,2897,226
bus,3164,472
bus,3362,472
bus,3165,598
bus,3111,598
bus,3166,733
bus,3167,733
bus,34296,733
bus,3540,480
bus,3217,480
bus,3218,480
bus,3219,480
bus,43210,861
bus,3169,733
bus,3112,733
bus,3126,234
bus,17510,224
bus,3633,234
bus,3634,234
bus,3635,234
bus,3051,382
bus,17448,382
bus,3179,302
bus,3178,382
bus,3209,382
bus,3210,382
bus,3211,382
bus,17330,372
bus,17331,372
bus,17332,372
bus,3212,382
bus,3900,937
bus,48900,1462
bus,48917,1462
bus,48915,1462
bus,48903,1472
bus,2395,1388
bus,2402,3323
bus,2356,1917
bus,3869,1861
bus,2357,1873
bus,3803,2068
bus,3931,2612
bus,3007,1128
bus,3070,1047
bus,3600,1120
bus,35632,1521
bus,3599,1490
bus,3068,1101
bus,3069,1028
bus,1249,2355
bus,3854,1831
bus,2175,1878
bus,3852,1894
bus,3181,1973
bus,48898,1730
bus,48906,1730
bus,48894,1730
bus,3926,903
bus,3904,903
bus,3901,451
bus,3636,239
bus,3637,239
bus,3638,239
bus,3118,239
bus,17336,239
bus,2890,216
bus,2891,334
bus,2892,876
bus,2893,876
bus,2700,930
bus,17463,387
bus,17464,387
bus,1839,387
bus,2094,906
bus,2617,902
bus,3782,793
bus,2084,2073
bus,2079,1503
bus,2620,1503
bus,3077,1542
bus,1877,2103
bus,3962,2620
bus,1863,2138
bus,2558,2013
bus,1872,2013
bus,1873,2013
bus,1899,2019
bus,1900,2019
bus,1915,2245
bus,3862,1529
bus,1948,2364
bus,1949,2168
bus,1950,2168
bus,1960,1558
bus,3163,1558
bus,1961,1558
bus,1962,1558
bus,1963,1558
bus,2560,1558
bus,2561,1558
bus,2017,1327
bus,2018,1327
bus,3732,3303
bus,3733,2640
bus,2443,2569
bus,2047,2573
bus,2028,1881
bus,3327,997
bus,1995,720
bus,2961,359
bus,2960,510
bus,3815,3136
bus,2040,1323
bus,2042,1321
bus,2043,1321
bus,2438,1321
bus,2439,1321
