stop_id,stop_name,region,bt_traveltime,bt_hop_control,rank_traveltime,rank_hop_control,rank_shift_vs_control,rank_shift_vs_nb04,abs_shift
4216,צומת מצפה,North,0.02225776133513957,0.0,140,27285,27145,27407,27145
19343,צומת ח'לית שריף/טמרה,North,0.017238512268742467,0.0,227,27285,27058,27320,27058
51777,צומת סאג'ור מערב,North,0.01702567703917873,0.0,232,27285,27053,27315,27053
28556,נחל סועה,South,0.01478386324168186,0.0,285,27285,27000,27262,27000
28219,כסייפה אבו רביעה,South,0.01453392940605049,0.0,293,27285,26992,27254,26992
35111,מסעף מחנה עמוס,North,0.02535039369802302,5.0341044508434996e-08,112,27082,26970,24408,26970
4304,מסעף טבח'ה,North,0.012435644891506765,0.0,359,27285,26926,27188,26926
4299,חוף אמנון,North,0.012374608766193743,0.0,364,27285,26921,27183,26921
26729,מחנה אריאל שרון / כביש 224,South,0.012137582126847433,0.0,373,27285,26912,27174,26912
11970,שדרות דוד טוביהו/מוטה גור,South,0.011819108085817131,0.0,395,27285,26890,27152,26890
15096,צומת ברורים,Center,0.011647141497469257,0.0,406,27285,26879,27141,26879
35604,בסיס נ.מ. אילת,South,0.011446258410835878,0.0,422,27285,26863,27125,26863
18844,מסעף כפר גדעון,North,0.02457727928986484,1.286518750951976e-07,119,26710,26591,25998,26591
12121,מסעף ערוגות,Center,0.01362969156779276,1.4825121822386916e-07,319,26639,26320,26854,26320
47911,ת. מרכזית ק''ש/רציפים,North,0.0,0.023784578192988067,26330,37,-26293,-26307,26293
29373,קריית החינוך/דרך נמיר,Center,0.02002443803628928,1.8651239953214492e-07,174,26439,26265,26100,26265
42405,תחנת התרעננות/צומת מגידו,North,0.0,0.017310870460186423,26330,72,-26258,-26242,26258
49800,מסוף מודיעין עילית/הורדה,Center,0.0,0.00924876919571632,26330,225,-26105,-26140,26105
10445,בייט/תוסיה כהן,Jerusalem,0.018371072401826054,2.4526761109211906e-07,196,26278,26082,25450,26082
51588,אורחות צדיקים/חובת הלבבות,Center,0.0,0.007756049940363939,26330,296,-26034,-24250,26034
42400,מסוף חצור הגלילית/הורדה,North,0.0,0.007047296200344783,26330,334,-25996,-26164,25996
27040,בסיס אורים,South,0.0,0.006210084632540473,26330,405,-25925,-25083,25925
47918,ת.מרכזית באר שבע/רציפים בינעירוני,South,0.0,0.005828914543108047,26330,446,-25884,-25451,25884
48874,סחלב/גרנית,South,0.0,0.005680809980955447,26330,471,-25859,-23612,25859
20325,מחלף עילבון/לצפון,North,0.01394506010504204,2.8946671896419467e-07,304,26162,25858,26837,25858
