from_stop,to_stop,median_travel_seconds,p25_travel_seconds,p75_travel_seconds,trip_frequency,n_observations
38725,15582,143.0,143.0,143.0,112,112
15582,15583,57.0,57.0,60.0,216,216
15583,16086,71.0,60.0,71.0,152,152
16086,16085,48.0,38.0,54.0,186,186
16085,16084,50.0,26.0,50.0,152,152
16084,15769,63.0,60.0,64.0,166,166
15769,15739,34.0,25.0,34.0,214,214
15739,15542,57.0,57.0,60.0,451,451
15542,15543,43.0,35.0,57.0,559,559
15543,16155,45.0,37.0,54.0,331,331
16155,15740,30.0,20.0,38.0,337,337
15740,16019,47.0,47.0,53.0,311,311
16019,16148,79.0,64.0,82.0,446,446
16148,16020,41.0,35.0,45.0,630,630
16020,15741,53.0,28.0,56.0,368,368
15741,15742,26.0,19.0,51.0,433,433
15742,15744,94.0,68.0,98.0,146,146
15744,15745,116.0,94.0,116.0,210,210
37310,37314,1440.0,1440.0,1440.0,8,8
37324,37290,720.0,720.0,720.0,75,75
37290,38643,540.0,480.0,540.0,75,75
38643,39260,540.0,540.0,540.0,75,75
39260,37314,900.0,900.0,960.0,74,74
37314,37312,540.0,540.0,540.0,109,109
37324,37326,600.0,480.0,600.0,122,122
37326,37328,600.0,600.0,720.0,37,37
37328,37332,360.0,360.0,480.0,37,37
37332,37330,360.0,270.0,360.0,50,50
37330,37338,360.0,360.0,420.0,50,50
37338,37340,420.0,420.0,420.0,41,41
37340,37292,480.0,480.0,480.0,50,50
37292,37350,300.0,300.0,300.0,374,374
37350,37358,240.0,180.0,300.0,374,374
37358,37360,300.0,300.0,300.0,334,334
37360,37362,480.0,480.0,480.0,160,160
37362,37364,540.0,480.0,540.0,81,81
37364,40640,240.0,240.0,240.0,48,48
40640,37366,300.0,300.0,300.0,48,48
37366,37368,540.0,540.0,600.0,68,68
37368,37370,480.0,420.0,480.0,51,51
37370,37372,300.0,300.0,300.0,51,51
37372,37370,240.0,240.0,240.0,51,51
37370,37368,360.0,360.0,360.0,51,51
37368,37366,600.0,600.0,600.0,67,67
37366,40640,300.0,300.0,300.0,48,48
40640,37364,180.0,180.0,180.0,48,48
37364,37362,480.0,480.0,540.0,82,82
37362,37360,360.0,360.0,420.0,162,162
37360,37358,300.0,300.0,300.0,338,338
37358,37350,240.0,240.0,300.0,377,377
37350,37292,300.0,240.0,300.0,377,377
37292,37340,540.0,540.0,540.0,51,51
37340,37338,420.0,420.0,420.0,44,44
37338,37330,420.0,420.0,420.0,52,52
37330,37332,300.0,300.0,360.0,52,52
37292,37306,660.0,660.0,660.0,136,136
