source,target,hop_path_hops,time_path_hops,hop_path_seconds,time_path_seconds,same_path,extra_seconds_if_hop_routed,extra_hops_if_time_routed,time_penalty_ratio
41149,299,14,31,9180.0,4075.0,False,5105.0,17,2.252760736196319
10925,36990,16,26,6698.0,3555.0,False,3143.0,10,1.8841068917018284
15321,21025,14,31,8661.0,4978.0,False,3683.0,17,1.7398553635998393
6349,18796,24,37,4076.0,3433.0,False,643.0,13,1.1872997378386252
44247,22454,14,23,9074.0,6290.0,False,2784.0,9,1.4426073131955486
16173,29377,11,17,2478.0,1470.0,False,1008.0,6,1.6857142857142857
6936,6326,8,16,9269.0,1555.0,False,7714.0,8,5.960771704180065
34166,39480,8,19,5610.0,4720.0,False,890.0,11,1.1885593220338984
7347,29280,12,28,9983.0,5548.0,False,4435.0,16,1.7993871665465033
5663,16242,13,23,7809.0,7012.0,False,797.0,10,1.1136622932116371
43889,6441,24,51,14962.0,4557.0,False,10405.0,27,3.28330041694097
14960,18570,16,29,7524.0,4343.0,False,3181.0,13,1.7324430117430347
39874,41135,18,26,13872.0,8782.0,False,5090.0,8,1.5795946253700752
43760,29215,17,22,8405.0,5226.0,False,3179.0,5,1.6083046306926905
39579,13772,10,20,3668.0,3162.0,False,506.0,10,1.1600253004427576
28156,1457,14,24,9825.0,7173.0,False,2652.0,10,1.369719782517775
40483,18312,16,40,11535.0,9094.0,False,2441.0,24,1.268418737629206
44940,48025,27,39,14042.0,9288.0,False,4754.0,12,1.5118432385874245
23426,27388,14,23,9017.0,4170.0,False,4847.0,9,2.162350119904077
28839,24398,10,30,6634.0,4524.0,False,2110.0,20,1.4664014146772768
51092,41224,11,14,1619.0,1591.0,False,28.0,3,1.0175989943431805
23376,16158,9,14,4286.0,2012.0,False,2274.0,5,2.1302186878727634
19673,16298,15,29,12494.0,5469.0,False,7025.0,14,2.284512707990492
50602,10457,15,32,8266.0,6821.0,False,1445.0,17,1.2118457704148953
14381,13435,13,22,4775.0,1783.0,False,2992.0,9,2.67807066741447
42683,21047,14,39,6152.5,4562.5,False,1590.0,25,1.3484931506849316
20458,16520,12,31,7857.0,5238.0,False,2619.0,19,1.5
10887,9889,13,18,4686.0,2547.0,False,2139.0,5,1.839811542991755
13113,21518,9,14,4275.0,1550.0,False,2725.0,5,2.7580645161290325
4217,27748,6,9,11210.0,8237.5,False,2972.5,3,1.3608497723823976
18580,2387,13,42,11226.0,4534.0,False,6692.0,29,2.4759594177326862
2090,9647,8,21,12925.0,6344.0,False,6581.0,13,2.037358133669609
50830,51271,8,18,1959.0,1089.0,False,870.0,10,1.7988980716253444
44145,36814,12,33,7280.0,4717.0,False,2563.0,21,1.5433538265846936
5938,890,18,59,9477.0,6296.0,False,3181.0,41,1.5052414231257942
11379,2695,25,50,11710.0,8030.0,False,3680.0,25,1.4582814445828145
4255,35787,21,28,18658.0,2961.5,False,15696.5,7,6.300185716697619
38615,41588,20,38,8731.5,3502.5,False,5229.0,18,2.4929336188436833
44457,3456,12,16,8240.0,4804.0,False,3436.0,4,1.7152373022481266
22266,13308,9,13,2367.0,2059.0,False,308.0,4,1.149587178241865
4086,42670,7,26,6054.0,4624.0,False,1430.0,19,1.309256055363322
6281,1933,20,26,5767.5,4452.5,False,1315.0,6,1.2953396967995507
9733,2603,14,20,7839.0,6863.0,False,976.0,6,1.1422118607023168
8219,26930,14,31,12854.0,8339.0,False,4515.0,17,1.5414318263580764
27351,6481,17,42,12026.0,8562.0,False,3464.0,25,1.404578369539827
48005,24942,15,19,3924.0,3274.0,False,650.0,4,1.1985339034819793
44379,15744,10,15,6829.0,4104.5,False,2724.5,5,1.6637836520891705
10221,7503,15,15,2433.5,2393.0,False,40.5,0,1.0169243627246134
40605,13895,19,25,6933.0,5999.0,False,934.0,6,1.155692615435906
10627,9392,7,11,3274.0,1217.0,False,2057.0,4,2.6902218570254726
4779,20114,23,47,10723.0,3694.0,False,7029.0,24,2.902815376285869
18301,8741,15,39,9948.0,9112.0,False,836.0,24,1.091747146619842
11153,41204,12,38,7669.0,5506.0,False,2163.0,26,1.3928441699963676
49991,43164,15,44,7230.0,5439.0,False,1791.0,29,1.329288472145615
14415,12406,15,33,11764.0,5526.0,False,6238.0,18,2.128845457835686
18736,25135,11,25,12899.0,7488.0,False,5411.0,14,1.7226228632478633
17723,21603,27,55,14752.0,6948.0,False,7804.0,28,2.123200921128382
14228,2281,12,17,5927.0,4873.0,False,1054.0,5,1.2162938641493946
41586,2481,20,48,9558.5,3610.5,False,5948.0,28,2.6474172552278077
36027,44666,18,41,6762.0,4558.0,False,2204.0,23,1.4835454146555507
47184,3045,5,10,3789.5,3735.5,False,54.0,5,1.0144558961317092
41452,27523,7,9,4629.0,2694.0,False,1935.0,2,1.71826280623608
40291,51764,17,35,16036.5,8653.5,False,7383.0,18,1.8531807938984226
18847,23346,11,27,8792.0,4425.0,False,4367.0,16,1.9868926553672317
43695,9017,14,26,7940.0,4098.0,False,3842.0,12,1.9375305026842362
4556,4635,9,17,12291.0,959.0,False,11332.0,8,12.816475495307612
3887,33940,9,28,5714.0,4971.0,False,743.0,19,1.1494669080667874
44073,4991,21,34,11499.0,8536.0,False,2963.0,13,1.3471180880974696
24503,6765,11,33,10337.0,5439.0,False,4898.0,22,1.900533186247472
4541,24477,17,32,9746.0,6001.0,False,3745.0,15,1.6240626562239626
3932,38551,10,12,8304.0,5570.0,False,2734.0,2,1.4908438061041294
44200,9546,8,32,11014.0,5075.0,False,5939.0,24,2.1702463054187193
15741,12406,12,25,7632.0,3605.0,False,4027.0,13,2.1170596393897365
580,559,7,10,829.0,794.0,False,35.0,3,1.044080604534005
26037,35295,11,28,9467.0,8556.0,False,911.0,17,1.1064749883122955
