from_stop,to_stop,trip_frequency
13358,12910,1180
44590,10514,1023
49737,8636,1019
47982,37251,1006
13341,13037,987
9433,10237,922
3521,3367,913
8756,8757,910
8703,8706,899
47411,10742,880
8793,8794,872
8757,49466,864
13227,13032,857
44465,44466,852
8708,8710,850
8961,8962,843
45039,13679,843
9959,8793,835
8706,8708,830
29432,13174,803
3367,3522,790
13249,13250,787
13985,13036,779
16206,16203,775
13979,13285,774
13174,13043,773
11292,47411,770
13481,13089,769
9352,8707,768
8705,8704,767
8707,8705,767
22099,16212,764
37251,10644,753
14077,14347,743
16203,15639,740
29342,13341,736
13103,13206,727
12910,13136,723
13290,13985,714
10790,10791,712
13285,13249,707
10742,9445,703
9524,10659,701
16212,16195,700
9699,9659,699
10004,9699,699
9659,11899,699
51284,13103,698
14347,13227,694
10791,10792,694
10659,11446,693
13250,13286,693
13575,13572,684
9644,9645,681
8671,8672,676
10109,8671,676
10237,10628,673
29483,48363,672
10628,10492,671
9884,10136,671
13032,13120,663
37785,49737,661
13247,13207,661
16205,16202,650
10716,47982,650
11574,10789,650
15639,16205,650
359,332,648
10514,10775,644
9645,9487,644
29336,13358,643
13181,13067,639
10733,9434,637
13565,13664,634
13582,13575,634
8794,9352,634
9445,44960,631
11785,10716,627
8710,8756,625
44963,44960,622
16195,16196,619
8614,10715,616
10715,11785,614
9485,9623,611
10792,10356,610
8654,8652,609
8652,9450,609
9450,8648,609
8648,8646,608
13207,13290,607
8658,8656,603
8836,8658,603
8662,8836,603
8656,8654,603
13136,29479,602
10165,10263,601
13207,13979,601
10757,8617,600
49236,49226,600
10263,9884,597
29623,24021,596
8835,8662,595
8664,8835,595
10712,8647,593
8647,8649,593
7382,7383,591
8651,8653,589
8649,8651,589
8653,8655,588
8655,8657,588
8659,8661,586
8657,8659,586
9435,9054,585
8673,8674,585
16209,16206,584
8674,8675,584
264,257,581
13243,13244,581
14054,12898,579
9652,9644,577
24217,16209,575
13043,13120,574
333,358,571
16196,24779,569
8721,8722,569
13274,12963,569
13652,13033,568
8722,8723,567
8723,8724,567
13029,13028,565
8724,8725,563
8720,8721,563
17319,17306,563
7353,7354,562
3731,17319,562
10644,8960,561
17306,35821,561
8661,11864,561
8718,8719,559
8719,8720,559
9445,44963,558
4598,4566,556
8725,40027,555
24779,14077,553
261,265,553
7377,7378,552
7378,7379,552
1144,1170,552
24017,24020,551
23908,23923,549
9623,9700,547
10947,9025,543
45040,45039,543
7396,7397,542
37528,13198,541
9027,9028,539
9025,9026,539
