from_stop,to_stop,trip_frequency
13358,12910,2552
51284,13103,2015
29483,48363,2004
13103,13206,1918
8756,8757,1882
13227,13032,1877
14077,14347,1803
8793,8794,1785
3521,3367,1782
45039,13679,1777
9959,8793,1769
8757,49466,1750
49737,8636,1712
44465,44466,1686
12910,13136,1662
22099,16212,1648
14347,13227,1630
44590,10514,1625
13481,13089,1599
8703,8706,1585
49236,49226,1581
47982,37251,1580
13985,13036,1572
13181,13067,1570
13575,13572,1567
3367,3522,1559
9433,10237,1540
2090,2092,1494
16206,16203,1491
16212,16195,1484
13290,13985,1482
13032,13120,1475
13322,29483,1462
8961,8962,1461
3939,2091,1452
8706,8708,1449
8708,8710,1446
359,332,1431
16203,15639,1427
13582,13575,1425
29479,29480,1399
13341,13037,1395
13207,13290,1379
13243,13244,1364
50385,51284,1362
3731,17319,1361
17319,17306,1360
17306,35821,1359
47411,10742,1350
13136,29479,1346
9659,11899,1338
10004,9699,1338
9699,9659,1338
8794,9352,1335
13565,13664,1332
13101,38940,1323
24017,24020,1322
8705,8704,1316
9352,8707,1316
8707,8705,1316
50332,50385,1308
9524,10659,1307
48363,13320,1306
10659,11446,1302
3368,2803,1292
29432,13174,1286
13174,13043,1282
13029,13028,1275
16195,16196,1274
29336,13358,1273
1144,1170,1270
23908,23923,1264
29623,24021,1252
1169,17271,1244
37528,13198,1243
9644,9645,1238
8710,8756,1237
13652,13033,1237
15639,16205,1231
16205,16202,1229
24779,14077,1226
25135,25132,1226
333,358,1225
264,257,1223
36097,2409,1220
14054,12898,1216
261,265,1200
37251,10644,1195
13979,13285,1192
16196,24779,1190
35822,35823,1182
3812,3894,1177
9645,9487,1177
13375,13382,1173
47423,47398,1166
11574,10789,1164
45040,45039,1159
11292,47411,1158
9884,10136,1158
25405,15816,1156
16207,22099,1156
9485,9623,1156
10733,9434,1148
13632,13322,1146
13679,13129,1142
17318,35822,1142
13694,45040,1140
43294,48644,1140
13285,13249,1139
13249,13250,1135
10628,10492,1134
10237,10628,1134
37785,49737,1133
48640,49236,1123
10514,10775,1120
16209,16206,1113
24020,13371,1111
23998,23994,1109
10716,47982,1109
35821,17317,1106
3977,17318,1105
45038,45041,1102
49938,13582,1097
43288,43285,1096
13154,13181,1096
24217,16209,1095
8671,8672,1094
10109,8671,1094
3938,3884,1074
10742,9445,1074
13036,14054,1074
7353,7354,1072
1283,3935,1069
49372,14206,1069
17271,1124,1066
48644,13372,1064
2083,3940,1061
13274,12963,1060
7382,7383,1057
13204,38947,1056
1285,3938,1053
3940,2088,1053
7377,7378,1052
7378,7379,1052
3732,3733,1049
13494,14342,1048
3935,1285,1047
12890,37528,1043
43285,43275,1042
17277,35825,1038
48438,49210,1029
10757,8617,1027
9652,9644,1027
16202,16198,1024
13178,13601,1024
44699,44431,1023
10790,10791,1021
13554,47438,1020
13332,50332,1019
47438,44465,1016
3894,36097,1013
2437,2025,1010
13240,13247,1005
7372,7373,1004
7373,7374,1003
7374,7375,1003
13484,13481,1002
13206,48640,1002
9623,9700,1001
2443,2047,1001
13033,13561,1000
10165,10263,1000
43271,13496,995
37207,3815,995
36098,37207,994
29339,29340,989
10263,9884,988
43852,43853,987
43853,43849,987
43851,43848,986
43850,43851,984
3733,2443,983
43847,43850,982
8718,8719,981
8720,8721,981
8719,8720,981
13345,14043,980
8725,40027,978
8724,8725,978
41237,12900,978
8723,8724,977
8722,8723,977
8721,8722,977
2025,2027,976
8664,8835,976
3611,17277,975
44963,44960,975
9450,8648,974
8652,9450,974
8658,8656,974
8836,8658,974
8835,8662,974
8662,8836,974
12898,24217,973
9504,9505,973
29342,13341,973
9503,9504,973
13583,13565,972
9445,44960,971
42863,13523,969
11785,10716,967
8673,8674,966
8656,8654,966
8654,8652,966
8674,8675,965
3512,3858,964
10791,10792,963
13111,13228,963
14043,14356,962
1188,1169,962
