hour,window,stop_departures_all,stop_departures_weekday,stop_departures_friday,stop_departures_saturday,trips_starting_all,trips_starting_weekday,trips_starting_friday,trips_starting_saturday
0,night,291564,233902,58162,65643,5443,5157,2051,21
1,night,102256,92867,34585,6286,1578,1371,642,19
2,night,41917,38631,16792,1716,531,489,254,19
3,night,21426,20360,9945,1181,353,331,170,15
4,night,17454,15974,6065,733,555,491,119,7
5,night,246729,208976,84111,3145,9819,8214,3391,111
6,morning_peak,709004,574718,274239,11114,22276,17910,8659,356
7,morning_peak,1009421,800967,393040,16757,28517,22660,11204,532
8,morning_peak,971836,759779,388134,17099,25778,20165,10372,483
9,midday,925041,715371,377442,17422,24384,18782,10178,478
10,midday,903179,692935,380539,17369,24001,18249,10384,499
11,midday,926315,692838,399409,18846,24963,18241,11098,542
12,midday,959853,712168,411999,19053,25944,19270,11178,538
13,midday,983910,746023,387661,19151,26484,20108,10411,559
14,midday,987037,755989,372585,19695,26699,20505,10025,587
15,afternoon_peak,968943,758656,327163,20349,25725,20405,8193,583
16,afternoon_peak,887231,745973,213336,24057,22616,19880,4227,659
17,afternoon_peak,771750,726877,48571,27024,19990,19316,494,799
18,afternoon_peak,729411,704748,10270,35126,19338,18631,224,1107
19,evening,692208,661406,8592,42817,17988,17190,211,1242
20,evening,669372,600736,7496,92693,18262,15448,176,3850
21,evening,717481,543900,6539,240317,19462,13958,147,7550
22,evening,651064,467794,3817,251836,16586,11666,74,6820
23,night,527222,361522,2425,222015,12841,8636,42,5759
