window_a,window_b,edges_a,edges_b,shared_edges,jaccard,share_of_a_covered_by_b
morning_peak,morning_peak,46766,46766,46766,1.0,1.0
morning_peak,midday,46766,48015,44554,0.8871,0.9527
morning_peak,afternoon_peak,46766,46995,44065,0.8867,0.9422
morning_peak,evening,46766,44774,42502,0.8667,0.9088
morning_peak,night,46766,38069,36241,0.7458,0.7749
midday,morning_peak,48015,46766,44554,0.8871,0.9279
midday,midday,48015,48015,48015,1.0,1.0
midday,afternoon_peak,48015,46995,46108,0.9429,0.9603
midday,evening,48015,44774,43956,0.9001,0.9155
midday,night,48015,38069,36891,0.7499,0.7683
afternoon_peak,morning_peak,46995,46766,44065,0.8867,0.9377
afternoon_peak,midday,46995,48015,46108,0.9429,0.9811
afternoon_peak,afternoon_peak,46995,46995,46995,1.0,1.0
afternoon_peak,evening,46995,44774,43984,0.9205,0.9359
afternoon_peak,night,46995,38069,36855,0.7645,0.7842
evening,morning_peak,44774,46766,42502,0.8667,0.9493
evening,midday,44774,48015,43956,0.9001,0.9817
evening,afternoon_peak,44774,46995,43984,0.9205,0.9824
evening,evening,44774,44774,44774,1.0,1.0
evening,night,44774,38069,36930,0.8043,0.8248
night,morning_peak,38069,46766,36241,0.7458,0.952
night,midday,38069,48015,36891,0.7499,0.9691
night,afternoon_peak,38069,46995,36855,0.7645,0.9681
night,evening,38069,44774,36930,0.8043,0.9701
night,night,38069,38069,38069,1.0,1.0
