window,day_type,start_hour,end_hour,trips,nodes,directed_edges,avg_degree,components,largest_component_share
morning_peak,weekday,6,9,66808,30010,46581,3.093,10,0.9927
midday,weekday,9,15,127436,30143,47240,3.122,13,0.9925
afternoon_peak,weekday,15,19,90944,30029,46554,3.089,12,0.9925
evening,weekday,19,23,69766,29245,43653,2.975,8,0.9927
night,weekday,23,6,31507,24824,35620,2.86,23,0.9843
morning_peak,friday,6,9,32705,29165,43121,2.947,10,0.9925
midday,friday,9,15,69377,29609,45366,3.053,12,0.9924
afternoon_peak,friday,15,19,19466,26132,36504,2.787,19,0.9893
evening,friday,19,23,738,2119,2372,2.238,11,0.6239
night,friday,23,6,6704,18922,24425,2.576,29,0.9602
morning_peak,saturday,6,9,1457,3280,3837,2.337,7,0.6357
midday,saturday,9,15,3423,4331,5035,2.323,9,0.6216
afternoon_peak,saturday,15,19,3416,7942,9153,2.303,14,0.8918
evening,saturday,19,23,20368,25435,36091,2.831,9,0.9923
night,saturday,23,6,10668,21316,29415,2.753,25,0.9851
