window,strategy,removed,largest_component_share_surviving
morning_peak,degree,0,0.99268
morning_peak,degree,15,0.99105
morning_peak,degree,30,0.99055
morning_peak,degree,75,0.9887
morning_peak,degree,150,0.98763
morning_peak,degree,301,0.97847
morning_peak,degree,451,0.9601
morning_peak,degree,601,0.95752
morning_peak,degree,752,0.94011
morning_peak,degree,902,0.9362
morning_peak,degree,1053,0.93322
morning_peak,degree,1203,0.90207
morning_peak,degree,1353,0.88158
morning_peak,degree,1504,0.85253
morning_peak,degree,1654,0.83788
morning_peak,degree,1804,0.83023
morning_peak,degree,1955,0.81467
morning_peak,degree,2105,0.48296
morning_peak,degree,2255,0.37146
morning_peak,degree,2406,0.32365
morning_peak,degree,2556,0.32425
morning_peak,degree,2706,0.32478
morning_peak,degree,2857,0.32137
morning_peak,degree,3007,0.26858
morning_peak,weighted degree,0,0.99268
morning_peak,weighted degree,15,0.99211
morning_peak,weighted degree,30,0.99178
morning_peak,weighted degree,75,0.99037
morning_peak,weighted degree,150,0.98847
morning_peak,weighted degree,301,0.9869
morning_peak,weighted degree,451,0.98471
morning_peak,weighted degree,601,0.98426
morning_peak,weighted degree,752,0.98244
morning_peak,weighted degree,902,0.97929
morning_peak,weighted degree,1053,0.9714
morning_peak,weighted degree,1203,0.96159
morning_peak,weighted degree,1353,0.95842
morning_peak,weighted degree,1504,0.95684
morning_peak,weighted degree,1654,0.95436
morning_peak,weighted degree,1804,0.9527
morning_peak,weighted degree,1955,0.9495
morning_peak,weighted degree,2105,0.94368
morning_peak,weighted degree,2255,0.93083
morning_peak,weighted degree,2406,0.91961
morning_peak,weighted degree,2556,0.90827
morning_peak,weighted degree,2706,0.90178
morning_peak,weighted degree,2857,0.89899
morning_peak,weighted degree,3007,0.89788
morning_peak,betweenness,0,0.99268
morning_peak,betweenness,15,0.99198
morning_peak,betweenness,30,0.99198
morning_peak,betweenness,75,0.99143
morning_peak,betweenness,150,0.99078
morning_peak,betweenness,301,0.98771
morning_peak,betweenness,451,0.98383
morning_peak,betweenness,601,0.97791
morning_peak,betweenness,752,0.97224
morning_peak,betweenness,902,0.97035
morning_peak,betweenness,1053,0.96936
morning_peak,betweenness,1203,0.96325
morning_peak,betweenness,1353,0.94881
morning_peak,betweenness,1504,0.92572
morning_peak,betweenness,1654,0.92315
morning_peak,betweenness,1804,0.92072
