window,strategy,removed,removed_fraction,window_nodes,surviving_nodes,lcc_size,largest_component_share_surviving,lcc_share_original
morning_peak,degree,0,0.0,30072,30072,29852.0,0.99268,0.99268
morning_peak,degree,15,0.0005,30072,30057,29788.0,0.99105,0.99056
morning_peak,degree,30,0.001,30072,30042,29758.0,0.99055,0.98956
morning_peak,degree,75,0.00249,30072,29997,29658.0,0.9887,0.98623
morning_peak,degree,150,0.00499,30072,29922,29552.0,0.98763,0.98271
morning_peak,degree,301,0.01001,30072,29771,29130.0,0.97847,0.96868
morning_peak,degree,451,0.015,30072,29621,28439.0,0.9601,0.9457
morning_peak,degree,601,0.01999,30072,29471,28219.0,0.95752,0.93838
morning_peak,degree,752,0.02501,30072,29320,27564.0,0.94011,0.9166
morning_peak,degree,902,0.02999,30072,29170,27309.0,0.9362,0.90812
morning_peak,degree,1053,0.03502,30072,29019,27081.0,0.93322,0.90054
morning_peak,degree,1203,0.04,30072,28869,26042.0,0.90207,0.86599
morning_peak,degree,1353,0.04499,30072,28719,25318.0,0.88158,0.84191
morning_peak,degree,1504,0.05001,30072,28568,24355.0,0.85253,0.80989
morning_peak,degree,1654,0.055,30072,28418,23811.0,0.83788,0.7918
morning_peak,degree,1804,0.05999,30072,28268,23469.0,0.83023,0.78043
morning_peak,degree,1955,0.06501,30072,28117,22906.0,0.81467,0.76171
morning_peak,degree,2105,0.07,30072,27967,13507.0,0.48296,0.44916
morning_peak,degree,2255,0.07499,30072,27817,10333.0,0.37146,0.34361
morning_peak,degree,2406,0.08001,30072,27666,8954.0,0.32365,0.29775
morning_peak,degree,2556,0.085,30072,27516,8922.0,0.32425,0.29669
morning_peak,degree,2706,0.08998,30072,27366,8888.0,0.32478,0.29556
morning_peak,degree,2857,0.09501,30072,27215,8746.0,0.32137,0.29084
morning_peak,degree,3007,0.09999,30072,27065,7269.0,0.26858,0.24172
morning_peak,weighted degree,0,0.0,30072,30072,29852.0,0.99268,0.99268
morning_peak,weighted degree,15,0.0005,30072,30057,29820.0,0.99211,0.99162
morning_peak,weighted degree,30,0.001,30072,30042,29795.0,0.99178,0.99079
morning_peak,weighted degree,75,0.00249,30072,29997,29708.0,0.99037,0.9879
morning_peak,weighted degree,150,0.00499,30072,29922,29577.0,0.98847,0.98354
morning_peak,weighted degree,301,0.01001,30072,29771,29381.0,0.9869,0.97702
morning_peak,weighted degree,451,0.015,30072,29621,29168.0,0.98471,0.96994
morning_peak,weighted degree,601,0.01999,30072,29471,29007.0,0.98426,0.96458
morning_peak,weighted degree,752,0.02501,30072,29320,28805.0,0.98244,0.95787
morning_peak,weighted degree,902,0.02999,30072,29170,28566.0,0.97929,0.94992
morning_peak,weighted degree,1053,0.03502,30072,29019,28189.0,0.9714,0.93738
morning_peak,weighted degree,1203,0.04,30072,28869,27760.0,0.96159,0.92312
morning_peak,weighted degree,1353,0.04499,30072,28719,27525.0,0.95842,0.9153
morning_peak,weighted degree,1504,0.05001,30072,28568,27335.0,0.95684,0.90899
morning_peak,weighted degree,1654,0.055,30072,28418,27121.0,0.95436,0.90187
morning_peak,weighted degree,1804,0.05999,30072,28268,26931.0,0.9527,0.89555
morning_peak,weighted degree,1955,0.06501,30072,28117,26697.0,0.9495,0.88777
morning_peak,weighted degree,2105,0.07,30072,27967,26392.0,0.94368,0.87763
morning_peak,weighted degree,2255,0.07499,30072,27817,25893.0,0.93083,0.86103
morning_peak,weighted degree,2406,0.08001,30072,27666,25442.0,0.91961,0.84604
morning_peak,weighted degree,2556,0.085,30072,27516,24992.0,0.90827,0.83107
morning_peak,weighted degree,2706,0.08998,30072,27366,24678.0,0.90178,0.82063
morning_peak,weighted degree,2857,0.09501,30072,27215,24466.0,0.89899,0.81358
morning_peak,weighted degree,3007,0.09999,30072,27065,24301.0,0.89788,0.80809
morning_peak,betweenness,0,0.0,30072,30072,29852.0,0.99268,0.99268
morning_peak,betweenness,15,0.0005,30072,30057,29816.0,0.99198,0.99149
morning_peak,betweenness,30,0.001,30072,30042,29801.0,0.99198,0.99099
morning_peak,betweenness,75,0.00249,30072,29997,29740.0,0.99143,0.98896
morning_peak,betweenness,150,0.00499,30072,29922,29646.0,0.99078,0.98583
morning_peak,betweenness,301,0.01001,30072,29771,29405.0,0.98771,0.97782
morning_peak,betweenness,451,0.015,30072,29621,29142.0,0.98383,0.96907
morning_peak,betweenness,601,0.01999,30072,29471,28820.0,0.97791,0.95837
morning_peak,betweenness,752,0.02501,30072,29320,28506.0,0.97224,0.94792
morning_peak,betweenness,902,0.02999,30072,29170,28305.0,0.97035,0.94124
morning_peak,betweenness,1053,0.03502,30072,29019,28130.0,0.96936,0.93542
morning_peak,betweenness,1203,0.04,30072,28869,27808.0,0.96325,0.92471
morning_peak,betweenness,1353,0.04499,30072,28719,27249.0,0.94881,0.90613
morning_peak,betweenness,1504,0.05001,30072,28568,26446.0,0.92572,0.87942
morning_peak,betweenness,1654,0.055,30072,28418,26234.0,0.92315,0.87237
morning_peak,betweenness,1804,0.05999,30072,28268,26027.0,0.92072,0.86549
morning_peak,betweenness,1955,0.06501,30072,28117,25149.0,0.89444,0.83629
morning_peak,betweenness,2105,0.07,30072,27967,24806.0,0.88697,0.82489
morning_peak,betweenness,2255,0.07499,30072,27817,13319.0,0.47881,0.4429
morning_peak,betweenness,2406,0.08001,30072,27666,11060.0,0.39977,0.36778
morning_peak,betweenness,2556,0.085,30072,27516,10800.0,0.3925,0.35914
morning_peak,betweenness,2706,0.08998,30072,27366,10607.0,0.3876,0.35272
morning_peak,betweenness,2857,0.09501,30072,27215,10270.0,0.37737,0.34151
morning_peak,betweenness,3007,0.09999,30072,27065,10195.0,0.37669,0.33902
morning_peak,articulation points,0,0.0,30072,30072,29852.0,0.99268,0.99268
morning_peak,articulation points,15,0.0005,30072,30057,29776.0,0.99065,0.99016
morning_peak,articulation points,30,0.001,30072,30042,29710.0,0.98895,0.98796
morning_peak,articulation points,75,0.00249,30072,29997,29556.0,0.9853,0.98284
morning_peak,articulation points,150,0.00499,30072,29922,29330.0,0.98022,0.97533
morning_peak,articulation points,301,0.01001,30072,29771,28571.0,0.95969,0.95009
morning_peak,articulation points,451,0.015,30072,29621,28017.0,0.94585,0.93166
morning_peak,articulation points,601,0.01999,30072,29471,27754.0,0.94174,0.92292
morning_peak,articulation points,752,0.02501,30072,29320,27754.0,0.94659,0.92292
morning_peak,articulation points,902,0.02999,30072,29170,27754.0,0.95146,0.92292
morning_peak,articulation points,1053,0.03502,30072,29019,27754.0,0.95641,0.92292
morning_peak,articulation points,1203,0.04,30072,28869,27638.0,0.95736,0.91906
morning_peak,articulation points,1353,0.04499,30072,28719,27294.0,0.95038,0.90762
morning_peak,articulation points,1504,0.05001,30072,28568,26614.0,0.9316,0.88501
morning_peak,articulation points,1654,0.055,30072,28418,26213.0,0.92241,0.87167
morning_peak,articulation points,1804,0.05999,30072,28268,25226.0,0.89239,0.83885
morning_peak,articulation points,1955,0.06501,30072,28117,24969.0,0.88804,0.83031
morning_peak,articulation points,2105,0.07,30072,27967,24744.0,0.88476,0.82283
morning_peak,articulation points,2255,0.07499,30072,27817,23641.0,0.84988,0.78615
morning_peak,articulation points,2406,0.08001,30072,27666,21130.0,0.76375,0.70265
morning_peak,articulation points,2556,0.085,30072,27516,20140.0,0.73194,0.66973
morning_peak,articulation points,2706,0.08998,30072,27366,10430.0,0.38113,0.34683
morning_peak,articulation points,2857,0.09501,30072,27215,10337.0,0.37983,0.34374
morning_peak,articulation points,3007,0.09999,30072,27065,10079.0,0.3724,0.33516
morning_peak,random (baseline),0,0.0,30072,30072,29852.0,0.99268,0.99268
morning_peak,random (baseline),15,0.0005,30072,30057,29834.333333333332,0.99259,0.9921
morning_peak,random (baseline),30,0.001,30072,30042,29818.333333333332,0.99255,0.99156
morning_peak,random (baseline),75,0.00249,30072,29997,29772.0,0.9925,0.99002
morning_peak,random (baseline),150,0.00499,30072,29922,29685.0,0.99208,0.98713
morning_peak,random (baseline),301,0.01001,30072,29771,29523.666666666668,0.99169,0.98177
morning_peak,random (baseline),451,0.015,30072,29621,29330.666666666668,0.9902,0.97535
morning_peak,random (baseline),601,0.01999,30072,29471,29145.333333333332,0.98895,0.96919
morning_peak,random (baseline),752,0.02501,30072,29320,28951.666666666668,0.98744,0.96274
morning_peak,random (baseline),902,0.02999,30072,29170,28752.0,0.98567,0.95611
morning_peak,random (baseline),1053,0.03502,30072,29019,28549.0,0.9838,0.94935
morning_peak,random (baseline),1203,0.04,30072,28869,28328.333333333332,0.98127,0.94202
morning_peak,random (baseline),1353,0.04499,30072,28719,28080.666666666668,0.97777,0.93378
morning_peak,random (baseline),1504,0.05001,30072,28568,27855.333333333332,0.97505,0.92629
morning_peak,random (baseline),1654,0.055,30072,28418,27624.666666666668,0.97208,0.91862
morning_peak,random (baseline),1804,0.05999,30072,28268,27405.666666666668,0.96949,0.91134
morning_peak,random (baseline),1955,0.06501,30072,28117,27156.333333333332,0.96583,0.90304
morning_peak,random (baseline),2105,0.07,30072,27967,26921.333333333332,0.96261,0.89523
morning_peak,random (baseline),2255,0.07499,30072,27817,26644.666666666668,0.95786,0.88603
morning_peak,random (baseline),2406,0.08001,30072,27666,26418.666666666668,0.95491,0.87851
morning_peak,random (baseline),2556,0.085,30072,27516,26182.0,0.95152,0.87064
morning_peak,random (baseline),2706,0.08998,30072,27366,25943.0,0.948,0.8627
morning_peak,random (baseline),2857,0.09501,30072,27215,25702.333333333332,0.94442,0.85469
morning_peak,random (baseline),3007,0.09999,30072,27065,25445.333333333332,0.94016,0.84615
midday,degree,0,0.0,30195,30195,29968.0,0.99248,0.99248
midday,degree,15,0.0005,30195,30180,29918.0,0.99132,0.99083
midday,degree,30,0.00099,30195,30165,29889.0,0.99085,0.98987
midday,degree,75,0.00248,30195,30120,29725.0,0.98689,0.98443
midday,degree,151,0.005,30195,30044,29597.0,0.98512,0.9802
midday,degree,302,0.01,30195,29893,29032.0,0.9712,0.96148
midday,degree,453,0.015,30195,29742,28812.0,0.96873,0.9542
midday,degree,604,0.02,30195,29591,28287.0,0.95593,0.93681
midday,degree,755,0.025,30195,29440,28072.0,0.95353,0.92969
midday,degree,906,0.03,30195,29289,27597.0,0.94223,0.91396
midday,degree,1057,0.03501,30195,29138,27261.0,0.93558,0.90283
midday,degree,1208,0.04001,30195,28987,26843.0,0.92604,0.88899
midday,degree,1359,0.04501,30195,28836,25663.0,0.88996,0.84991
midday,degree,1510,0.05001,30195,28685,23150.0,0.80704,0.76668
midday,degree,1661,0.05501,30195,28534,22599.0,0.792,0.74844
midday,degree,1812,0.06001,30195,28383,21932.0,0.77272,0.72635
midday,degree,1963,0.06501,30195,28232,21519.0,0.76222,0.71267
midday,degree,2114,0.07001,30195,28081,15306.0,0.54507,0.50691
midday,degree,2265,0.07501,30195,27930,12576.0,0.45027,0.41649
midday,degree,2416,0.08001,30195,27779,9237.0,0.33252,0.30591
midday,degree,2567,0.08501,30195,27628,8773.0,0.31754,0.29054
midday,degree,2718,0.09001,30195,27477,6267.0,0.22808,0.20755
midday,degree,2869,0.09502,30195,27326,6193.0,0.22663,0.2051
midday,degree,3020,0.10002,30195,27175,5056.0,0.18605,0.16744
midday,weighted degree,0,0.0,30195,30195,29968.0,0.99248,0.99248
midday,weighted degree,15,0.0005,30195,30180,29941.0,0.99208,0.99159
midday,weighted degree,30,0.00099,30195,30165,29912.0,0.99161,0.99063
midday,weighted degree,75,0.00248,30195,30120,29835.0,0.99054,0.98808
midday,weighted degree,151,0.005,30195,30044,29735.0,0.98972,0.98477
midday,weighted degree,302,0.01,30195,29893,29474.0,0.98598,0.97612
midday,weighted degree,453,0.015,30195,29742,29289.0,0.98477,0.97
midday,weighted degree,604,0.02,30195,29591,28919.0,0.97729,0.95774
midday,weighted degree,755,0.025,30195,29440,28639.0,0.97279,0.94847
midday,weighted degree,906,0.03,30195,29289,28381.0,0.969,0.93992
midday,weighted degree,1057,0.03501,30195,29138,28203.0,0.96791,0.93403
midday,weighted degree,1208,0.04001,30195,28987,28002.0,0.96602,0.92737
midday,weighted degree,1359,0.04501,30195,28836,27699.0,0.96057,0.91734
midday,weighted degree,1510,0.05001,30195,28685,27447.0,0.95684,0.90899
midday,weighted degree,1661,0.05501,30195,28534,27173.0,0.9523,0.89992
midday,weighted degree,1812,0.06001,30195,28383,26848.0,0.94592,0.88915
midday,weighted degree,1963,0.06501,30195,28232,26658.0,0.94425,0.88286
midday,weighted degree,2114,0.07001,30195,28081,26192.0,0.93273,0.86743
midday,weighted degree,2265,0.07501,30195,27930,25751.0,0.92198,0.85282
midday,weighted degree,2416,0.08001,30195,27779,25524.0,0.91882,0.84531
midday,weighted degree,2567,0.08501,30195,27628,25336.0,0.91704,0.83908
midday,weighted degree,2718,0.09001,30195,27477,25093.0,0.91324,0.83103
midday,weighted degree,2869,0.09502,30195,27326,24698.0,0.90383,0.81795
midday,weighted degree,3020,0.10002,30195,27175,23827.0,0.8768,0.7891
midday,betweenness,0,0.0,30195,30195,29968.0,0.99248,0.99248
midday,betweenness,15,0.0005,30195,30180,29934.0,0.99185,0.99136
midday,betweenness,30,0.00099,30195,30165,29912.0,0.99161,0.99063
midday,betweenness,75,0.00248,30195,30120,29855.0,0.9912,0.98874
midday,betweenness,151,0.005,30195,30044,29700.0,0.98855,0.98361
midday,betweenness,302,0.01,30195,29893,29314.0,0.98063,0.97082
midday,betweenness,453,0.015,30195,29742,29130.0,0.97942,0.96473
midday,betweenness,604,0.02,30195,29591,28831.0,0.97432,0.95483
midday,betweenness,755,0.025,30195,29440,28635.0,0.97266,0.94834
midday,betweenness,906,0.03,30195,29289,28326.0,0.96712,0.9381
midday,betweenness,1057,0.03501,30195,29138,28174.0,0.96692,0.93307
midday,betweenness,1208,0.04001,30195,28987,27947.0,0.96412,0.92555
midday,betweenness,1359,0.04501,30195,28836,27665.0,0.95939,0.91621
midday,betweenness,1510,0.05001,30195,28685,26837.0,0.93558,0.88879
midday,betweenness,1661,0.05501,30195,28534,26128.0,0.91568,0.86531
midday,betweenness,1812,0.06001,30195,28383,25516.0,0.89899,0.84504
midday,betweenness,1963,0.06501,30195,28232,24909.0,0.8823,0.82494
midday,betweenness,2114,0.07001,30195,28081,24458.0,0.87098,0.81
midday,betweenness,2265,0.07501,30195,27930,20445.0,0.73201,0.6771
midday,betweenness,2416,0.08001,30195,27779,19989.0,0.71957,0.662
midday,betweenness,2567,0.08501,30195,27628,19510.0,0.70617,0.64613
midday,betweenness,2718,0.09001,30195,27477,18935.0,0.68912,0.62709
midday,betweenness,2869,0.09502,30195,27326,12739.0,0.46619,0.42189
midday,betweenness,3020,0.10002,30195,27175,11124.0,0.40935,0.36841
midday,articulation points,0,0.0,30195,30195,29968.0,0.99248,0.99248
midday,articulation points,15,0.0005,30195,30180,29833.0,0.9885,0.98801
midday,articulation points,30,0.00099,30195,30165,29773.0,0.987,0.98602
midday,articulation points,75,0.00248,30195,30120,29607.0,0.98297,0.98053
midday,articulation points,151,0.005,30195,30044,29389.0,0.9782,0.97331
midday,articulation points,302,0.01,30195,29893,28653.0,0.95852,0.94893
midday,articulation points,453,0.015,30195,29742,28131.0,0.94583,0.93164
midday,articulation points,604,0.02,30195,29591,28000.0,0.94623,0.92731
midday,articulation points,755,0.025,30195,29440,28000.0,0.95109,0.92731
midday,articulation points,906,0.03,30195,29289,28000.0,0.95599,0.92731
midday,articulation points,1057,0.03501,30195,29138,27912.0,0.95792,0.92439
midday,articulation points,1208,0.04001,30195,28987,27440.0,0.94663,0.90876
midday,articulation points,1359,0.04501,30195,28836,27002.0,0.9364,0.89425
midday,articulation points,1510,0.05001,30195,28685,26519.0,0.92449,0.87826
midday,articulation points,1661,0.05501,30195,28534,26314.0,0.9222,0.87147
midday,articulation points,1812,0.06001,30195,28383,25810.0,0.90935,0.85478
midday,articulation points,1963,0.06501,30195,28232,25508.0,0.90351,0.84478
midday,articulation points,2114,0.07001,30195,28081,24578.0,0.87525,0.81398
midday,articulation points,2265,0.07501,30195,27930,23736.0,0.84984,0.78609
midday,articulation points,2416,0.08001,30195,27779,20585.0,0.74103,0.68174
midday,articulation points,2567,0.08501,30195,27628,19940.0,0.72173,0.66037
midday,articulation points,2718,0.09001,30195,27477,14645.0,0.53299,0.48501
midday,articulation points,2869,0.09502,30195,27326,14079.0,0.51522,0.46627
midday,articulation points,3020,0.10002,30195,27175,8901.0,0.32754,0.29478
midday,random (baseline),0,0.0,30195,30195,29968.0,0.99248,0.99248
midday,random (baseline),15,0.0005,30195,30180,29953.0,0.99248,0.99199
midday,random (baseline),30,0.00099,30195,30165,29937.333333333332,0.99245,0.99147
