window,strategy,window_nodes,auc,targeting_gain_vs_random,share_at_1pct,share_at_5pct,share_at_10pct
afternoon_peak,degree,30057,0.7122,0.2598,0.9709,0.8112,0.1801
afternoon_peak,betweenness,30057,0.8094,0.1625,0.9809,0.9178,0.4266
afternoon_peak,articulation points,30057,0.8247,0.1473,0.9509,0.9228,0.3837
afternoon_peak,weighted degree,30057,0.9416,0.0304,0.9864,0.9476,0.8746
afternoon_peak,random (baseline),30057,0.972,0.0,0.9913,0.9765,0.9337
evening,degree,29359,0.6931,0.2719,0.9738,0.8186,0.2132
evening,betweenness,29359,0.8231,0.142,0.9872,0.9434,0.428
evening,articulation points,29359,0.8436,0.1214,0.9571,0.924,0.3797
evening,weighted degree,29359,0.9433,0.0218,0.9859,0.9427,0.8714
evening,random (baseline),29359,0.9651,0.0,0.9898,0.9664,0.9297
midday,degree,30195,0.7175,0.2547,0.9712,0.807,0.186
midday,articulation points,30195,0.8565,0.1157,0.9585,0.9245,0.3275
midday,betweenness,30195,0.8635,0.1087,0.9806,0.9356,0.4093
midday,weighted degree,30195,0.9508,0.0214,0.986,0.9568,0.8768
midday,random (baseline),30195,0.9722,0.0,0.9915,0.9744,0.9395
morning_peak,degree,30072,0.7296,0.2428,0.9785,0.8525,0.2686
morning_peak,betweenness,30072,0.8018,0.1705,0.9877,0.9257,0.3767
morning_peak,articulation points,30072,0.8449,0.1275,0.9597,0.9316,0.3724
morning_peak,weighted degree,30072,0.953,0.0194,0.9869,0.9568,0.8979
morning_peak,random (baseline),30072,0.9724,0.0,0.9917,0.975,0.9402
night,degree,25967,0.6141,0.3353,0.9653,0.7228,0.2173
night,betweenness,25967,0.7043,0.2451,0.9716,0.8848,0.1988
night,articulation points,25967,0.9067,0.0427,0.9483,0.9151,0.7189
night,weighted degree,25967,0.9418,0.0076,0.9775,0.9443,0.8892
night,random (baseline),25967,0.9494,0.0,0.983,0.9519,0.8971
