stop_id,stop_name,region,lat,lon,degree,weighted_degree,approx_betweenness,rank_in_peak_window,peak_window,offpeak_window
15177,צומת ניצני עוז,Center,32.31182,34.999902,3.0,12.0,0.03479459629690803,33,morning_peak,night
18077,כיסרא סומיע/יציאה,North,32.963851,35.292041,5.0,38.0,0.011606505973962254,164,morning_peak,night
4885,צומת יזרעאל,North,32.558358,35.316841,4.0,40.0,0.010140547399930937,206,morning_peak,night
17935,צומת כישור,North,32.946962,35.268439,7.0,62.0,0.008668173164875583,265,morning_peak,night
27704,צומת רנן,South,31.318065,34.606079,3.0,30.0,0.007960219938333403,286,morning_peak,night
27712,קרית חינוך מרחבים,South,31.316592,34.596751,2.0,32.0,0.007927410352379597,288,morning_peak,night
27710,צומת מסלול,South,31.315705,34.590747,2.0,34.0,0.007894712439625088,290,morning_peak,night
27706,צומת פטיש,South,31.316996,34.558968,4.0,38.0,0.007889064853708853,291,morning_peak,night
17090,עוקף דאליה,North,32.695503,35.062657,4.0,44.0,0.00742090739142747,314,morning_peak,night
17790,מסעף מצובה,North,33.061701,35.150636,2.0,6.0,0.007406025140009846,315,morning_peak,night
28024,בית אל/סייפן,Center,31.668798,34.55911,2.0,12.0,0.007212696450120895,324,morning_peak,night
39238,י.ל. פרץ/פרישמן,North,32.814089,35.102692,2.0,8.0,0.0067891119783557805,348,morning_peak,night
48456,כביש 423/מרגולין,Center,31.933237,34.814294,4.0,46.0,0.0064474761402549,377,morning_peak,night
19992,מסעף להבות הבשן,North,33.140056,35.644011,7.0,40.0,0.0063015633063912575,390,morning_peak,night
4348,בית ספר הר וגיא,North,33.227081,35.636205,3.0,6.0,0.00577252919211991,453,morning_peak,night
27680,צומת מחנה אורים/כביש 241,South,31.31784,34.542528,2.0,34.0,0.0057375256201094415,460,morning_peak,night
27705,צומת פדויים,South,31.321318,34.615211,2.0,44.0,0.0056687673790239215,470,morning_peak,night
27713,צומת רנן,South,31.318009,34.604511,2.0,44.0,0.005636069466269413,476,morning_peak,night
27711,קרית חינוך מרחבים,South,31.31659,34.595612,2.0,44.0,0.005603371553514904,480,morning_peak,night
27707,צומת מסלול,South,31.315619,34.589558,4.0,52.0,0.005577660923356953,485,morning_peak,night
51771,ציפורי/אברהם טביב,North,32.810968,35.121648,2.0,24.0,0.005470448227626706,503,morning_peak,night
707,ת.התרעננות/דור אלון נען כביש 6,Center,31.881588,34.87851,2.0,4.0,0.005305987564924393,531,morning_peak,night
42225,נווה חריף,South,30.038849,35.036156,4.0,26.0,0.005230429086712977,542,morning_peak,night
43234,כביש 40/נווה חריף,South,30.045522,35.035081,2.0,8.0,0.0052280232200096356,543,morning_peak,night
41555,שכונת אלגמשה 9,North,32.879866,35.413557,6.0,98.0,0.005193246903307985,551,morning_peak,night
