window_a,window_b,metric,n_common,n_only_a,n_only_b,spearman_rho,top50_overlap
morning_peak,midday,degree,29879,193,316,0.9024,0.78
morning_peak,midday,weighted_degree,29879,193,316,0.9722,0.82
morning_peak,midday,approx_betweenness,29879,193,316,0.775,0.44
morning_peak,afternoon_peak,degree,29776,296,281,0.8996,0.8
morning_peak,afternoon_peak,weighted_degree,29776,296,281,0.9629,0.76
morning_peak,afternoon_peak,approx_betweenness,29776,296,281,0.7703,0.42
morning_peak,evening,degree,29142,930,217,0.8811,0.74
morning_peak,evening,weighted_degree,29142,930,217,0.9422,0.48
morning_peak,evening,approx_betweenness,29142,930,217,0.7498,0.36
morning_peak,night,degree,25848,4224,119,0.8005,0.68
morning_peak,night,weighted_degree,25848,4224,119,0.8582,0.38
morning_peak,night,approx_betweenness,25848,4224,119,0.6604,0.34
midday,afternoon_peak,degree,29969,226,88,0.95,0.84
midday,afternoon_peak,weighted_degree,29969,226,88,0.9864,0.78
midday,afternoon_peak,approx_betweenness,29969,226,88,0.8605,0.52
midday,evening,degree,29293,902,66,0.9122,0.78
midday,evening,weighted_degree,29293,902,66,0.965,0.56
midday,evening,approx_betweenness,29293,902,66,0.812,0.58
midday,night,degree,25894,4301,73,0.8031,0.7
midday,night,weighted_degree,25894,4301,73,0.8791,0.46
midday,night,approx_betweenness,25894,4301,73,0.6839,0.5
afternoon_peak,evening,degree,29308,749,51,0.9338,0.82
afternoon_peak,evening,weighted_degree,29308,749,51,0.972,0.68
afternoon_peak,evening,approx_betweenness,29308,749,51,0.8371,0.48
afternoon_peak,night,degree,25903,4154,64,0.82,0.72
afternoon_peak,night,weighted_degree,25903,4154,64,0.8875,0.54
afternoon_peak,night,approx_betweenness,25903,4154,64,0.6988,0.6
evening,night,degree,25836,3523,131,0.8522,0.76
evening,night,weighted_degree,25836,3523,131,0.9116,0.68
evening,night,approx_betweenness,25836,3523,131,0.7411,0.5
