stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
41133,מחלף חמד,2.0,1.0,1.0
7444,דרך האר''י/ כביש 375,4.0,2.0,2.0
13274,מחלף גבעת שמואל/כביש 4,17.0,3.0,14.0
41132,מחלף חמד,5.0,4.0,1.0
7562,שדרות בית הלל/כניסה לעיר,6.0,5.0,1.0
27689,מחלף קמה לצפון,3.0,6.0,-3.0
13246,בית ספר הולץ/חיל השריון,46.0,7.0,39.0
17303,ת.התרעננות/דור אלון מגל 6,1.0,8.0,-7.0
14355,מחלף מורשה,31.0,9.0,22.0
29350,מחלף מסובים,50.0,10.0,40.0
51199,דרך האר''י/המגיד ממעזריטש,43.0,11.0,32.0
9046,ויצמן/גבעת שאול,28.0,12.0,16.0
12975,מחלף לה גווארדייה,29.0,13.0,16.0
29243,תחנת התרעננות/פונדק בית קמה,9.0,14.0,-5.0
9526,מסוף 700/שד' נווה יעקב,161.0,15.0,146.0
10446,צומת גבעת מרדכי/בייט,94.0,16.0,78.0
42430,ת.התרעננות/דור אלון מגל כביש 6,14.0,17.0,-3.0
14348,מחלף גהה/דרך ז'בוטינסקי,21.0,18.0,3.0
13354,ת. רכבת תל אביב - סבידור/דרך נמיר,99.0,19.0,80.0
29342,מחלף גבעת שמואל/מבצע קדש,133.0,20.0,113.0
9048,בן גוריון/שערי ירושלים,11.0,21.0,-10.0
15416,מחלף בית רבן למזרח,58.0,22.0,36.0
21589,מחלף מסובים,105.0,23.0,82.0
23418,רבי יהודה הנשיא/כניסה לעיר,7.0,24.0,-17.0
22235,מחלף נתניה,81.0,25.0,56.0
748,מחלף קסם,8.0,26.0,-18.0
25419,רבי יהודה הנשיא/חוני המעגל,34.0,27.0,7.0
42877,ת. רכבת תל אביב - סבידור/הורדה,144.0,28.0,116.0
13178,חיל השריון/קיבוץ גלויות,80.0,29.0,51.0
16186,ת. רכבת ראשונים,200.0,30.0,170.0
13320,קניון עזריאלי/דרך מנחם בגין,170.0,31.0,139.0
18958,צומת שפרעם,36.0,32.0,4.0
14077,מחלף גהה/דרך ז'בוטינסקי,57.0,33.0,24.0
51258,ת. מרכזית המפרץ/הורדה,35.0,34.0,1.0
8750,אצטדיון טדי/א''ס ביתר,51.0,35.0,16.0
10452,דרך חברון/גבעת המטוס,109.0,36.0,73.0
10716,צומת רמות/גולדה,165.0,37.0,128.0
2047,שבתאי לוי/רשפון,42.0,38.0,4.0
14497,חזון אי''ש/האדמור מנדבורנא,265.0,39.0,226.0
24932,מחלף רעננה צפון,20.0,40.0,-20.0
10775,גשר המיתרים/שד' הרצל,71.0,41.0,30.0
11581,סולטן סולימאן/שער שכם,974.0,42.0,932.0
5020,צומת עוקף עפולה/מעונות הסטודנטים,79.0,43.0,36.0
20740,צומת עוקף עפולה,49.0,44.0,5.0
2881,העצמאות/בית וגן,52.0,45.0,7.0
21851,מסעף יסודות,104.0,46.0,58.0
16491,מחלף קסם,18.0,47.0,-29.0
751,מחלף קסם,44.0,48.0,-4.0
24467,בית משפט/טשרניחובסקי,372.0,49.0,323.0
9553,גשר המיתרים/שד' הרצל,206.0,50.0,156.0
15233,מחלף נתניה,67.0,51.0,16.0
10226,יגאל ידין/דרוק,87.0,52.0,35.0
39133,מחלף קמה לדרום,48.0,53.0,-5.0
25549,בני ברית/הפלמח,154.0,54.0,100.0
9658,שד' נווה יעקב/משה סנה,369.0,55.0,314.0
21744,צומת מודיעים (גמזו),37.0,56.0,-19.0
1296,מחלף יגור,19.0,57.0,-38.0
25916,הכלנית/הנורית,211.0,58.0,153.0
2444,רופין/קניאל,76.0,59.0,17.0
3870,ת. מרכזית המפרץ/הורדה,115.0,60.0,55.0
25092,אוניברסיטת בר אילן,228.0,61.0,167.0
13356,דרך קיבוץ גלויות/כביש 1,141.0,62.0,79.0
12898,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,505.0,63.0,442.0
17488,גרנד קניון/שמחה גולן,54.0,64.0,-10.0
23975,אלי כהן/יוספטל,249.0,65.0,184.0
2673,צומת זבולון,75.0,66.0,9.0
4132,צומת כפר קרע,13.0,67.0,-54.0
27842,מסעף נתיבות/מרכז העיר,47.0,68.0,-21.0
43374,המשנה,72.0,69.0,3.0
10790,צומת רמות/גולדה,107.0,70.0,37.0
2563,צומת אולגה,116.0,71.0,45.0
3521,מת''מ,135.0,72.0,63.0
36097,בית חולים איטלקי/המגינים,60.0,73.0,-13.0
26654,מרכז אורן/יצחק רגר,208.0,74.0,134.0
8733,אצטדיון טדי/א''ס ביתר,212.0,75.0,137.0
11081,מחלף הרטוב,136.0,76.0,60.0
27692,צומת בית קמה למערב,61.0,77.0,-16.0
27865,צומת ניר עם,112.0,78.0,34.0
13044,פארק אריאל שרון/דרך לוד,2405.0,79.0,2326.0
10236,שערי ירושלים/ליפתא,92.0,80.0,12.0
21588,מחלף גנות/כביש 4,231.0,81.0,150.0
35283,ת. רכבת משה דיין,1236.0,82.0,1154.0
12963,גשר בר אילן/כביש 4,202.0,83.0,119.0
27649,מרכז אורן/יצחק רגר,68.0,84.0,-16.0
27623,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,32.0,85.0,-53.0
27918,ת.מרכזית באר שבע/הורדה,277.0,86.0,191.0
21271,צומת טבריה עילית,70.0,87.0,-17.0
13290,מכון מור/דרך זאב ז'בוטינסקי,490.0,88.0,402.0
11161,מחלף שורש,160.0,89.0,71.0
24499,קניון עזריאלי הוד השרון/דרך רמתיים,376.0,90.0,286.0
36771,כביש 3855/שדרות יגאל אלון,83.0,91.0,-8.0
729,מחלף ראש העין מזרח,64.0,92.0,-28.0
28614,ת.מרכזית אשקלון/הורדה,123.0,93.0,30.0
19831,ת.מרכזית עכו/דרך הארבעה,53.0,94.0,-41.0
23973,פארק אתגרים/משה דיין,1387.0,95.0,1292.0
1636,צומת אולגה,66.0,96.0,-30.0
35701,מחלף שעריה,93.0,97.0,-4.0
11160,מחלף שורש,157.0,98.0,59.0
13946,ת. רכבת האוניברסיטה/שד' רוקח,235.0,99.0,136.0
14354,צומת הכפר הירוק,339.0,100.0,239.0
14165,סינמה סיטי/כביש 2,172.0,101.0,71.0
35286,קניון ראשונים/שדרות נים,113.0,102.0,11.0
2500,צומת קרית חיים,179.0,103.0,76.0
16289,צומת יסודות,69.0,104.0,-35.0
9464,מוזיאון רוקפלר/סולטאן סולימאן,1412.0,105.0,1307.0
23534,מחלף בית רבן למערב,156.0,106.0,50.0
2027,תחנת כרמלית/הנביאים,65.0,107.0,-42.0
8877,דרך יריחו/דרך העופל,1419.0,108.0,1311.0
27876,צומת יד מרדכי,131.0,109.0,22.0
5318,אולפנית/דרך מנחם בגין,84.0,110.0,-26.0
18691,צומת ראש פינה,12.0,111.0,-99.0
42405,תחנת התרעננות/צומת מגידו,88.0,112.0,-24.0
50332,ת.רק''ל אבא הלל/דרך ז'בוטינסקי,1890.0,113.0,1777.0
23129,צומת גמזו,77.0,114.0,-37.0
20534,ת.מרכזית עכו/דרך הארבעה,110.0,115.0,-5.0
26150,העצמאות/הציונות,213.0,116.0,97.0
13429,ת. רכבת צומת חולון,245.0,117.0,128.0
35694,מחלף שעריה למערב,96.0,118.0,-22.0
25206,צומת סגולה לצפון/כביש 40,1297.0,119.0,1178.0
18876,צומת חנניה צומת שבע,10.0,120.0,-110.0
2392,מחלף יגור,41.0,121.0,-80.0
2476,צומת מוצקין,269.0,122.0,147.0
