removed_stop,origin_stop,destination_stop,baseline_seconds,detour_seconds
17303,39471,17019,6650.0,56.0
17303,29225,4411,11487.5,15.5
17303,29225,35292,11697.0,17.5
17303,29225,4229,12275.0,17.5
17303,5102,35016,6896.0,308.0
17303,20016,44533,9753.0,616.0
17303,20016,47051,9748.0,7.0
17303,20016,25607,11739.0,61.5
17303,20016,7415,9337.0,616.0
17303,21019,7479,7042.0,21.0
17303,49543,12740,10357.0,76.5
17303,49543,25606,10879.0,79.5
17303,49543,47983,10545.0,148.5
17303,49543,27505,8845.0,140.0
17303,49543,11537,9041.0,31.0
17303,49543,25518,10672.0,102.5
17303,49543,39579,8675.0,78.0
17303,49543,41450,8876.0,563.0
17303,40305,43050,7958.0,75.0
17303,40305,27499,7516.0,75.0
17303,27742,19870,6751.0,537.0
17303,27742,3455,6273.0,531.0
17303,27742,21292,8770.0,21.0
17303,27742,18625,9720.0,134.0
17303,4608,7460,6326.0,15.0
17303,28622,7179,7338.0,92.0
17303,28622,19771,7098.0,114.0
17303,29013,7180,6882.0,520.0
17303,29013,18915,6861.0,520.0
17303,29013,20898,7189.0,307.0
17303,29013,46457,10933.0,97.0
17303,29013,49612,7396.0,132.0
17303,29013,19686,6948.0,422.0
17303,18315,28968,11371.0,27.0
17303,18315,44005,9350.0,316.0
17303,18315,25753,9107.0,152.0
17303,42710,20583,5842.0,35.0
17303,44866,5620,9006.0,39.0
17303,44866,48310,7639.0,22.0
17303,44866,18386,9019.0,31.0
17303,18425,43959,7244.0,15.0
17303,4904,7343,6494.0,375.0
17303,4904,41452,6841.0,217.0
17303,4904,42206,7115.0,217.0
17303,43496,28871,6496.0,35.0
17303,19782,27911,9889.0,123.0
17303,19782,27801,9668.0,80.0
17303,19782,7354,9234.0,616.0
17303,19782,25837,11603.0,158.5
17303,19782,50444,9298.0,54.0
17303,42053,39613,9162.0,117.0
17303,42053,25769,10389.0,5.5
17303,42053,10894,7861.0,129.5
17303,42173,6976,5406.0,209.0
17303,42173,6850,8887.0,170.0
17303,42173,4438,9735.5,157.5
17303,3507,41220,6400.0,99.0
17303,3507,39803,5951.0,151.0
17303,44876,2509,6229.0,133.0
17303,44876,49608,6838.0,59.0
17303,43035,17037,6458.0,199.0
17303,43035,20655,6426.0,447.0
17303,43035,18390,9146.0,56.0
17303,43035,18593,9839.0,52.0
17303,21305,28641,6823.0,21.0
17303,27949,6937,7454.0,56.0
17303,2532,27216,6675.5,35.0
17303,2532,7372,6768.5,105.5
17303,20948,34966,6744.0,380.0
17303,20948,44311,6634.0,9.0
17303,20948,25951,6508.0,9.0
17303,26119,18880,9834.0,93.5
17303,42606,26564,5865.0,23.0
17303,42606,43439,6289.0,82.0
17303,42606,11134,6339.0,254.0
17303,42606,43819,6476.0,80.0
17303,27859,2777,7656.0,45.0
17303,7396,18296,8922.0,298.0
17303,7396,17053,6005.0,161.0
17303,7396,40240,7459.0,15.0
17303,7396,41195,5964.0,280.0
17303,7396,41141,6871.0,267.0
17303,7396,49560,5996.0,15.0
17303,7396,20989,6787.0,51.0
17303,7396,43544,7378.5,115.0
17303,7396,3045,6060.5,149.5
17303,7396,35519,7867.0,341.0
17303,19472,7402,7817.0,115.0
17303,47956,19455,4909.0,55.0
17303,41048,41860,6706.0,14.0
17303,48321,41109,7655.0,22.0
17303,48321,27540,6681.0,92.0
17303,48321,43504,7255.0,92.0
17303,48321,39512,6872.0,92.0
17303,48321,41966,7507.0,22.0
17303,48321,7609,6898.0,115.0
17303,4815,7365,6880.0,15.0
17303,2027,39510,6696.0,82.0
17303,48005,17136,6561.0,23.0
17303,43982,39699,5166.0,1.0
17303,43982,19778,4062.0,20.0
17303,20011,7396,6205.0,233.0
17303,2543,22454,5861.0,54.0
17303,2543,25772,8496.0,115.5
17303,2543,41854,9205.0,78.0
17303,26873,18737,10586.0,40.5
17303,26873,18965,11715.0,40.5
17303,26873,5979,12005.5,40.5
17303,26873,19791,11661.0,40.5
17303,26873,19999,11108.5,86.5
17303,40228,7458,7902.0,15.0
17303,10830,19777,5527.0,473.0
17303,10830,4974,6457.0,1.0
17303,10830,6890,5734.0,124.0
17303,27192,18588,9510.0,52.0
17303,27192,35365,6727.0,250.0
17303,36981,40869,5978.5,473.0
17303,36981,43158,5769.0,473.0
17303,44786,19725,5774.0,544.0
17303,44786,39918,6118.0,360.0
17303,44786,46507,9720.0,152.0
17303,44786,4400,8503.5,144.5
17303,44786,19123,6000.0,360.0
17303,44786,17030,5475.0,591.0
17303,44786,43355,6148.0,70.0
17303,44786,41675,7681.0,15.0
17303,28616,4191,10289.5,144.5
17303,28616,3328,6976.0,82.0
17303,28616,5617,8775.0,127.0
17303,28616,17777,6844.0,249.0
17303,28616,1898,7299.0,35.0
17303,28616,5991,9769.0,152.0
17303,28616,19829,9080.0,139.5
17303,43655,49397,7608.0,115.0
17303,43655,7452,7459.0,115.0
17303,41617,47889,10668.0,0.5
17303,6298,44005,6454.0,15.0
17303,6298,7607,6401.0,15.0
17303,47768,41218,6465.0,504.0
