removed_stop,stop_name,approx_betweenness,topological_rank,expected_cost_seconds,passenger_time_rank,rank_shift,mean_detour_seconds,reachable_share,pairs_tested
9048,בן גוריון/שערי ירושלים,0.0407558352033177,11,425.5454545454546,1,10,108.1,0.9090909090909091,11
27689,מחלף קמה לצפון,0.0716483547095368,3,194.8325,2,1,194.8325,1.0,400
39085,בית ספר ניסויי תפן,0.0267995285060749,30,180.5,3,27,180.5,1.0,2
14348,מחלף גהה/דרך ז'בוטינסקי,0.0306742959855417,21,158.2875,4,17,158.2875,1.0,400
41132,מחלף חמד,0.0667127713406123,5,157.54875,5,0,157.54875,1.0,400
19486,תל חי/סיני,0.0301532986102194,24,152.0,6,18,152.0,1.0,1
17303,ת.התרעננות/דור אלון מגל 6,0.112459758222915,1,151.9,7,-6,151.9,1.0,175
29243,תחנת התרעננות/פונדק בית קמה,0.0462892375340954,9,147.36375,8,1,147.36375,1.0,400
7562,שדרות בית הלל/כניסה לעיר,0.0657855013321716,6,142.7537313432836,9,-3,142.7537313432836,1.0,67
12975,מחלף לה גווארדייה,0.0273631582961579,29,142.03571428571425,10,19,131.7134328358209,0.9970238095238095,336
17934,צומת כישור,0.029435537368308,26,139.57142857142858,11,15,139.57142857142858,1.0,7
17966,צומת הר חלוץ,0.0295607899948155,25,132.4,12,13,132.4,1.0,5
41133,מחלף חמד,0.0875362008593481,2,120.65875000000001,13,-11,103.17462311557789,0.995,400
748,מחלף קסם,0.0472729925206525,8,114.9375,14,-6,114.9375,1.0,400
4132,צומת כפר קרע,0.039736220234531,13,109.8925,15,-2,109.8925,1.0,400
7444,דרך האר''י/ כביש 375,0.0691705397124144,4,109.0175,16,-12,109.0175,1.0,400
16491,מחלף קסם,0.0328631112565435,18,106.20375,17,1,106.20375,1.0,400
13274,מחלף גבעת שמואל/כביש 4,0.0353101306371659,17,85.745,18,-1,85.745,1.0,400
42430,ת.התרעננות/דור אלון מגל כביש 6,0.0396843574442483,14,84.4375,19,-5,84.4375,1.0,8
23418,רבי יהודה הנשיא/כניסה לעיר,0.0565992919034606,7,77.40875,20,-13,77.40875,1.0,400
18691,צומת ראש פינה,0.0407181579724438,12,75.6925,21,-9,75.6925,1.0,400
4179,צומת כרמיאל,0.0362234229135072,15,67.12234042553192,22,-7,67.12234042553192,1.0,188
1296,מחלף יגור,0.0312889552341001,19,66.91,23,-4,66.91,1.0,400
24932,מחלף רעננה צפון,0.0312829387757342,20,65.68151815181518,24,-4,65.68151815181518,1.0,303
18918,מושב מירון,0.0284363495369314,27,56.057291666666664,25,2,56.057291666666664,1.0,96
21282,צומת שבע,0.0357567561911833,16,35.0,26,-10,35.0,1.0,74
18876,צומת חנניה צומת שבע,0.0438644214041046,10,33.23,27,-17,33.23,1.0,50
9046,ויצמן/גבעת שאול,0.0280712069129028,28,29.131944444444443,28,0,29.131944444444443,1.0,72
