removed_stop,stop_name,mean_detour_seconds,median_detour_seconds,pairs_disconnected,reachable_share,top_absorbing_stops,pairs_tested,pairs_reachable,p90_detour_seconds,max_detour_seconds,zero_detour_share,approx_betweenness,topological_rank,region,lat,lon,expected_cost_seconds,passenger_time_rank,rank_shift
9048,בן גוריון/שערי ירושלים,108.1,29.0,1,0.9090909090909091,שערי ירושלים/ליפתא (10236) x4 | מחלף חמד (41132) x4 | ויצמן/גבעת שאול (9046) x3 | מחלף בית חורון (8468) x2 | מחסום מכבים (8469) x2,11,10,297.5999999999999,555.0,0.0,0.0407558352033177,11,Jerusalem,31.791535,35.196465,425.5454545454546,1.0,10.0
27689,מחלף קמה לצפון,194.8325,145.5,0,1.0,רבי יהודה הנשיא/חוני המעגל (25419) x142 | צומת בית קמה לדרום (27778) x130 | צומת הנשיא (26557) x80 | צומת בית קמה למערב (27692) x70 | מחלף קמה לדרום (39133) x68,400,400,453.0,769.0,0.005,0.0716483547095368,3,South,31.442254,34.766984,194.8325,2.0,1.0
39085,בית ספר ניסויי תפן,180.5,180.5,0,1.0,מעלה המסגד/שביל המסגדים (17940) x2 | מעלה המסגד/האומנים (5803) x2 | צומת כליל (17771) x1 | מסעף שייח' דנון (19587) x1 | צומת כברי (17761) x1,2,2,209.7,217.0,0.0,0.0267995285060749,30,North,32.996235,35.264492,180.5,3.0,27.0
14348,מחלף גהה/דרך ז'בוטינסקי,158.2875,186.0,0,1.0,מחלף גהה/דרך ז'בוטינסקי (14077) x183 | מסעף אחיהוד (18826) x177 | צומת אחיהוד (18825) x173 | צומת יאסיף (18823) x155 | צומת ירכא/ג'וליס (6707) x123,400,400,244.0,455.0,0.0025,0.0306742959855417,21,Center,32.092314,34.844941,158.2875,4.0,17.0
41132,מחלף חמד,157.54875,124.0,0,1.0,מחלף חמד (41133) x150 | יגאל ידין/דרוק (10226) x105 | מחלף בית חורון (8468) x88 | צומת גבעת מרדכי/בייט (10446) x87 | גשר המיתרים/שד' הרצל (10775) x59,400,400,336.1,749.0,0.005,0.0667127713406123,5,Jerusalem,31.80033,35.126238,157.54875,5.0,0.0
19486,תל חי/סיני,152.0,152.0,0,1.0,קיבוץ עמיעד (5627) x1 | מחנה יפתח (20696) x1 | מחנה אליפלט (18953) x1 | צומת ראש פינה (18687) x1 | מסוף חצור הגלילית/רציפים (47799) x1,1,1,152.0,152.0,0.0,0.0301532986102194,24,North,33.204747,35.569361,152.0,6.0,18.0
17303,ת.התרעננות/דור אלון מגל 6,151.9,99.0,0,1.0,צומת מודיעים (גמזו) (21744) x57 | מחלף מסילת ציון (11120) x52 | מחלף הרטוב (11081) x52 | כביש 38/כביש 3855 (41662) x51 | כביש 3855/רבי יוסף קארו (11073) x44,175,175,428.5999999999999,616.0,0.017142857142857144,0.112459758222915,1,Center,32.380891,35.017969,151.9,7.0,-6.0
29243,תחנת התרעננות/פונדק בית קמה,147.36375,140.5,0,1.0,מסעף דימונה/פרץ סנטר (28294) x142 | שדרות אריאל שרון/המלאכה (28307) x137 | מסעף דימונה (12080) x137 | צומת דימונה ירוחם (12310) x129 | קסר א סיר/הואשלה (12126) x129,400,400,251.5,695.0,0.015,0.0462892375340954,9,South,31.442304,34.764124,147.36375,8.0,1.0
7562,שדרות בית הלל/כניסה לעיר,142.7537313432836,105.0,0,1.0,מסוף מודיעין עילית/הורדה (49800) x44 | שדרות בית הלל/ יציאה מהעיר (7559) x31 | שדרות בית הלל/מרכז מסחרי (35587) x22 | מחלף גנות/כביש 4 (21588) x10 | צומת מצפה מודיעין (22066) x10,67,67,376.1999999999999,454.0,0.029850746268656716,0.0657855013321716,6,Center,31.936583,35.035446,142.7537313432836,9.0,-3.0
12975,מחלף לה גווארדייה,131.7134328358209,88.0,1,0.9970238095238095,דרך קיבוץ גלויות/כביש 1 (13356) x81 | ת. רכבת תל אביב סבידור/על פרשת דרכים (12890) x66 | מחלף בית רבן למזרח (15416) x66 | ת. רכבת תל אביב - סבידור/הורדה (42877) x58 | ארלוזורוב/דרך נמיר (12833) x53,336,335,287.20000000000005,695.0,0.008955223880597015,0.0273631582961579,29,Center,32.059454,34.786354,142.03571428571425,10.0,19.0
17934,צומת כישור,139.57142857142858,138.0,0,1.0,צומת כישור (17935) x5 | מסעף הר חלוץ (17967) x5 | צומת כרמיאל (7048) x5 | צומת כרמיאל (18103) x5 | הדקל/הארזים (20601) x3,7,7,187.6,190.0,0.0,0.029435537368308,26,North,32.946069,35.268081,139.57142857142858,11.0,15.0
17966,צומת הר חלוץ,132.4,138.0,0,1.0,צומת כישור (17935) x5 | מסעף הר חלוץ (17967) x5 | צומת כרמיאל (7048) x5 | צומת כרמיאל (18103) x5 | הדקל/הארזים (20601) x3,5,5,172.4,186.0,0.0,0.0295607899948155,25,North,32.94059,35.276878,132.4,12.0,13.0
41133,מחלף חמד,103.17462311557789,68.5,2,0.995,מחלף חמד (41132) x166 | יגאל ידין/רבי שלמה זלמן דרוק (44258) x127 | תחנת רקל''ה גבעת המבתר/יגאל ידין (10328) x89 | מחלף בית חורון (8468) x63 | מחסום מכבים (8469) x54,400,398,226.60000000000002,648.0,0.005025125628140704,0.0875362008593481,2,Jerusalem,31.801002,35.12454,120.65875000000001,13.0,-11.0
748,מחלף קסם,114.9375,90.0,0,1.0,מחלף קסם (16491) x265 | צומת גבעת אבני (21270) x159 | מחלף מורשה (24859) x111 | גבעת שמואל/גשר הולכי רגל (12979) x109 | מחלף גבעת שמואל/כביש 4 (12962) x108,400,400,248.65000000000003,686.0,0.02,0.0472729925206525,8,Center,32.119458,34.93836,114.9375,14.0,-6.0
4132,צומת כפר קרע,109.8925,70.0,0,1.0,צומת כפר קרע (4089) x97 | צומת בארותיים למזרח (15151) x67 | צומת ברטעה (4088) x60 | צומת עארה (4087) x59 | צומת ערערה (4127) x57,400,400,292.20000000000005,619.0,0.045,0.039736220234531,13,Center,32.496878,35.062384,109.8925,15.0,-2.0
7444,דרך האר''י/ כביש 375,109.0175,71.0,0,1.0,מעזריטש/שדרות דרך האר''י (7381) x177 | מסעף מבוא ביתר (8899) x173 | דרך האר''י/המגיד ממעזריטש (51199) x156 | מסעף צור הדסה (11135) x134 | מסעף מבוא ביתר (10886) x134,400,400,303.0,741.0,0.0075,0.0691705397124144,4,Jerusalem,31.704533,35.126243,109.0175,16.0,-12.0
16491,מחלף קסם,106.20375,84.5,0,1.0,מחלף קסם (748) x362 | צומת כפר קרע (4132) x215 | ח'אלת זבדה/תחנת דלק (4095) x162 | צומת רכבת ראש העין צפון (750) x141 | מחלף מורשה (14355) x134,400,400,226.20000000000005,270.0,0.015,0.0328631112565435,18,Center,32.115483,34.941008,106.20375,17.0,1.0
13274,מחלף גבעת שמואל/כביש 4,85.745,64.0,0,1.0,מחלף גבעת שמואל/כביש 4 (12962) x300 | גבעת שמואל/גשר הולכי רגל (12979) x299 | גשר בר אילן/כביש 4 (13188) x157 | אוניברסיטת בר אילן/דרך אשכול (25091) x119 | מחלף גנות/כביש 4 (21588) x106,400,400,190.20000000000005,386.0,0.015,0.0353101306371659,17,Center,32.074823,34.843553,85.745,18.0,-1.0
42430,ת.התרעננות/דור אלון מגל כביש 6,84.4375,108.0,0,1.0,מחלף הרטוב (11080) x6 | צומת אשתאול (11093) x6 | מחלף מסילת ציון (11119) x6 | צומת מודיעים (22067) x6 | צומת נבלט (21895) x6,8,8,108.0,108.0,0.0,0.0396843574442483,14,Center,32.38104,35.017224,84.4375,19.0,-5.0
23418,רבי יהודה הנשיא/כניסה לעיר,77.40875,63.0,0,1.0,רבי יהודה הנשיא/חוני המעגל (25419) x259 | צומת בית קמה למערב (27692) x141 | מעון נווה רם/הרב עובדיה יוסף (20503) x103 | צומת בית קמה לדרום (27778) x83 | צומת כפר חסידים/כביש 762 (3265) x81,400,400,154.0,299.0,0.025,0.0565992919034606,7,Center,32.052593,34.944195,77.40875,20.0,-13.0
18691,צומת ראש פינה,75.6925,63.0,0,1.0,מסוף חצור הגלילית/רציפים (47799) x226 | צומת ראש פינה (18687) x178 | מסעף קיבוץ קדרים לדרום (20409) x149 | אזור התעשיה/דרך הבנים (18692) x103 | פרי הגליל/דרך הבנים (18695) x101,400,400,125.0,603.0,0.035,0.0407181579724438,12,North,32.968266,35.551334,75.6925,21.0,-9.0
4179,צומת כרמיאל,67.12234042553192,46.0,0,1.0,צומת כרמיאל (18103) x163 | צומת צורית (20091) x155 | מסעף נחף (17907) x155 | מסעף בר לב (18833) x154 | צומת אחיהוד (18824) x101,188,188,155.0,230.0,0.0,0.0362234229135072,15,North,32.923958,35.301965,67.12234042553192,22.0,-7.0
1296,מחלף יגור,66.91,54.0,0,1.0,מחלף יגור (3956) x150 | מחלף יגור (2392) x143 | צומת ניצני עוז (15177) x123 | צומת מודיעים (גמזו) (21744) x121 | צומת מבוא מודיעים (22063) x86,400,400,138.0,692.0,0.0725,0.0312889552341001,19,North,32.752167,35.071543,66.91,23.0,-4.0
24932,מחלף רעננה צפון,65.68151815181518,58.0,0,1.0,צומת הדסים (14800) x176 | כביש 4/מחלף מורשה (14227) x156 | צומת כפר סבא רעננה צפון (21786) x143 | מחלף גבעת שמואל/כביש 4 (12962) x133 | גבעת שמואל/גשר הולכי רגל (12979) x133,303,303,117.0,328.0,0.006600660066006601,0.0312829387757342,20,Center,32.190754,34.887242,65.68151815181518,24.0,-4.0
18918,מושב מירון,56.057291666666664,13.0,0,1.0,צומת מירון (20878) x68 | מירון שער כחול (44025) x59 | מירון מרכז (20792) x26 | רבי יהודה הנשיא/חוני המעגל (25419) x22 | רבי יהודה הנשיא/חוני המעגל (23421) x11,96,96,180.0,194.0,0.0,0.0284363495369314,27,North,32.983535,35.443474,56.057291666666664,25.0,2.0
21282,צומת שבע,35.0,12.0,0,1.0,צומת מורן (21283) x56 | צומת שבע (17972) x56 | צומת ראמה (18861) x37 | מסעף שזור (18236) x29 | צומת סאג'ור מערב (51777) x23,74,74,83.35,132.0,0.0,0.0357567561911833,16,North,32.927767,35.405161,35.0,26.0,-10.0
18876,צומת חנניה צומת שבע,33.23,31.0,0,1.0,צומת שבע (21282) x44 | מסעף מורן (7109) x41 | מסעף פרוד (19833) x38 | מסעף אמירים (18917) x38 | מצפה כנרת/החורש (41579) x29,50,50,31.0,288.5,0.1,0.0438644214041046,10,North,32.928025,35.406759,33.23,27.0,-17.0
9046,ויצמן/גבעת שאול,29.131944444444443,20.5,0,1.0,גשר המיתרים/שד' הרצל (10775) x24 | שדרות שז''ר/בנייני האומה (10776) x18 | שערי ירושלים/ליפתא (10236) x14 | מחלף חמד (41132) x10 | גבעת שאול/כתב סופר (8703) x10,72,72,51.0,201.0,0.013888888888888888,0.0280712069129028,28,Jerusalem,31.790348,35.197526,29.131944444444443,28.0,0.0
47879,מסוף חצור הגלילית/רציפים,,,0,,,0,0,,,,0.0302652565607768,22,North,32.98083,35.556268,,,
47911,ת. מרכזית ק''ש/רציפים,,,0,,,0,0,,,,0.0301836909152525,23,North,33.209085,35.569276,,,
