shortlist_rank,stop_id,stop_name,region,lat,lon,n_lenses_topk,n_lenses_evaluated,consensus_mean_pct,reasons,lenses_topk,rank_betweenness,rank_service_volume,rank_articulation,rank_no_walk_alternative,rank_demand_weighted,rank_peak_hour,rank_closure_time_cost,pct_betweenness,pct_service_volume,pct_articulation,pct_no_walk_alternative,pct_demand_weighted,pct_peak_hour,pct_closure_time_cost
1,41132,מחלף חמד,Jerusalem,31.80033,35.126238,5,6,0.8978,betweenness (#5); service_volume (#48); demand_weighted (#4); peak_hour (#3); closure_time_cost (#5),betweenness;service_volume;demand_weighted;peak_hour;closure_time_cost,5,48,,1458.0,4,3.0,5.0,0.9998686931687621,0.9984571447329548,,0.5218247456514604,0.9999015198765716,0.9999334597597898,0.8666666666666667
2,41133,מחלף חמד,Jerusalem,31.801002,35.12454,5,7,0.8374,betweenness (#2); service_volume (#49); demand_weighted (#1); peak_hour (#1); closure_time_cost (#13),betweenness;service_volume;demand_weighted;peak_hour;closure_time_cost,2,49,79.0,1951.0,1,1.0,13.0,0.9999671732921905,0.9984243180251453,0.9038888888888889,0.3598621595011487,1.0,1.0,0.6
3,13274,מחלף גבעת שמואל/כביש 4,Center,32.074823,34.843553,5,6,0.8348,betweenness (#17); service_volume (#22); demand_weighted (#3); peak_hour (#8); closure_time_cost (#18),betweenness;service_volume;demand_weighted;peak_hour;closure_time_cost,17,22,,1290.0,3,8.0,18.0,0.9994747726750485,0.999310639136001,,0.5769609451919921,0.9999343465843811,0.999767109159264,0.43333333333333335
4,9046,ויצמן/גבעת שאול,Jerusalem,31.790348,35.197526,5,6,0.7292,betweenness (#28); service_volume (#37); demand_weighted (#12); peak_hour (#29); closure_time_cost (#28),betweenness;service_volume;demand_weighted;peak_hour;closure_time_cost,28,37,,2199.0,12,29.0,28.0,0.9991136788891442,0.998818238518859,,0.2784706268460781,0.9996389062140958,0.9990684366370562,0.1
5,14348,מחלף גהה/דרך ז'בוטינסקי,Center,32.092314,34.844941,4,6,0.9129,betweenness (#21); demand_weighted (#18); peak_hour (#28); closure_time_cost (#4),betweenness;demand_weighted;peak_hour;closure_time_cost,21,2073,,1074.0,18,28.0,4.0,0.9993434658438105,0.9319502347109608,,0.6476862487692813,0.9994419459672389,0.9991017067571614,0.9
6,7444,דרך האר''י/ כביש 375,Jerusalem,31.704533,35.126243,4,6,0.8632,betweenness (#4); demand_weighted (#2); peak_hour (#17); closure_time_cost (#16),betweenness;demand_weighted;peak_hour;closure_time_cost,4,555,,921.0,2,17.0,16.0,0.9999015198765716,0.9818140038735516,,0.6980636691828027,0.9999671732921905,0.9994676780783178,0.5
7,748,מחלף קסם,Center,32.119458,34.93836,4,6,0.8586,betweenness (#8); demand_weighted (#26); peak_hour (#6); closure_time_cost (#14),betweenness;demand_weighted;peak_hour;closure_time_cost,8,6197,,642.0,26,6.0,14.0,0.9997702130453336,0.7964415848734531,,0.7894650475877912,0.9991793323047632,0.9998336493994743,0.5666666666666667
8,9048,בן גוריון/שערי ירושלים,Jerusalem,31.791535,35.196465,4,7,0.8233,betweenness (#11); demand_weighted (#21); peak_hour (#10); closure_time_cost (#1),betweenness;demand_weighted;peak_hour;closure_time_cost,11,79,414.0,2122.0,21,10.0,1.0,0.9996717329219053,0.9974395167908611,0.4633333333333333,0.30390548080078766,0.9993434658438105,0.9997005689190538,1.0
9,27689,מחלף קמה לצפון,South,31.442254,34.766984,4,6,0.818,betweenness (#3); demand_weighted (#6); peak_hour (#4); closure_time_cost (#2),betweenness;demand_weighted;peak_hour;closure_time_cost,3,7375,,2487.0,6,4.0,2.0,0.9999343465843811,0.757771723073893,,0.1839514276337381,0.9998358664609527,0.9999001896396846,0.9666666666666667
10,16491,מחלף קסם,Center,32.115483,34.941008,4,6,0.798,betweenness (#18); demand_weighted (#47); peak_hour (#5); closure_time_cost (#17),betweenness;demand_weighted;peak_hour;closure_time_cost,18,5216,,1539.0,47,5.0,17.0,0.9994419459672389,0.8287266520040705,,0.49507712504102397,0.9984899714407642,0.9998669195195795,0.4666666666666667
11,29243,תחנת התרעננות/פונדק בית קמה,South,31.442304,34.764124,4,6,0.7752,betweenness (#9); demand_weighted (#14); peak_hour (#13); closure_time_cost (#8),betweenness;demand_weighted;peak_hour;closure_time_cost,9,14919,,1903.0,14,13.0,8.0,0.9997373863375242,0.5099464924662706,,0.37577945520183786,0.9995732527984769,0.9996007585587384,0.7666666666666667
12,17303,ת.התרעננות/דור אלון מגל 6,Center,32.380891,35.017969,4,6,0.7413,betweenness (#1); demand_weighted (#8); peak_hour (#2); closure_time_cost (#7),betweenness;demand_weighted;peak_hour;closure_time_cost,1,22084,,1907.0,8,2.0,7.0,1.0,0.27388963660834453,,0.37430259271414507,0.9997702130453336,0.9999667298798949,0.8
13,12975,מחלף לה גווארדייה,Center,32.059454,34.786354,4,7,0.7258,betweenness (#29); demand_weighted (#13); peak_hour (#32); closure_time_cost (#10),betweenness;demand_weighted;peak_hour;closure_time_cost,29,256,555.0,2442.0,13,32.0,10.0,0.9990808521813347,0.9916291895085841,0.19277777777777777,0.1988841483426321,0.9996060795062863,0.9989686262767409,0.7
14,42430,ת.התרעננות/דור אלון מגל כביש 6,Center,32.38104,35.017224,4,6,0.6772,betweenness (#14); demand_weighted (#17); peak_hour (#21); closure_time_cost (#19),betweenness;demand_weighted;peak_hour;closure_time_cost,14,21588,,1907.0,17,21.0,19.0,0.9995732527984769,0.2903686439287004,,0.37430259271414507,0.9994747726750485,0.9993345975978973,0.4
15,29350,מחלף מסובים,Center,32.036975,34.829135,3,5,0.9808,betweenness (#50); demand_weighted (#10); peak_hour (#44),betweenness;demand_weighted;peak_hour,50,1217,,162.0,10,44.0,,0.9983914913173357,0.9600827233036798,,0.9471611421069904,0.9997045596297147,0.9985693848354793,
16,13246,בית ספר הולץ/חיל השריון,Center,32.046238,34.783261,3,6,0.9414,betweenness (#46); demand_weighted (#7); peak_hour (#48),betweenness;demand_weighted;peak_hour,46,94,161.0,456.0,7,48.0,,0.9985227981485737,0.9969471161737189,0.8038888888888889,0.85067279291106,0.9998030397531431,0.9984363043550587,
17,51199,דרך האר''י/המגיד ממעזריטש,Jerusalem,31.703488,35.126299,3,5,0.8908,betweenness (#43); demand_weighted (#11); peak_hour (#40),betweenness;demand_weighted;peak_hour,43,2376,,1418.0,11,40.0,,0.9986212782720021,0.9219873288907855,,0.5349524122087299,0.9996717329219053,0.9987024653158998,
18,7562,שדרות בית הלל/כניסה לעיר,Center,31.936583,35.035446,3,6,0.8785,betweenness (#6); demand_weighted (#5); closure_time_cost (#9),betweenness;demand_weighted;closure_time_cost,6,1363,,1250.0,5,216.0,9.0,0.9998358664609527,0.955207957193973,,0.5900886117492615,0.9998686931687621,0.9928469241773963,0.7333333333333333
19,4132,צומת כפר קרע,Center,32.496878,35.062384,3,6,0.8743,betweenness (#13); peak_hour (#24); closure_time_cost (#15),betweenness;peak_hour;closure_time_cost,13,3586,,509.0,67,24.0,15.0,0.9996060795062863,0.8822505990874175,,0.833278634722678,0.9978334372845747,0.999234787237582,0.5333333333333333
20,1296,מחלף יגור,North,32.752167,35.071543,3,6,0.8542,betweenness (#19); peak_hour (#20); closure_time_cost (#23),betweenness;peak_hour;closure_time_cost,19,1825,,240.0,57,20.0,23.0,0.9994091192594294,0.9400912582477103,,0.9213980964883492,0.9981617043626695,0.9993678677180025,0.26666666666666666
21,14355,מחלף מורשה,Center,32.123726,34.854708,3,6,0.8325,betweenness (#31); demand_weighted (#9); peak_hour (#19),betweenness;demand_weighted;peak_hour,31,4130,555.0,185.0,9,19.0,,0.9990151987657158,0.8643764566851591,0.19277777777777777,0.9396127338365605,0.9997373863375242,0.9994011378381076,
22,4179,צומת כרמיאל,North,32.923958,35.301965,3,6,0.8201,betweenness (#15); peak_hour (#12); closure_time_cost (#22),betweenness;peak_hour;closure_time_cost,15,9014,,234.0,180,12.0,22.0,0.9995404260906674,0.7038374421429275,,0.9235313423039054,0.9941240193021041,0.9996340286788435,0.3
23,51258,ת. מרכזית המפרץ/הורדה,North,32.792214,35.034786,3,5,0.7741,betweenness (#35); demand_weighted (#34); peak_hour (#49),betweenness;demand_weighted;peak_hour,35,4130,,2990.0,34,49.0,,0.9988838919344779,0.8643764566851591,,0.009681654085986216,0.9989167186422874,0.9984030342349536,
24,23418,רבי יהודה הנשיא/כניסה לעיר,Center,32.052593,34.944195,3,6,0.7711,betweenness (#7); demand_weighted (#24); closure_time_cost (#20),betweenness;demand_weighted;closure_time_cost,7,7024,,1543.0,24,73.0,20.0,0.9998030397531431,0.7692774841611135,,0.49376435838529703,0.9992449857203821,0.9976045513524304,0.36666666666666664
25,24932,מחלף רעננה צפון,Center,32.190754,34.887242,3,6,0.721,betweenness (#20); demand_weighted (#40); closure_time_cost (#24),betweenness;demand_weighted;closure_time_cost,20,6845,,2051.0,40,231.0,24.0,0.99937629255162,0.7752519449824377,,0.3270429931079751,0.9987197583954305,0.9923478723758192,0.23333333333333334
26,18876,צומת חנניה צומת שבע,North,32.928025,35.406759,3,6,0.7026,betweenness (#10); peak_hour (#7); closure_time_cost (#27),betweenness;peak_hour;closure_time_cost,10,13136,,1468.0,120,7.0,27.0,0.9997045596297147,0.5683780323671339,,0.5183787331801772,0.9960936217706726,0.9998003792793692,0.13333333333333333
27,13178,חיל השריון/קיבוץ גלויות,Center,32.04815,34.78452,2,5,0.968,demand_weighted (#29); peak_hour (#26),demand_weighted;peak_hour,80,81,,468.0,29,26.0,,0.9974066900830516,0.9973738633752421,,0.8467344929438793,0.9990808521813347,0.9991682469973716,
28,2392,מחלף יגור,North,32.754433,35.072585,2,5,0.9472,betweenness (#41); peak_hour (#15),betweenness;peak_hour,41,5089,,279.0,121,15.0,,0.998686931687621,0.8328956438958737,,0.9085986215950115,0.9960607950628632,0.9995342183185282,
29,20408,מסעף קיבוץ קדרים לצפון,North,32.89703,35.479896,2,5,0.9447,no_walk_alternative (#32); peak_hour (#16),no_walk_alternative;peak_hour,55,7670,,32.0,364,16.0,,0.9982273577782884,0.7481370843318124,,0.9896619625861504,0.988083905065161,0.999500948198423,
30,27842,מסעף נתיבות/מרכז העיר,South,31.424305,34.601822,2,5,0.9314,betweenness (#47); peak_hour (#31),betweenness;peak_hour,47,7344,,296.0,68,31.0,,0.9984899714407642,0.7587072842464629,,0.903019363308172,0.9978006105767653,0.999001896396846,
31,14077,מחלף גהה/דרך ז'בוטינסקי,Center,32.092621,34.843838,2,5,0.9283,service_volume (#30); demand_weighted (#33),service_volume;demand_weighted,57,30,,1074.0,33,70.0,,0.9981617043626695,0.9990480254735252,,0.6476862487692813,0.9989495453500968,0.9977043617127458,
32,2047,שבתאי לוי/רשפון,North,32.814497,34.993351,2,5,0.9261,betweenness (#42); demand_weighted (#38),betweenness;demand_weighted,42,578,,838.0,38,2200.0,,0.9986541049798116,0.9810589895939337,,0.7253035772891369,0.9987854118110495,0.9268390058888113,
33,4124,צומת כפר קרע,Center,32.497446,35.063862,2,5,0.9203,betweenness (#40); peak_hour (#14),betweenness;peak_hour,40,2849,,910.0,144,14.0,,0.9987197583954305,0.9064602960969045,,0.701509681654086,0.9953057807832453,0.9995674884386333,
34,4219,צומת פוריה,North,32.786112,35.494281,2,5,0.9075,betweenness (#39); peak_hour (#47),betweenness;peak_hour,39,4459,,943.0,125,47.0,,0.9987525851032399,0.8535764698158421,,0.6908434525763045,0.9959294882316253,0.9984695744751638,
