lens_a,lens_b,spearman_rho,top50_overlap
betweenness,service_volume,0.1868,4
betweenness,articulation,0.048,0
betweenness,no_walk_alternative,0.0398,0
betweenness,demand_weighted,0.8163,27
betweenness,peak_hour,0.8232,31
betweenness,closure_time_cost,0.2439,30
service_volume,articulation,-0.139,0
service_volume,no_walk_alternative,-0.1582,0
service_volume,demand_weighted,0.4506,9
service_volume,peak_hour,0.1893,4
service_volume,closure_time_cost,0.1426,4
articulation,no_walk_alternative,0.1951,3
articulation,demand_weighted,-0.1443,0
articulation,peak_hour,0.0311,0
articulation,closure_time_cost,,0
no_walk_alternative,demand_weighted,-0.0023,0
no_walk_alternative,peak_hour,0.1296,2
no_walk_alternative,closure_time_cost,-0.0272,0
demand_weighted,peak_hour,0.6971,21
demand_weighted,closure_time_cost,0.2888,17
peak_hour,closure_time_cost,0.3802,18
