lens_a,lens_b,spearman_rho,top50_overlap,n_common_stations
betweenness,service_volume,0.1868,4,30463
betweenness,articulation,0.048,0,900
betweenness,no_walk_alternative,0.0398,0,3047
betweenness,demand_weighted,0.8163,27,30463
betweenness,peak_hour,0.8232,31,30057
betweenness,closure_time_cost,0.2439,30,30
service_volume,articulation,-0.139,0,900
service_volume,no_walk_alternative,-0.1582,0,3047
service_volume,demand_weighted,0.4506,9,30463
service_volume,peak_hour,0.1893,4,30057
service_volume,closure_time_cost,0.1426,4,30
articulation,no_walk_alternative,0.1951,3,118
articulation,demand_weighted,-0.1443,0,900
articulation,peak_hour,0.0311,0,895
articulation,closure_time_cost,,0,4
no_walk_alternative,demand_weighted,-0.0023,0,3047
no_walk_alternative,peak_hour,0.1296,2,3034
no_walk_alternative,closure_time_cost,-0.0272,0,30
demand_weighted,peak_hour,0.6971,21,30057
demand_weighted,closure_time_cost,0.2888,17,30
peak_hour,closure_time_cost,0.3802,18,30
