stop_id,stop_name,region,lat,lon,only_lens,n_lenses_evaluated,consensus_mean_pct,reasons
11221,קיבוץ מעלה החמישה,Jerusalem,31.818536,35.111899,articulation,6,0.8608,articulation (#9)
7935,טורקיז/ענבר,Center,31.962056,35.065781,articulation,6,0.8408,articulation (#4)
39840,טבעת דרומית,Center,32.257872,35.004816,articulation,5,0.7946,articulation (#23)
11227,צומת אורה,Jerusalem,31.757147,35.159936,articulation,6,0.7915,articulation (#9)
15949,מחמוד דרוויש/אלבוחארי,Center,32.257506,35.006394,articulation,6,0.7828,articulation (#23)
20128,איבטין טחנת קמח,North,32.763357,35.106344,articulation,6,0.7772,articulation (#9)
35529,כפר הנשיא,North,32.974481,35.60356,articulation,5,0.7764,articulation (#14)
17861,אדמית מרכז,North,33.079481,35.211363,articulation,6,0.7681,articulation (#6)
34581,'איתמר א,Center,32.175204,35.308726,articulation,5,0.7681,articulation (#23)
50832,האלון/הרימון,North,32.619844,35.074935,articulation,6,0.7238,articulation (#8)
46204,אל נג'אח/מרכז אלטפל,Center,32.262163,35.002068,articulation,5,0.6541,articulation (#35)
46590,אל נג'אח/אל טבל,Center,32.262062,35.002334,articulation,5,0.6483,articulation (#35)
46702,אלבלדיה/סמיח אלקסם,Center,32.264053,35.002199,articulation,5,0.6426,articulation (#45)
46344,אלבלדיה/סמיח אלקסם,Center,32.264864,35.002448,articulation,5,0.6383,articulation (#45)
49100,קרליבך,Center,32.065272,34.782824,articulation,5,0.4037,articulation (#14)
49135,אלנבי,Center,32.062791,34.775131,articulation,5,0.4037,articulation (#14)
49124,קרליבך,Center,32.065272,34.782824,articulation,5,0.4029,articulation (#14)
49123,אלנבי,Center,32.062791,34.775131,articulation,5,0.4029,articulation (#14)
49109,יהודית,Center,32.070168,34.788406,articulation,5,0.4014,articulation (#23)
49136,יהודית,Center,32.070168,34.788406,articulation,5,0.4006,articulation (#23)
49149,שאול המלך,Center,32.076636,34.792005,articulation,5,0.3989,articulation (#35)
49137,שאול המלך,Center,32.076636,34.792005,articulation,5,0.3981,articulation (#35)
49093,ארלוזורוב,Center,32.081554,34.796524,articulation,5,0.3966,articulation (#45)
49110,ארלוזורוב,Center,32.081554,34.796524,articulation,5,0.3958,articulation (#45)
49134,אליפלט,Center,32.058423,34.763033,articulation,5,0.3911,articulation (#23)
49092,אליפלט,Center,32.058423,34.763033,articulation,5,0.3898,articulation (#23)
37358,תל אביב מרכז,Center,32.083715,34.798247,articulation,5,0.3884,articulation (#3)
37292,תל אביב ההגנה,Center,32.053978,34.784839,articulation,5,0.3865,articulation (#5)
49122,שלמה,Center,32.054357,34.759484,articulation,5,0.3713,articulation (#35)
49116,אצטדיון בלומפילד,Center,32.0503,34.758947,articulation,5,0.369,articulation (#45)
49099,שלמה,Center,32.054357,34.759484,articulation,5,0.3689,articulation (#35)
49091,אצטדיון בלומפילד,Center,32.0503,34.758947,articulation,5,0.3665,articulation (#45)
37380,חיפה מרכז,North,32.822306,34.997177,articulation,5,0.3459,articulation (#45)
37376,חוף הכרמל,North,32.7936,34.957404,articulation,5,0.3415,articulation (#23)
35145,יפו - מרכז,Jerusalem,31.782984,35.218215,articulation,5,0.3263,articulation (#12)
35144,העירייה,Jerusalem,31.77964,35.224019,articulation,5,0.3251,articulation (#14)
35148,הדווידקה,Jerusalem,31.784535,35.215284,articulation,5,0.3251,articulation (#14)
35141,שער שכם,Jerusalem,31.782373,35.227812,articulation,5,0.3227,articulation (#23)
35149,מחנה יהודה,Jerusalem,31.78598,35.211585,articulation,5,0.3227,articulation (#23)
35146,יפו - מרכז,Jerusalem,31.782933,35.218116,articulation,5,0.3218,articulation (#12)
35147,הדווידקה,Jerusalem,31.784434,35.215267,articulation,5,0.3206,articulation (#14)
35143,העירייה,Jerusalem,31.779566,35.223958,articulation,5,0.3206,articulation (#14)
35139,שבטי ישראל,Jerusalem,31.786297,35.227074,articulation,5,0.3203,articulation (#35)
35151,הטורים,Jerusalem,31.787888,35.206931,articulation,5,0.3203,articulation (#35)
35142,שער שכם,Jerusalem,31.782411,35.227908,articulation,5,0.3183,articulation (#23)
35150,מחנה יהודה,Jerusalem,31.785917,35.211488,articulation,5,0.3183,articulation (#23)
35138,שמעון הצדיק,Jerusalem,31.793032,35.226273,articulation,5,0.318,articulation (#45)
35153,התחנה המרכזית,Jerusalem,31.788492,35.202603,articulation,5,0.318,articulation (#45)
35140,שבטי ישראל,Jerusalem,31.786306,35.227179,articulation,5,0.3158,articulation (#35)
35152,הטורים,Jerusalem,31.787823,35.206852,articulation,5,0.3158,articulation (#35)
35137,שמעון הצדיק,Jerusalem,31.793025,35.226378,articulation,5,0.3135,articulation (#45)
35154,התחנה המרכזית,Jerusalem,31.788407,35.202566,articulation,5,0.3135,articulation (#45)
20917,מחלף המוביל/לדרום,North,32.757731,35.23184,betweenness,5,0.9399,betweenness (#33)
19809,הנרייטה סאלד/אליעזר פרי,North,33.19993,35.5716,betweenness,5,0.7647,betweenness (#45)
21589,מחלף מסובים,Center,32.038296,34.831105,demand_weighted,5,0.9665,demand_weighted (#23)
21851,מסעף יסודות,Center,31.809807,34.859725,demand_weighted,5,0.9488,demand_weighted (#46)
29342,מחלף גבעת שמואל/מבצע קדש,Center,32.075497,34.844626,demand_weighted,5,0.9487,demand_weighted (#20)
5020,צומת עוקף עפולה/מעונות הסטודנטים,North,32.622273,35.289279,demand_weighted,5,0.9317,demand_weighted (#43)
15416,מחלף בית רבן למזרח,Center,31.819528,34.730697,demand_weighted,5,0.9281,demand_weighted (#22)
16186,ת. רכבת ראשונים,Center,31.948274,34.801453,demand_weighted,5,0.924,demand_weighted (#30)
24467,בית משפט/טשרניחובסקי,Center,32.175709,34.891979,demand_weighted,5,0.9178,demand_weighted (#49)
14497,חזון אי''ש/האדמור מנדבורנא,Center,32.076786,34.833392,demand_weighted,5,0.9065,demand_weighted (#39)
10452,דרך חברון/גבעת המטוס,Jerusalem,31.740214,35.21323,demand_weighted,5,0.9004,demand_weighted (#36)
8750,אצטדיון טדי/א''ס ביתר,Jerusalem,31.751345,35.188474,demand_weighted,5,0.8868,demand_weighted (#35)
2881,העצמאות/בית וגן,North,32.79879,35.102497,demand_weighted,5,0.8631,demand_weighted (#45)
9526,מסוף 700/שד' נווה יעקב,Jerusalem,31.837748,35.231598,demand_weighted,5,0.8325,demand_weighted (#15)
10446,צומת גבעת מרדכי/בייט,Jerusalem,31.767336,35.193158,demand_weighted,5,0.8251,demand_weighted (#16)
42877,ת. רכבת תל אביב - סבידור/הורדה,Center,32.082845,34.796638,demand_weighted,5,0.8235,demand_weighted (#28)
11581,סולטן סולימאן/שער שכם,Jerusalem,31.781558,35.228886,demand_weighted,5,0.7792,demand_weighted (#42)
9553,גשר המיתרים/שד' הרצל,Jerusalem,31.787322,35.199369,demand_weighted,6,0.7166,demand_weighted (#50)
20409,מסעף קיבוץ קדרים לדרום,North,32.893187,35.479712,no_walk_alternative,5,0.928,no_walk_alternative (#32)
21798,בית דגן/טרומפלדור,Center,32.005543,34.83152,no_walk_alternative,5,0.9238,no_walk_alternative (#47)
18713,צומת נטופה,North,32.810026,35.402676,no_walk_alternative,5,0.9065,no_walk_alternative (#36)
3548,מחלף עתלית,North,32.710886,34.954266,no_walk_alternative,5,0.8959,no_walk_alternative (#39)
21295,מחלף המוביל/למזרח,North,32.756013,35.235249,no_walk_alternative,5,0.8957,no_walk_alternative (#48)
7747,צומת שילה,Center,32.048149,35.290424,no_walk_alternative,5,0.8908,no_walk_alternative (#12)
34217,מתחם פלאנט,Center,31.980599,34.74823,no_walk_alternative,5,0.8853,no_walk_alternative (#19)
20219,מסעף גדידה,North,32.922271,35.159143,no_walk_alternative,5,0.8842,no_walk_alternative (#23)
23543,יסודות/מזכירות,Center,31.815141,34.864194,no_walk_alternative,6,0.8542,no_walk_alternative (#17)
459,דרך הלורד\אבני,Center,32.248347,34.910543,no_walk_alternative,5,0.8495,no_walk_alternative (#22)
42821,מנשה,Center,32.467705,35.01352,no_walk_alternative,5,0.8461,no_walk_alternative (#27)
20384,צומת יזרעאל,North,32.557501,35.322285,no_walk_alternative,5,0.845,no_walk_alternative (#46)
51208,תחנת התרעננות/נווה זוהר,South,31.147978,35.370028,no_walk_alternative,5,0.8375,no_walk_alternative (#16)
27040,בסיס אורים,South,31.313656,34.542717,no_walk_alternative,5,0.8135,no_walk_alternative (#25)
27934,גבולות מרכז,South,31.210131,34.466103,no_walk_alternative,5,0.8109,no_walk_alternative (#3)
34612,'גיתית א,Center,32.100737,35.394923,no_walk_alternative,5,0.8093,no_walk_alternative (#20)
26960,אורים מרכז,South,31.304643,34.524134,no_walk_alternative,5,0.8046,no_walk_alternative (#15)
8044,ממשל הר מנוח,South,31.501771,35.105748,no_walk_alternative,5,0.8022,no_walk_alternative (#5)
34571,מזכירות,Center,32.089657,35.342697,no_walk_alternative,5,0.7984,no_walk_alternative (#2)
35118,מרכז קלור/כפר בלום,North,33.175424,35.613654,no_walk_alternative,5,0.7939,no_walk_alternative (#38)
7613,מזכירות,Center,32.199452,35.43769,no_walk_alternative,5,0.7876,no_walk_alternative (#4)
40178,שדרות אמירים/המגל,Center,32.488939,35.104978,no_walk_alternative,5,0.7747,no_walk_alternative (#31)
40662,קניון דרורים,Center,32.260201,34.895015,no_walk_alternative,5,0.7725,no_walk_alternative (#30)
34412,ערבי הנחל/הדס,Center,32.196116,35.00851,no_walk_alternative,5,0.7668,no_walk_alternative (#18)
11151,איילת חן/מרבד הקסמים,Jerusalem,31.78394,35.101617,no_walk_alternative,5,0.76,no_walk_alternative (#41)
28763,מועצה מקומית,South,31.161487,35.019999,no_walk_alternative,5,0.7573,no_walk_alternative (#40)
17811,מצובה/מרכז,North,33.063,35.15811,no_walk_alternative,5,0.7536,no_walk_alternative (#29)
707,ת.התרעננות/דור אלון נען כביש 6,Center,31.881588,34.87851,no_walk_alternative,4,0.7167,no_walk_alternative (#6)
42055,מועצה מקומית,North,32.969072,35.544717,no_walk_alternative,5,0.7162,no_walk_alternative (#37)
28979,משמר הנגב/מרכז,South,31.363895,34.71906,no_walk_alternative,5,0.7153,no_walk_alternative (#11)
37221,מחנה נבטים,South,31.172342,35.042848,no_walk_alternative,6,0.7152,no_walk_alternative (#24)
6450,נטועה מרכז,North,33.064583,35.322483,no_walk_alternative,5,0.7139,no_walk_alternative (#21)
22633,שדה תעופה בן גוריון/טרמינל 1,Center,31.994437,34.896552,no_walk_alternative,6,0.7098,no_walk_alternative (#34)
7297,קליה/מרכז,Center,31.750626,35.467,no_walk_alternative,5,0.7049,no_walk_alternative (#9)
8427,עותניאל/יציאה,South,31.438524,35.027451,no_walk_alternative,5,0.6948,no_walk_alternative (#1)
15122,מקלט,Center,32.271842,34.967217,no_walk_alternative,5,0.6671,no_walk_alternative (#42)
15975,הנחלים/5511,Center,32.219509,34.875775,no_walk_alternative,5,0.6436,no_walk_alternative (#49)
